ASIMFieldName, ASIMFieldType, ProductFieldName, ProductFieldType, ProductFieldDescription, ProductSampleValue, Logic
ActingAppId,string,,,,,direct mapping
ActingAppName,string,,,,,direct mapping
ActingAppType,string,,,,,direct mapping
ActingProcessCommandLine,string,,,,,direct mapping
ActingProcessGuid,string,,,,,direct mapping
ActingProcessId,string,,,,,direct mapping
ActingProcessName,string,,,,,direct mapping
ActorOriginalUserType,string,,,,,direct mapping
ActorScope,string,,,,,direct mapping
ActorScopeId,string,,,,,direct mapping
ActorSessionId,string,,,,,direct mapping
ActorUpn,string,,,,,direct mapping
ActorUserAadId,string,,,,,direct mapping
ActorUserId,string,,,,,direct mapping
ActorUserIdType,string,,,,,direct mapping
ActorUsername,string,,,,,direct mapping
ActorUsernameType,string,,,,,direct mapping
ActorUserPuid,string,,,,,direct mapping
ActorUserSid,string,,,,,direct mapping
ActorUserType,string,,,,,direct mapping
AdditionalFields,dynamic,,,,,direct mapping
Application,string,,,,,direct mapping
DstDescription,string,,,,,direct mapping
Dvc,string,,,,,direct mapping
DvcAction,string,,,,,direct mapping
DvcDescription,string,,,,,direct mapping
DvcDomain,string,,,,,direct mapping
DvcDomainType,string,,,,,direct mapping
DvcFQDN,string,,,,,direct mapping
DvcHostname,string,,,,,direct mapping
DvcId,string,,,,,direct mapping
DvcIdType,string,,,,,direct mapping
DvcInterface,string,,,,,direct mapping
DvcIpAddr,string,,,,,direct mapping
DvcMacAddr,string,,,,,direct mapping
DvcOriginalAction,string,,,,,direct mapping
DvcOs,string,,,,,direct mapping
DvcOsVersion,string,,,,,direct mapping
DvcScope,string,,,,,direct mapping
DvcScopeId,string,,,,,direct mapping
DvcZone,string,,,,,direct mapping
EventCount,int,,,,,direct mapping
EventEndTime,datetime,,,,,direct mapping
EventMessage,string,,,,,direct mapping
EventOriginalResultDetails,string,,,,,direct mapping
EventOriginalSeverity,string,,,,,direct mapping
EventOriginalSubType,string,,,,,direct mapping
EventOriginalType,string,,,,,direct mapping
EventOriginalUid,string,,,,,direct mapping
EventOwner,string,,,,,direct mapping
EventProduct,string,,,,,direct mapping
EventProductVersion,string,,,,,direct mapping
EventReportUrl,string,,,,,direct mapping
EventResult,string,,,,,direct mapping
EventResultDetails,string,,,,,direct mapping
EventSchema,string,,,,,direct mapping
EventSchemaVersion,string,,,,,direct mapping
EventSeverity,string,,,,,direct mapping
EventStartTime,datetime,,,,,direct mapping
EventSubType,string,,,,,direct mapping
EventType,string,,,,,direct mapping
EventUid,string,,,,,direct mapping
EventVendor,string,,,,,direct mapping
FileName,string,,,,,direct mapping
FilePath,string,,,,,direct mapping
Hash,string,,,,,direct mapping
HashType,string,,,,,direct mapping
HttpUserAgent,string,,,,,direct mapping
IpAddr,string,,,,,direct mapping
NetworkApplicationProtocol,string,,,,,direct mapping
Process,string,,,,,direct mapping
Rule,string,,,,,direct mapping
RuleName,string,,,,,direct mapping
RuleNumber,int,,,,,direct mapping
Src,string,,,,,direct mapping
SrcDescription,string,,,,,direct mapping
SrcDeviceType,string,,,,,direct mapping
SrcDomain,string,,,,,direct mapping
SrcDomainType,string,,,,,direct mapping
SrcDvcId,string,,,,,direct mapping
SrcDvcIdType,string,,,,,direct mapping
SrcDvcScope,string,,,,,direct mapping
SrcDvcScopeId,string,,,,,direct mapping
SrcFileCreationTime,datetime,,,,,direct mapping
SrcFileDirectory,string,,,,,direct mapping
SrcFileExtension,string,,,,,direct mapping
SrcFileMD5,string,,,,,direct mapping
SrcFileMimeType,string,,,,,direct mapping
SrcFileName,string,,,,,direct mapping
SrcFilePath,string,,,,,direct mapping
SrcFilePathType,string,,,,,direct mapping
SrcFileSHA1,string,,,,,direct mapping
SrcFileSHA256,string,,,,,direct mapping
SrcFileSHA512,string,,,,,direct mapping
SrcFileSize,long,,,,,direct mapping
SrcFQDN,string,,,,,direct mapping
SrcGeoCity,string,,,,,direct mapping
SrcGeoCountry,string,,,,,direct mapping
SrcGeoLatitude,real,,,,,direct mapping
SrcGeoLongitude,real,,,,,direct mapping
SrcGeoRegion,string,,,,,direct mapping
SrcHostname,string,,,,,direct mapping
SrcIpAddr,string,,,,,direct mapping
SrcPortNumber,int,,,,,direct mapping
TargetAppId,string,,,,,direct mapping
TargetAppName,string,,,,,direct mapping
TargetAppType,string,,,,,direct mapping
TargetFileCreationTime,datetime,,,,,direct mapping
TargetFileDirectory,string,,,,,direct mapping
TargetFileExtension,string,,,,,direct mapping
TargetFileMD5,string,,,,,direct mapping
TargetFileMimeType,string,,,,,direct mapping
TargetFileName,string,,,,,direct mapping
TargetFilePath,string,,,,,direct mapping
TargetFilePathType,string,,,,,direct mapping
TargetFileSHA1,string,,,,,direct mapping
TargetFileSHA256,string,,,,,direct mapping
TargetFileSHA512,string,,,,,direct mapping
TargetFileSize,long,,,,,direct mapping
TargetOriginalAppType,string,,,,,direct mapping
TargetUrl,string,,,,,direct mapping
ThreatCategory,string,,,,,direct mapping
ThreatConfidence,int,,,,,direct mapping
ThreatField,string,,,,,direct mapping
ThreatFilePath,string,,,,,direct mapping
ThreatFirstReportedTime,datetime,,,,,direct mapping
ThreatId,string,,,,,direct mapping
ThreatIsActive,bool,,,,,direct mapping
ThreatLastReportedTime,datetime,,,,,direct mapping
ThreatName,string,,,,,direct mapping
ThreatOriginalConfidence,string,,,,,direct mapping
ThreatOriginalRiskLevel,string,,,,,direct mapping
ThreatRiskLevel,int,,,,,direct mapping
TimeGenerated,datetime,,,,,direct mapping
Type,string,,,,,direct mapping
Url,string,,,,,direct mapping
User,string,,,,,direct mapping
