TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"entitySnapshot_tags_kubernetes_io_bootstrapping_s","entitySnapshot_tags_rbac_authorization_k8s_io_aggregate_to_edit_s","entitySnapshot_tags_rbac_authorization_k8s_io_aggregate_to_admin_s","entitySnapshot_providerId_g","entitySnapshot_tags_app_kubernetes_io_component_s","entitySnapshot_tags_app_kubernetes_io_instance_s","entitySnapshot_tags_app_kubernetes_io_managed_by_s","entitySnapshot_tags_app_kubernetes_io_name_s","entitySnapshot_tags_helm_sh_chart_s","entitySnapshot_tags_Environment_s","entitySnapshot_tags_Owner_s","entitySnapshot_tags_Terraform_s","entitySnapshot_tags_k8s_io_cluster_autoscaler_sample_aws_eks_cluster_s","entitySnapshot_tags_kubernetes_io_cluster_sample_aws_eks_cluster_s","id_g","control_id_s","control_name_s","control_resolutionRecommendation_s","createdAt_t [UTC]","updatedAt_t [UTC]","statusChangedAt_t [UTC]","projects_s","status_s","severity_s","entitySnapshot_id_g","entitySnapshot_type_s","entitySnapshot_name_s","entitySnapshot_status_s","entitySnapshot_cloudPlatform_s","entitySnapshot_region_s","entitySnapshot_providerId_s","entitySnapshot_nativeType_s","entitySnapshot_subscriptionExternalId_s","entitySnapshot_subscriptionName_s","entitySnapshot_resourceGroupExternalId_s","entitySnapshot_cloudProviderURL_s","entitySnapshot_tags_Name_s","entitySnapshot_externalId_s","notes_s","serviceTickets_s","entitySnapshot_tags_service_s","entitySnapshot_tags_AKIA6Q2ZVKJ26T5F4AUZ_s","entitySnapshot_tags_eks_cluster_name_s","entitySnapshot_tags_eks_nodegroup_name_s","entitySnapshot_tags_k8s_io_cluster_autoscaler_enabled_s","entitySnapshot_tags_k8s_io_cluster_autoscaler_test_snowf_2_s","entitySnapshot_tags_kubernetes_io_cluster_test_snowf_2_s","entitySnapshot_tags_aws_ec2launchtemplate_id_s","entitySnapshot_tags_aws_ec2launchtemplate_version_s","entitySnapshot_tags_aws_cloudformation_logical_id_s","entitySnapshot_tags_aws_cloudformation_stack_id_s","entitySnapshot_tags_aws_cloudformation_stack_name_s","entitySnapshot_tags_AKIA6Q2ZVKJ2XDILBA42_s","resolvedAt_t [UTC]","dueAt_t [UTC]",Type,"_ResourceId"
"136eec63-14bb-450b-8c02-90f5f9c1076c",RestAPI,,,"4/30/2023, 8:30:01.628 AM",,,,,,,,,,,,,,,,,"e63db3b4-270c-4054-a1ff-ad5b5fb89f2b","wc-id-609","CVE-2021-44228 (Log4Shell) detected on a publicly exposed VM instance/serverless","We strongly recommend that you upgrade your log4j versions to log4j-2.17.0 or later.
If you are using a version older than 2.10.0 and cannot upgrade, your mitigation choices are:
    * Modify every logging pattern layout to say %m{nolookups} instead of %m in your logging config file, or
    * Substitute a non-vulnerable or empty implementation of the affected class, in a way that your class loader uses your replacement instead of the vulnerable version of the class (org.apache.logging.log4j.core.lookup.JndiLookup).","3/22/2023, 8:35:31.931 PM","4/30/2023, 8:20:34.191 AM","4/30/2023, 8:20:33.899 AM","[
  {
    ""id"": ""83b76efe-a7b6-5762-8a53-8e8f59e68bd8"",
    ""name"": ""Project 2"",
    ""slug"": ""project-2"",
    ""businessUnit"": """",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  },
  {
    ""id"": ""af52828c-4eb1-5c4e-847c-ebc3a5ead531"",
    ""name"": ""project 4"",
    ""slug"": ""project-4"",
    ""businessUnit"": ""Dev"",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  },
  {
    ""id"": ""d6ac50bb-aec0-52fc-80ab-bacd7b02f178"",
    ""name"": ""Project1"",
    ""slug"": ""project1"",
    ""businessUnit"": ""Dev"",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  }
]","IN_PROGRESS",CRITICAL,"03a8cf48-bb9d-5fee-898b-40047a70c2a5","VIRTUAL_MACHINE","qradar-instance-new",Active,AWS,"eu-north-1","arn:aws:ec2:eu-north-1:998231069301:instance/i-05bdbe2c931a45d52",virtualMachine,998231069301,"wiz-integrations",,"https://eu-north-1.console.aws.amazon.com/ec2/v2/home?region=eu-north-1#InstanceDetails:instanceId=i-05bdbe2c931a45d52","qradar-instance-new","i-05bdbe2c931a45d52","[
  {
    ""createdAt"": ""2023-03-29T15:40:19.434319Z"",
    ""updatedAt"": ""2023-04-30T08:20:34.259046Z"",
    ""text"": ""test"",
    ""user"": {
      ""name"": ""wizviacognito_yaniv.blum@wiz.io"",
      ""email"": ""yaniv.blum@wiz.io""
    },
    ""serviceAccount"": null
  }
]","[]",,,,,,,,,,,,,,,,"WizIssues_CL",
"136eec63-14bb-450b-8c02-90f5f9c1076c",RestAPI,,,"4/26/2023, 9:30:32.312 AM",,,,,,,,,,,,,,,,,"b8ace001-0c4f-4f4d-b87e-582131441ebe","wc-id-314","Linux VM instance with wide SSH exposure","To resolve this issue follow these steps:  
1. Inspect the evidence to see the affected VM
	* If the the VM is inactive remove it.  
2. If the VM should not be accessible to SSH - block all SSH traffic
	* Remove Security Rules that allow traffic on port 22
	* Alternatively, add a deny security rule to actively block traffic on port 22  
3. If the VM requires access via SSH, restrict the CIDR ranges to trusted ranges","11/6/2022, 8:48:40.116 PM","4/26/2023, 9:26:38.813 AM","4/26/2023, 9:26:38.813 AM","[
  {
    ""id"": ""0f19bcc4-c17b-57d0-a187-db3a6b1a5100"",
    ""name"": ""Project 3"",
    ""slug"": ""project-3"",
    ""businessUnit"": """",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  }
]",RESOLVED,MEDIUM,"389ef960-ab60-521d-9bff-dff913b46f37","VIRTUAL_MACHINE","instance-tlv",Active,GCP,"me-west1","https://www.googleapis.com/compute/v1/projects/my-walla-website/zones/me-west1-a/instances/instance-tlv","compute#instance","my-walla-website","Product Integration",,"https://console.cloud.google.com/compute/instancesDetail/zones/me-west1-a/instances/instance-tlv?project=my-walla-website",,3064808779218029963,"[]","[]",,,,,,,,,,,,,,"4/26/2023, 9:26:38.813 AM",,"WizIssues_CL",
"136eec63-14bb-450b-8c02-90f5f9c1076c",RestAPI,,,"4/26/2023, 9:30:32.312 AM",,,,,,,,,,,,,,,,,"f15763e5-d5a5-4c6d-a770-69b534d68184","wc-id-314","Linux VM instance with wide SSH exposure","To resolve this issue follow these steps:  
1. Inspect the evidence to see the affected VM
	* If the the VM is inactive remove it.  
2. If the VM should not be accessible to SSH - block all SSH traffic
	* Remove Security Rules that allow traffic on port 22
	* Alternatively, add a deny security rule to actively block traffic on port 22  
3. If the VM requires access via SSH, restrict the CIDR ranges to trusted ranges","2/1/2023, 2:44:01.737 AM","4/26/2023, 9:26:38.813 AM","4/26/2023, 9:26:38.813 AM","[
  {
    ""id"": ""0f19bcc4-c17b-57d0-a187-db3a6b1a5100"",
    ""name"": ""Project 3"",
    ""slug"": ""project-3"",
    ""businessUnit"": """",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  }
]",RESOLVED,MEDIUM,"082fdbab-1706-5a6d-b760-d6154892e883","VIRTUAL_MACHINE",test,Active,GCP,"us-central1","https://www.googleapis.com/compute/v1/projects/my-walla-website/zones/us-central1-a/instances/test","compute#instance","my-walla-website","Product Integration",,"https://console.cloud.google.com/compute/instancesDetail/zones/us-central1-a/instances/test?project=my-walla-website",,5308118838417861941,"[]","[]",,,,,,,,,,,,,,"4/26/2023, 9:26:38.813 AM",,"WizIssues_CL",
"136eec63-14bb-450b-8c02-90f5f9c1076c",RestAPI,,,"4/26/2023, 9:30:32.312 AM",,,,,,,,,,,,,,,,,"06cf9598-d109-4d92-9ac4-50ec65d23ae5","wc-id-146","Critical/High severity network vulnerability with a known exploit detected on a VM instance/serverless","To resolve this issue follow these steps:  
1. Inspect the evidence to see the resources and packages  
	* If the VM or Serverless function are not in use remove them.  
2. For VMs, connect to the instance and update the indicated package to remove the critical vulnerability.
3. For serverless functions update the used packages either by updating the zip or the used dependancies:
	* AWS - https://docs.aws.amazon.com/lambda/latest/dg/python-package.html
	* Azure - https://docs.microsoft.com/en-us/azure/azure-functions/deployment-zip-push
	* GCP - https://cloud.google.com/sdk/gcloud/reference/functions/deploy","11/6/2022, 2:08:47.576 PM","4/26/2023, 9:26:49.589 AM","4/26/2023, 9:26:49.589 AM","[
  {
    ""id"": ""0f19bcc4-c17b-57d0-a187-db3a6b1a5100"",
    ""name"": ""Project 3"",
    ""slug"": ""project-3"",
    ""businessUnit"": """",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  }
]",RESOLVED,LOW,"389ef960-ab60-521d-9bff-dff913b46f37","VIRTUAL_MACHINE","instance-tlv",Active,GCP,"me-west1","https://www.googleapis.com/compute/v1/projects/my-walla-website/zones/me-west1-a/instances/instance-tlv","compute#instance","my-walla-website","Product Integration",,"https://console.cloud.google.com/compute/instancesDetail/zones/me-west1-a/instances/instance-tlv?project=my-walla-website",,3064808779218029963,"[]","[]",,,,,,,,,,,,,,"4/26/2023, 9:26:49.589 AM",,"WizIssues_CL",
"136eec63-14bb-450b-8c02-90f5f9c1076c",RestAPI,,,"4/26/2023, 9:30:32.312 AM",,,,,,,,,,,,,,,,,"57283784-5d18-4df5-93e2-633d800d0cda","wc-id-146","Critical/High severity network vulnerability with a known exploit detected on a VM instance/serverless","To resolve this issue follow these steps:  
1. Inspect the evidence to see the resources and packages  
	* If the VM or Serverless function are not in use remove them.  
2. For VMs, connect to the instance and update the indicated package to remove the critical vulnerability.
3. For serverless functions update the used packages either by updating the zip or the used dependancies:
	* AWS - https://docs.aws.amazon.com/lambda/latest/dg/python-package.html
	* Azure - https://docs.microsoft.com/en-us/azure/azure-functions/deployment-zip-push
	* GCP - https://cloud.google.com/sdk/gcloud/reference/functions/deploy","2/1/2023, 2:44:10.942 AM","4/26/2023, 9:26:49.589 AM","4/26/2023, 9:26:49.589 AM","[
  {
    ""id"": ""0f19bcc4-c17b-57d0-a187-db3a6b1a5100"",
    ""name"": ""Project 3"",
    ""slug"": ""project-3"",
    ""businessUnit"": """",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  }
]",RESOLVED,LOW,"082fdbab-1706-5a6d-b760-d6154892e883","VIRTUAL_MACHINE",test,Active,GCP,"us-central1","https://www.googleapis.com/compute/v1/projects/my-walla-website/zones/us-central1-a/instances/test","compute#instance","my-walla-website","Product Integration",,"https://console.cloud.google.com/compute/instancesDetail/zones/us-central1-a/instances/test?project=my-walla-website",,5308118838417861941,"[]","[]",,,,,,,,,,,,,,"4/26/2023, 9:26:49.589 AM",,"WizIssues_CL",
"136eec63-14bb-450b-8c02-90f5f9c1076c",RestAPI,,,"4/30/2023, 1:00:01.674 PM",,,,,,,,,,,,"sample-aws","Your-Name-SE",true,,,"e78f7dca-8570-41da-88fe-112a7b376757","wc-id-311","Publicly exposed VM instance with high permissions","To resolve this issue follow these steps:
1. Inspect the evidence.
2. If the resource is stale, remove the resource.
3. Review the resource Exposure:
    * Network Security Groups should not allow wide exposure (i.e. 0.0.0.0/0).
    * Restrict the exposure to specific ranges.
    * Ensure that sensitive ports (SSH, RDP, etc.) are not exposed.
    * Ensure the communication is encrypted and authentication if applicable.
    
4. Review the permissions granted by the Principal Raw Access Policy.
    * Remove administrator permissions e.g. iam:*
    * Avoid wild-card permissions, e.g. \*:*
    * Avoid wide permissions on a service level, e.g. s3:*
    ","4/2/2023, 10:16:12.608 AM","4/30/2023, 12:59:32.128 PM","4/30/2023, 12:59:32.029 PM","[
  {
    ""id"": ""83b76efe-a7b6-5762-8a53-8e8f59e68bd8"",
    ""name"": ""Project 2"",
    ""slug"": ""project-2"",
    ""businessUnit"": """",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  },
  {
    ""id"": ""af52828c-4eb1-5c4e-847c-ebc3a5ead531"",
    ""name"": ""project 4"",
    ""slug"": ""project-4"",
    ""businessUnit"": ""Dev"",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  },
  {
    ""id"": ""d6ac50bb-aec0-52fc-80ab-bacd7b02f178"",
    ""name"": ""Project1"",
    ""slug"": ""project1"",
    ""businessUnit"": ""Dev"",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  }
]","IN_PROGRESS",HIGH,"78e2ddd3-835f-5d6c-9c23-64c6da320845","VIRTUAL_MACHINE",mongodb,Active,AWS,"us-east-1","arn:aws:ec2:us-east-1:998231069301:instance/i-07aef463b3c4f67d4",virtualMachine,998231069301,"wiz-integrations",,"https://us-east-1.console.aws.amazon.com/ec2/v2/home?region=us-east-1#InstanceDetails:instanceId=i-07aef463b3c4f67d4",mongodb,"i-07aef463b3c4f67d4","[]","[]",,,,,,,,,,,,,,,,"WizIssues_CL",
"136eec63-14bb-450b-8c02-90f5f9c1076c",RestAPI,,,"4/26/2023, 9:45:02.467 PM",,,,,,,,,,,,,,,,,"b8ace001-0c4f-4f4d-b87e-582131441ebe","wc-id-314","Linux VM instance with wide SSH exposure","To resolve this issue follow these steps:  
1. Inspect the evidence to see the affected VM
	* If the the VM is inactive remove it.  
2. If the VM should not be accessible to SSH - block all SSH traffic
	* Remove Security Rules that allow traffic on port 22
	* Alternatively, add a deny security rule to actively block traffic on port 22  
3. If the VM requires access via SSH, restrict the CIDR ranges to trusted ranges","11/6/2022, 8:48:40.116 PM","4/26/2023, 9:35:20.615 PM","4/26/2023, 9:35:20.615 PM","[
  {
    ""id"": ""0f19bcc4-c17b-57d0-a187-db3a6b1a5100"",
    ""name"": ""Project 3"",
    ""slug"": ""project-3"",
    ""businessUnit"": """",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  }
]",OPEN,MEDIUM,"389ef960-ab60-521d-9bff-dff913b46f37","VIRTUAL_MACHINE","instance-tlv",Active,GCP,"me-west1","https://www.googleapis.com/compute/v1/projects/my-walla-website/zones/me-west1-a/instances/instance-tlv","compute#instance","my-walla-website","Product Integration",,"https://console.cloud.google.com/compute/instancesDetail/zones/me-west1-a/instances/instance-tlv?project=my-walla-website",,3064808779218029963,"[]","[]",,,,,,,,,,,,,,,,"WizIssues_CL",
"136eec63-14bb-450b-8c02-90f5f9c1076c",RestAPI,,,"4/26/2023, 9:45:02.467 PM",,,,,,,,,,,,,,,,,"f15763e5-d5a5-4c6d-a770-69b534d68184","wc-id-314","Linux VM instance with wide SSH exposure","To resolve this issue follow these steps:  
1. Inspect the evidence to see the affected VM
	* If the the VM is inactive remove it.  
2. If the VM should not be accessible to SSH - block all SSH traffic
	* Remove Security Rules that allow traffic on port 22
	* Alternatively, add a deny security rule to actively block traffic on port 22  
3. If the VM requires access via SSH, restrict the CIDR ranges to trusted ranges","2/1/2023, 2:44:01.737 AM","4/26/2023, 9:35:20.615 PM","4/26/2023, 9:35:20.615 PM","[
  {
    ""id"": ""0f19bcc4-c17b-57d0-a187-db3a6b1a5100"",
    ""name"": ""Project 3"",
    ""slug"": ""project-3"",
    ""businessUnit"": """",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  }
]",OPEN,MEDIUM,"082fdbab-1706-5a6d-b760-d6154892e883","VIRTUAL_MACHINE",test,Active,GCP,"us-central1","https://www.googleapis.com/compute/v1/projects/my-walla-website/zones/us-central1-a/instances/test","compute#instance","my-walla-website","Product Integration",,"https://console.cloud.google.com/compute/instancesDetail/zones/us-central1-a/instances/test?project=my-walla-website",,5308118838417861941,"[]","[]",,,,,,,,,,,,,,,,"WizIssues_CL",
"136eec63-14bb-450b-8c02-90f5f9c1076c",RestAPI,,,"4/26/2023, 9:45:02.467 PM",,,,,,,,,,,,,,,,,"06cf9598-d109-4d92-9ac4-50ec65d23ae5","wc-id-146","Critical/High severity network vulnerability with a known exploit detected on a VM instance/serverless","To resolve this issue follow these steps:  
1. Inspect the evidence to see the resources and packages  
	* If the VM or Serverless function are not in use remove them.  
2. For VMs, connect to the instance and update the indicated package to remove the critical vulnerability.
3. For serverless functions update the used packages either by updating the zip or the used dependancies:
	* AWS - https://docs.aws.amazon.com/lambda/latest/dg/python-package.html
	* Azure - https://docs.microsoft.com/en-us/azure/azure-functions/deployment-zip-push
	* GCP - https://cloud.google.com/sdk/gcloud/reference/functions/deploy","11/6/2022, 2:08:47.576 PM","4/26/2023, 9:35:36.601 PM","4/26/2023, 9:35:36.601 PM","[
  {
    ""id"": ""0f19bcc4-c17b-57d0-a187-db3a6b1a5100"",
    ""name"": ""Project 3"",
    ""slug"": ""project-3"",
    ""businessUnit"": """",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  }
]",OPEN,LOW,"389ef960-ab60-521d-9bff-dff913b46f37","VIRTUAL_MACHINE","instance-tlv",Active,GCP,"me-west1","https://www.googleapis.com/compute/v1/projects/my-walla-website/zones/me-west1-a/instances/instance-tlv","compute#instance","my-walla-website","Product Integration",,"https://console.cloud.google.com/compute/instancesDetail/zones/me-west1-a/instances/instance-tlv?project=my-walla-website",,3064808779218029963,"[]","[]",,,,,,,,,,,,,,,,"WizIssues_CL",
"136eec63-14bb-450b-8c02-90f5f9c1076c",RestAPI,,,"4/26/2023, 9:45:02.467 PM",,,,,,,,,,,,,,,,,"57283784-5d18-4df5-93e2-633d800d0cda","wc-id-146","Critical/High severity network vulnerability with a known exploit detected on a VM instance/serverless","To resolve this issue follow these steps:  
1. Inspect the evidence to see the resources and packages  
	* If the VM or Serverless function are not in use remove them.  
2. For VMs, connect to the instance and update the indicated package to remove the critical vulnerability.
3. For serverless functions update the used packages either by updating the zip or the used dependancies:
	* AWS - https://docs.aws.amazon.com/lambda/latest/dg/python-package.html
	* Azure - https://docs.microsoft.com/en-us/azure/azure-functions/deployment-zip-push
	* GCP - https://cloud.google.com/sdk/gcloud/reference/functions/deploy","2/1/2023, 2:44:10.942 AM","4/26/2023, 9:35:36.601 PM","4/26/2023, 9:35:36.601 PM","[
  {
    ""id"": ""0f19bcc4-c17b-57d0-a187-db3a6b1a5100"",
    ""name"": ""Project 3"",
    ""slug"": ""project-3"",
    ""businessUnit"": """",
    ""riskProfile"": {
      ""businessImpact"": ""MBI""
    }
  }
]",OPEN,LOW,"082fdbab-1706-5a6d-b760-d6154892e883","VIRTUAL_MACHINE",test,Active,GCP,"us-central1","https://www.googleapis.com/compute/v1/projects/my-walla-website/zones/us-central1-a/instances/test","compute#instance","my-walla-website","Product Integration",,"https://console.cloud.google.com/compute/instancesDetail/zones/us-central1-a/instances/test?project=my-walla-website",,5308118838417861941,"[]","[]",,,,,,,,,,,,,,,,"WizIssues_CL",
