use_case,description,significance,anomalous_behavior,baseline_behavior
http_user_agents,A host is observed using an anomalous or unexpected HTTP user agent. This could indicate unauthorized or malicious activity on the network.,"The use of an anomalous HTTP user agent can indicate unauthorized access or malicious activity, as adversaries might employ user agents that are either non-standard or atypical for the given host.",":original_entity: used :item:, a user agent they and similar entities had not used during baselining",:entity: used :entity_training_items_combined: for HTTP connections during baselining
ssh_connections,A host established an SSH connection to an unexpected subnet. This may indicate lateral movement or unauthorized access attempts.,Anomalous SSH connections to unexpected subnets can indicate lateral movement by adversaries or unauthorized access to sensitive resources.,":original_entity: established an SSH connection to subnet :item:, a destination they and similar entities had not connected to during baselining",:entity: established SSH connections to these :entity_training_items_combined: during baselining
ssh_clients,A host established an SSH connection using an unexpected or anomalous SSH client. This could indicate the use of malicious tools or unauthorized access.,"The use of an anomalous SSH client can indicate malicious activity, as adversaries might employ SSH clients that are either non-standard or atypical for the given host.",":original_entity: used SSH client :item:, an SSH client they and similar entities had not used during baselining",:entity: used :entity_training_items_combined: during baselining
ew_servers_services,"A host communicated with another internal subnet over an anomalous or unexpected network service, indicating potential lateral movement or misconfiguration.",Anomalous services between internal subnets can indicate lateral movement by adversaries or unauthorized access to resources.,":original_entity: used :item:, a service they and similar entities had not used during baselining",:entity: communicated with internal subnet using :entity_training_items_combined: during baselining
ns_servers_services,An internet-facing server found in connections with an unexpected network service. This may indicate exploitation or misconfiguration.,Internet-facing servers can be exploited by adversaries to gain unauthorized access or disrupt operations.,":original_entity: used :item:, a service they and similar entities had not used during baselining",:entity: used :entity_training_items_combined: during baselining
rdp,A host established an RDP connection to an unexpected subnet using an unusual SSL/TLS fingerprint.,"Anomalous RDP connections to unexpected destinations can indicate lateral movement by adversaries, unauthorized remote access, or compromise of legitimate credentials for unauthorized system access.",":original_entity: used RDP or Port 3389/tcp to connect to :item: for at least 15 seconds, a subnet to which it had unexpectedly connected using an unusual SSL/TLS fingerprint",:entity: used :entity_training_items_combined: during baselining
admin_shares,"A host accessed an unexpected administrative network share (ADMIN$, IPC$, SYSVOL, NETLOGON).",Anomalous administrative share access can indicate lateral movement by adversaries or unauthorized access to sensitive administrative resources and network infrastructure.,":original_entity: unexpectedly accessed :item:, an administrative network share (ADMIN$, IPC$, SYSVOL, NETLOGON) in a way that deviated from its baseline",:entity: used :entity_training_items_combined: during baselining
exe_files,A host downloaded an unexpected executable file from an external or internal source.,"Anomalous executable downloads can indicate malicious tool transfer, malware distribution, or unauthorized software installation that could be used for persistence or lateral movement.",":original_entity: transferred :item:, an executable file they and similar entities had not used during baselining",:entity: used :entity_training_items_combined: during baselining
vpn_type,"A subnet used an unexpected VPN protocol type (like OpenVPN, Wireguard, or IPSec). This case flags potential unauthorized VPN usage, policy violations, or covert channels used for C2 or data exfiltration.",Anomalous VPN connections can conceal attack payloads and bypass the hard outer perimeter of a network.,":original_entity: used :item:, a VPN type or destination they and similar entities had not used during baselining",:entity: used :entity_training_items_combined: during baselining
tunnel_protocol,A subnet established a connection using an unexpected tunnel protocol. This case flags potential covert channels where attackers tunnel traffic inside legitimate protocols to bypass firewalls or exfiltrate data.,Anomalous tunnel connections can conceal attack payloads and bypass the hard outer perimeter of a network.,":original_entity: used :item:, a tunnel protocol to a destination they and similar entities had not used during baselining",:entity: used tunnels to :entity_training_items_combined: during baselining
remote_country,"A host established a connection to an unexpected remote country. This case flags potential data exfiltration, command and control (C2) communication, or unauthorized access.","Anomalous connections to unexpected remote countries can indicate data exfiltration, command and control (C2) communication, or unauthorized access.",":original_entity: connected to :item:, a remote country they and similar entities had not connected to during baselining",:entity: connected to :entity_training_items_combined: during baselining
app_id,"A host communicated using an unexpected application. This case flags potential malware communication, unauthorized data transfer, or evasion of network security controls.","The use of an anomalous application can indicate malware communication, unauthorized data transfer, or evasion of network security controls.",":original_entity: used :item:, an application they and similar entities had not used during baselining",:entity: used :entity_training_items_combined: during baselining
dce_rpc_endpoints,"A subnet used unexpected DCE RPC endpoints when communicating with another subnet. This case flags potential unauthorized access to resources, remote code execution, Active Directory reconnaissance, credential harvesting, and WMI abuse.","Anomalous DCE RPC connections using abnormal endpoints can indicate lateral movement, unauthorized remote access, or credential compromise.",":original_entity: connected to :item:, a DCE RPC endpoint they and similar entities had not connected to during baselining",:entity: connected to :entity_training_items_combined: during baselining
