2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:21:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:20:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:19:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:18:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:17:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:16:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:15:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:14:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:13:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:12:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:11:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:10:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:09:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:08:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:07:47 Daejeon_FW1 RT_IDS TCP port scan! source: 216.129.238.59:59858, destination: 1.245.60.33:9000, zone name: untrust, interface name: reth3.0, action: drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:07:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:06:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:05:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:04:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:03:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:02:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:01:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
2022-01-01 00:00:00 Daejeon_FW1 :<11>Nov 14 06:00:24 Daejeon_FW1 RT_IDS IP spoofing! source: 192.168.7.1, destination: 239.255.255.250, protocol-id: 17, zone name: trust, interface name: reth4.0, action: alarm-without-drop
