samplehost1-b.SAMPLE.com :2011 Apr 19 17:11:12 UTC: %UCSM-6-LOG_CAPACITY: [F0461][info][log-capacity][sys/chassis-1/blade-7/mgmt/log-SEL-0] Log capacity on Management Controller on server 1/7 is very-low
samplehost1-b.SAMPLE.com :2011 Apr 20 14:33:14 UTC: %UCSM-3-CONFIGURATION_FAILURE: [F0327][major][configuration-failure][org-root/ls-test] Service profile test configuration failed due to insufficient-resources,mac-address-assignment,system-uuid-as
samplehost1-b.SAMPLE.com :2011 Apr 20 20:50:25 UTC: %UCSM-3-THERMAL_PROBLEM: [F0382][major][thermal-problem][sys/chassis-1/fan-module-1-1] Fan module 1/1-1 temperature: lower-critical
samplehost1-b.SAMPLE.com :2011 Apr 20 14:33:14 UTC: %UCSM-5-UNASSOCIATED: [F0334][warning][unassociated][org-root/ls-test] Service profile test is not associated
samplehost1-b.SAMPLE.com :2011 Apr 22 16:53:18 UTC: %UCSM-6-EVENT: [E4195931][456249][transition][ucs-username\username][] [FSM:BEGIN]: Hard-reset server sys/chassis-1/blade-7(FSM:sam:dme:ComputePhysicalHardreset)
samplehost1-b.SAMPLE.com :2011 Apr 22 16:53:18 UTC: %UCSM-6-EVENT: [E4195931][456250][transition][ucs-username\username][] [FSM:STAGE:END]:(FSM-STAGE:sam:dme:ComputePhysicalHardreset:begin)
samplehost1-b.SAMPLE.com :2011 Apr 22 16:53:18 UTC: %UCSM-6-EVENT: [E4195932][456251][transition][ucs-username\username][] [FSM:STAGE:ASYNC]: Preparing to check hardware configuration server sys/chassis-1/blade-7(FSM-STAGE:sam:dme:ComputePhysicalHa
samplehost1-b.SAMPLE.com :2011 Apr 22 16:53:23 UTC: %UCSM-6-EVENT: [E4195932][456252][transition][internal][] [FSM:STAGE:STALE-SUCCESS]: Preparing to check hardware configuration server sys/chassis-1/blade-7(FSM-STAGE:sam:dme:ComputePhysicalHardres
samplehost1-b.SAMPLE.com :2011 Apr 22 16:53:23 UTC: %UCSM-6-EVENT: [E4195932][456253][transition][internal][] [FSM:STAGE:END]: Preparing to check hardware configuration server sys/chassis-1/blade-7(FSM-STAGE:sam:dme:ComputePhysicalHardreset:PreSani
samplehost1-b.SAMPLE.com :2011 Apr 25 18:27:01 UTC: %UCSM-6-EVENT: [E4196181][535831][transition][internal][] [FSM:END]: Hard-reset server sys/chassis-1/blade-7(FSM:sam:dme:ComputePhysicalHardreset)
samplehost2-b.SAMPLE.com :2020 Oct 23 06:37:20 UTC: %UCSM-6-AUDIT: [admin][ucs-SAMPLE\testuser1][deletion][web_15651_B][4580594][sys/user-ext/user-ucsc_ucs-SAMPLE\testuser1/role-read-only][sys/user-ext/user-ucsc_ucs-SAMPLE\testuser1/role-read-only][] User role read-only removed from
samplehost2-b.SAMPLE.com :2020 Oct 23 06:37:20 UTC: %UCSM-6-AUDIT: [admin][ucs-SAMPLE\testuser1][deletion][web_15651_B][4580594][sys/user-ext/user-ucsc_ucs-SAMPLE\testuser1/role-read-only][sys/user-ext/user-ucsc_ucs-SAMPLE\testuser1/role-read-only][] User role read-only removed from
samplehost2-b.SAMPLE.com :2020 Oct 23 06:37:20 UTC: %UCSM-6-AUDIT: [admin][ucs-SAMPLE\testuser1][deletion][web_15651_B][4580596][sys/user-ext/user-ucsc_ucs-SAMPLE\testuser1/role-admin][sys/user-ext/user-ucsc_ucs-SAMPLE\testuser1/role-admin][] User role admin removed from
samplehost2-b.SAMPLE.com :2020 Oct 23 06:37:20 UTC: %UCSM-6-AUDIT: [admin][ucs-SAMPLE\testuser1][deletion][web_15651_B][4580596][sys/user-ext/user-ucsc_ucs-SAMPLE\testuser1/role-admin][sys/user-ext/user-ucsc_ucs-SAMPLE\testuser1/role-admin][] User role admin removed from
samplehost3-a.SAMPLE.com :2020 Sep 23 23:17:19 UTC: %UCSM-6-AUDIT: [admin][ucs-SAMPLE\testuser2][deletion][web_36595_A][4085515][sys/user-ext/user-ucsc_sampleuser9/role-read-only][sys/user-ext/user-ucsc_sampleuser9/role-read-only][] User role read-only removed from
