TenantId,SourceSystem,"TimeGenerated [UTC]",Computer,"EventTime [UTC]",Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,MG,Type,"_ResourceId"
"e27868fc-e4bd-4439-9d76-4a4c3a0109ac",Linux,"8/29/2022, 1:27:25.740 PM",ussdenvcsa003p,"8/29/2022, 7:27:25.000 AM",local0,ussdenvcsa003p,info,"27:25.568-06:00 info vpxd[10596] [Originator@6876 sub=Default opID=sps-Main-707066-371-779645-17] [VpxLRO] -- ERROR session[52b21c13-2a8a-1dbe-7cd9-bff320997899]52fa6cf6-f575-91c2-01db-4c21f6f4abbe -- CatalogSyncManager -- vim.vslm.vcenter.CatalogSyncManager.queryCatalogChange: vim.fault.InaccessibleDatastore:\n--> Result:\n--> (vim.fault.InaccessibleDatastore) {\n-->    faultCause = (vmodl.MethodFault) null, \n-->    faultMessage = <unset>, \n-->    datastore = 'vim.Datastore:2376f2e2-b439-472f-a7a6-58bdbe550413:datastore-80', \n-->    name = ""VMAX0648_LinuxOracleDB_Prod_Repl_02"", \n-->    detail = ""notAccessible""\n-->    msg = """"\n--> }\n--> Args:\n--> \n--> Arg catalogChangeSpec:\n--> (vim.vslm.CatalogChangeSpec) {\n-->    datastore = 'vim.Datastore:2376f2e2-b439-472f-a7a6-58bdbe550413:datastore-80', \n-->    startVClockTime = (vim.vslm.VClockInfo) {\n-->       vClockTime = 0\n-->    }, \n-->    fullSync = false\n--> }",,"Unknown IP","vpxd-main","00000000-0000-0000-0000-000000000002",Syslog,"/subscriptions/9d5c47d2-fdeb-41d5-ab4b-c9e5add12706/resourcegroups/rg-arrow-logstash-prod-westus/providers/microsoft.compute/virtualmachinescalesets/logstashss-vmss/virtualmachines/32"
"e27868fc-e4bd-4439-9d76-4a4c3a0109ac",Linux,"8/29/2022, 1:27:25.803 PM",ussdenvcsa003p,"8/29/2022, 7:27:25.000 AM",local0,ussdenvcsa003p,info,"name = VMAX0648_LinuxOracleDB_Prod_Repl_02,",,"Unknown IP",sps,"00000000-0000-0000-0000-000000000002",Syslog,"/subscriptions/9d5c47d2-fdeb-41d5-ab4b-c9e5add12706/resourcegroups/rg-arrow-logstash-prod-westus/providers/microsoft.compute/virtualmachinescalesets/logstashss-vmss/virtualmachines/32"
"e27868fc-e4bd-4439-9d76-4a4c3a0109ac",Linux,"8/29/2022, 1:27:25.810 PM",ussdenvcsa003p,"8/29/2022, 7:27:25.000 AM",local0,ussdenvcsa003p,info,"name = VMAX0648_LinuxOracleDB_Prod_Repl_02,",,"Unknown IP",sps,"00000000-0000-0000-0000-000000000002",Syslog,"/subscriptions/9d5c47d2-fdeb-41d5-ab4b-c9e5add12706/resourcegroups/rg-arrow-logstash-prod-westus/providers/microsoft.compute/virtualmachinescalesets/logstashss-vmss/virtualmachines/32"
"e27868fc-e4bd-4439-9d76-4a4c3a0109ac",Linux,"8/29/2022, 1:24:55.517 PM",ussdenvcsa003p,"8/29/2022, 7:24:55.000 AM",local0,ussdenvcsa003p,info,"name = LinuxOracleDB_Dev-Qa_NonReplicated_3-DoNotUse,",,"Unknown IP",sps,"00000000-0000-0000-0000-000000000002",Syslog,"/subscriptions/9d5c47d2-fdeb-41d5-ab4b-c9e5add12706/resourcegroups/rg-arrow-logstash-prod-westus/providers/microsoft.compute/virtualmachinescalesets/logstashss-vmss/virtualmachines/32"
"e27868fc-e4bd-4439-9d76-4a4c3a0109ac",Linux,"8/29/2022, 1:24:55.520 PM",ussdenvcsa003p,"8/29/2022, 7:24:55.000 AM",local0,ussdenvcsa003p,info,"24:55.482-06:00 info vpxd[09781] [Originator@6876 sub=Default opID=sps-Main-707066-371-779495-a6] [VpxLRO] -- ERROR session[52b21c13-2a8a-1dbe-7cd9-bff320997899]52fc668e-458e-8575-e2f2-f1e83e033cae -- CatalogSyncManager -- vim.vslm.vcenter.CatalogSyncManager.queryCatalogChange: vim.fault.InaccessibleDatastore:\n--> Result:\n--> (vim.fault.InaccessibleDatastore) {\n-->    faultCause = (vmodl.MethodFault) null, \n-->    faultMessage = <unset>, \n-->    datastore = 'vim.Datastore:2376f2e2-b439-472f-a7a6-58bdbe550413:datastore-11772', \n-->    name = ""LinuxOracleDB_Dev-Qa_NonReplicated_3-DoNotUse"", \n-->    detail = ""notAccessible""\n-->    msg = """"\n--> }\n--> Args:\n--> \n--> Arg catalogChangeSpec:\n--> (vim.vslm.CatalogChangeSpec) {\n-->    datastore = 'vim.Datastore:2376f2e2-b439-472f-a7a6-58bdbe550413:datastore-11772', \n-->    startVClockTime = (vim.vslm.VClockInfo) {\n-->       vClockTime = 0\n-->    }, \n-->    fullSync = false\n--> }",,"Unknown IP","vpxd-main","00000000-0000-0000-0000-000000000002",Syslog,"/subscriptions/9d5c47d2-fdeb-41d5-ab4b-c9e5add12706/resourcegroups/rg-arrow-logstash-prod-westus/providers/microsoft.compute/virtualmachinescalesets/logstashss-vmss/virtualmachines/32"
"e27868fc-e4bd-4439-9d76-4a4c3a0109ac",Linux,"8/29/2022, 1:24:55.523 PM",ussdenvcsa003p,"8/29/2022, 7:24:55.000 AM",local0,ussdenvcsa003p,info,"name = LinuxOracleDB_Dev-Qa_NonReplicated_3-DoNotUse,",,"Unknown IP",sps,"00000000-0000-0000-0000-000000000002",Syslog,"/subscriptions/9d5c47d2-fdeb-41d5-ab4b-c9e5add12706/resourcegroups/rg-arrow-logstash-prod-westus/providers/microsoft.compute/virtualmachinescalesets/logstashss-vmss/virtualmachines/32"
"e27868fc-e4bd-4439-9d76-4a4c3a0109ac",Linux,"8/29/2022, 1:30:28.957 PM",ussdenvcsa003p,"8/29/2022, 7:30:28.000 AM",local0,ussdenvcsa003p,info,"30:28.870-06:00 info vpxd[10637] [Originator@6876 sub=Default opID=sps-Main-707066-371-779828-e9] [VpxLRO] -- ERROR session[52b21c13-2a8a-1dbe-7cd9-bff320997899]527448aa-5677-45c0-9e18-0d1672d1bdd8 -- CatalogSyncManager -- vim.vslm.vcenter.CatalogSyncManager.queryCatalogChange: vim.fault.InaccessibleDatastore:\n--> Result:\n--> (vim.fault.InaccessibleDatastore) {\n-->    faultCause = (vmodl.MethodFault) null, \n-->    faultMessage = <unset>, \n-->    datastore = 'vim.Datastore:2376f2e2-b439-472f-a7a6-58bdbe550413:datastore-80', \n-->    name = ""VMAX0648_LinuxOracleDB_Prod_Repl_02"", \n-->    detail = ""notAccessible""\n-->    msg = """"\n--> }\n--> Args:\n--> \n--> Arg catalogChangeSpec:\n--> (vim.vslm.CatalogChangeSpec) {\n-->    datastore = 'vim.Datastore:2376f2e2-b439-472f-a7a6-58bdbe550413:datastore-80', \n-->    startVClockTime = (vim.vslm.VClockInfo) {\n-->       vClockTime = 0\n-->    }, \n-->    fullSync = false\n--> }",,"Unknown IP","vpxd-main","00000000-0000-0000-0000-000000000002",Syslog,"/subscriptions/9d5c47d2-fdeb-41d5-ab4b-c9e5add12706/resourcegroups/rg-arrow-logstash-prod-westus/providers/microsoft.compute/virtualmachinescalesets/logstashss-vmss/virtualmachines/32"
"e27868fc-e4bd-4439-9d76-4a4c3a0109ac",Linux,"8/29/2022, 1:30:29.043 PM",ussdenvcsa003p,"8/29/2022, 7:30:28.000 AM",local0,ussdenvcsa003p,info,"name = VMAX0648_LinuxOracleDB_Prod_Repl_02,",,"Unknown IP",sps,"00000000-0000-0000-0000-000000000002",Syslog,"/subscriptions/9d5c47d2-fdeb-41d5-ab4b-c9e5add12706/resourcegroups/rg-arrow-logstash-prod-westus/providers/microsoft.compute/virtualmachinescalesets/logstashss-vmss/virtualmachines/32"
"e27868fc-e4bd-4439-9d76-4a4c3a0109ac",Linux,"8/29/2022, 1:30:29.120 PM",ussdenvcsa003p,"8/29/2022, 7:30:28.000 AM",local0,ussdenvcsa003p,info,"name = VMAX0648_LinuxOracleDB_Prod_Repl_02,",,"Unknown IP",sps,"00000000-0000-0000-0000-000000000002",Syslog,"/subscriptions/9d5c47d2-fdeb-41d5-ab4b-c9e5add12706/resourcegroups/rg-arrow-logstash-prod-westus/providers/microsoft.compute/virtualmachinescalesets/logstashss-vmss/virtualmachines/32"
"e27868fc-e4bd-4439-9d76-4a4c3a0109ac",Linux,"8/29/2022, 1:28:22.780 PM",usdenqdbrh320,"8/29/2022, 9:28:22.000 AM",local7,usdenqdbrh320,emerg,"Oracle Unified Audit[27795]: LENGTH: '159' TYPE:""4"" DBID:""202660870"" SESID:""1686256554"" CLIENTID:"""" ENTRYID:""1"" STMTID:""1"" DBUSER:""DBSNMP"" CURUSER:""DBSNMP"" ACTION:""100"" RETCODE:""0"" SCHEMA:"""" OBJNAME:""""",,"Unknown IP",journal,"00000000-0000-0000-0000-000000000002",Syslog,"/subscriptions/9d5c47d2-fdeb-41d5-ab4b-c9e5add12706/resourcegroups/rg-arrow-logstash-prod-westus/providers/microsoft.compute/virtualmachinescalesets/logstashss-vmss/virtualmachines/32"
