Risk,Description,Func1,Func2,Func3,Severity,BP
BASIS001,Basis Development & System Administration,BASIS02,BASIS11,,CRITICAL,Basis
BASIS002,Basis Development & Configuration,BASIS02,BASIS06,,HIGH,Basis
BASIS003,Basis Development & Client Administration,BASIS02,BASIS05,,CRITICAL,Basis
BASIS004,Basis Development & Transport Administration,BASIS02,BASIS12,,HIGH,Basis
BASIS005,Basis Utilities & System Administration,BASIS04,BASIS11,,CRITICAL,Basis
BASIS006,Basis Utilities & Configuration,BASIS04,BASIS06,,HIGH,Basis
BASIS007,Basis Utilities & Client Administration,BASIS04,BASIS05,,CRITICAL,Basis
BASIS008,Basis Utilities & Transport Administration,BASIS04,BASIS12,,HIGH,Basis
BASIS009,Basis Table Maintenance & System Administration,BASIS03,BASIS11,,HIGH,Basis
BASIS010,Basis Table Maintenance & Client Administration,BASIS03,BASIS05,,HIGH,Basis
BASIS011,Security Administration & Client Administration,BASIS05,BASIS10,,HIGH,Basis
BASIS012,Security Administration & Transport Administration,BASIS10,BASIS12,,HIGH,Basis
BASIS013,Archiving & System Administration,BASIS01,BASIS11,,MEDIUM,Basis
BASIS014,Archiving & Configuration,BASIS01,BASIS06,,MEDIUM,Basis
BASIS015,Archiving & Client Administration,BASIS01,BASIS05,,MEDIUM,Basis
BASIS016,Archiving & Transport Administration,BASIS01,BASIS12,,MEDIUM,Basis
BASIS017,Create Transport & Perform Transport,BASIS07,BASIS09,,HIGH,Basis
BASIS018,Maintain Number Ranges & System Administration,BASIS08,BASIS11,,CRITICAL,Basis
BASIS019,Maintaining roles or profiles and assigning roles to users,BASIS13,BASIS14,,HIGH,Basis
BASIS020,Basis Table Maintenance with S_TABU_NAM & System Administration,BASIS11,BASIS20,,HIGH,Basis
BASIS021,Basis Table Maintenance with S_TABU_NAM & Client Administration,BASIS05,BASIS20,,HIGH,Basis
BASISAC,Basis Archiving Actions,BASIS15,,,HIGH,Basis
BASISCF,Basis Configuration Actions,BASIS16,,,CRITICAL,Basis
BASISCT,Basis Critical Actions,BASIS17,,,CRITICAL,Basis
BASISNA,Basis Table Update Critical Action with S_TABU_NAM authorization,BASIS20,,,HIGH,Basis
BASISPF,Basis Performance Actions,BASIS18,,,HIGH,Basis
BASISSC,Basis Security Actions,BASIS19,,,CRITICAL,Basis
CROSSMD,Cross Application Master Data,CLASS01,,,HIGH,Cross
FINANCE001,Maintain fictitious GL account & hide activity via postings,GENLED01,GENLED02,,MEDIUM,Finance
FINANCE002,Alter a cost center and process unauthorized cost transfers,COST03,COST06,,MEDIUM,Finance
FINANCE003,Alter a cc and process unauthorized revenue entries,COST03,FINACC01,,MEDIUM,Finance
FINANCE004,Manipulate cc reports to hide inappropriate journal entries,COST02,GENLED01,,MEDIUM,Finance
FINANCE005,Maintain bank account and post a payment from it,ACCPAY01,FINACC04,,CRITICAL,Finance
FINANCE006,Pay a vendor invoice and hide it via asset depreciation,ACCPAY02,ASSETS01,,HIGH,Finance
FINANCE007,Create an invoice via ERS GR & hide via asset depreciation,ASSETS01,STOCK05,,HIGH,Finance
FINANCE008,Hide cash deposited and cash collections differences,ACCREC02,FINACC03,,HIGH,Finance
FINANCE009,Allocate costs to unauthorized cost centers,COST01,COST04,,LOW,Finance
FINANCE010,Settle expenses from an unauthorized order,COST05,COST07,,LOW,Finance
FINANCE011,Alter activity type used for cost allocation purposes,FINACC02,FINACC07,,LOW,Finance
FINANCE012,Maintain asset and capitalize or add costs to master record,ASSETS01,ASSETS02,,MEDIUM,Finance
FINANCE013,Maintain an asset and manipulate the receipt of the asset,ASSETS02,STOCK05,,HIGH,Finance
FINANCE014,Post overhead expenses and settle project without approvals,PROJ02,PROJ03,,HIGH,Finance
FINANCE015,Use fictitious project/WBS to allocate overages,PROJ01,PROJ03,,HIGH,Finance
