Function,TCODE
ACCPAY01,F-04
ACCPAY01,F-06
ACCPAY01,F-07
ACCPAY01,F-18
ACCPAY01,F-31
ACCPAY01,F-44
ACCPAY01,F-48
ACCPAY01,F-51
ACCPAY01,F-52
ACCPAY01,F-53
ACCPAY01,F-54
ACCPAY01,F-58
ACCPAY01,F.13
ACCPAY01,F110
ACCPAY01,F110S
ACCPAY01,F111
ACCPAY01,FB05
ACCPAY01,FB05_OLD
ACCPAY01,FB1K
ACCPAY01,FBA7
ACCPAY01,FBA8
ACCPAY01,FBO1
ACCPAY01,FBO1C
ACCPAY01,FBZ0
ACCPAY01,FBZ2
ACCPAY01,FBZ4
ACCPAY01,FP06
ACCPAY01,FPE2M
ACCPAY01,FPOR8M
ACCPAY01,WBLMC
ACCPAY01,WLFMC
ACCPAY01,WLFMCD
ACCPAY02,ACACACT
ACCPAY02,ACEREV
ACCPAY02,F-02
ACCPAY02,F-41
ACCPAY02,F-42
ACCPAY02,F-43
ACCPAY02,F-44
ACCPAY02,F-47
ACCPAY02,F-63
ACCPAY02,F-66
ACCPAY02,FB01
ACCPAY02,FB01L
ACCPAY02,FB02
ACCPAY02,FB09
ACCPAY02,FB10
ACCPAY02,FB60
ACCPAY02,FB65
ACCPAY02,FBRA
ACCPAY02,FBV0
ACCPAY02,FBVB
ACCPAY02,FV60
ACCPAY02,FV65
ACCPAY02,MIR7
ACCPAY02,MIRA
ACCPAY02,MIRO
ACCPAY02,MR01
ACCPAY02,MR08
ACCPAY02,MR41
ACCPAY02,MR42
ACCPAY02,MR44
ACCPAY02,MR8M
ACCPAY02,MRHG
ACCPAY02,MRHR
ACCPAY02,MRRL
ACCPAY02,MRRS
ACCPAY02,WRLMC
ACCPAY02,WZRMC
ACCPAY03,MR02
ACCPAY03,MR11
ACCPAY03,MR11SHOW
ACCPAY03,MRBR
ACCPAY03,S_AEN_10000075
ACCPAY04,BCA_US_ISS_BC
ACCPAY04,BCA_US_RE_BC
ACCPAY04,BCA_US_RV_BC
ACCPAY04,FBZ5
ACCPAY04,FCH3
ACCPAY04,FCH4
ACCPAY04,FCH5
ACCPAY04,FCH6
ACCPAY04,FCH7
ACCPAY04,FCH8
ACCPAY04,FCH9
ACCPAY04,FCHD
ACCPAY04,FCHE
ACCPAY04,FCHF
ACCPAY04,FCHG
ACCPAY04,FCHT
ACCPAY04,FCHX
ACCREC01,F-04
ACCREC01,F-06
ACCREC01,F-07
ACCREC01,F-18
ACCREC01,F-31
ACCREC01,F-37
ACCREC01,F-44
ACCREC01,F-51
ACCREC01,F-52
ACCREC01,F-53
ACCREC01,F-54
ACCREC01,F-58
ACCREC01,F.13
ACCREC01,F110
ACCREC01,F110S
ACCREC01,F111
ACCREC01,FB05
ACCREC01,FB05_OLD
ACCREC01,FBO1
ACCREC01,FBO1C
ACCREC01,FBZ0
ACCREC01,FBZ2
ACCREC01,FBZ4
ACCREC01,FBZ5
