Name,DisplayName
MSExchangeCompliance,Microsoft Exchange Compliance Service
MSExchangePop3,Microsoft Exchange POP3
MSExchangeDagMgmt,Microsoft Exchange DAG Management
MSExchangePOP3BE,Microsoft Exchange POP3 Backend
Spooler,Print Spooler
MSExchangeDelivery,Microsoft Exchange Mailbox Transport Delivery
MSExchangeRepl,Microsoft Exchange Replication
Netlogon,Netlogon
MSExchangeDiagnostics,Microsoft Exchange Diagnostics
MSExchangeRPC,Microsoft Exchange RPC Client Access
NetMsmqActivator,Net.Msmq Listener Adapter
MSExchangeEdgeSync,Microsoft Exchange EdgeSync
MSExchangeServiceHost,Microsoft Exchange Service Host
MSExchangeFastSearch,Microsoft Exchange Search
MSExchangeSubmission,Microsoft Exchange Mailbox Transport Submission
MSExchangeFrontEndTransport,Microsoft Exchange Frontend Transport
MSExchangeThrottling,Microsoft Exchange Throttling
MSExchangeImap4,Microsoft Exchange IMAP4
MSExchangeTransport,Microsoft Exchange Transport
MSComplianceAudit,Microsoft Exchange Compliance Audit
MSExchangeIMAP4BE,Microsoft Exchange IMAP4 Backend
MSExchangeTransportLogSearch,Microsoft Exchange Transport Log Search
MSExchangeIS,Microsoft Exchange Information Store
MSExchangeUM,Microsoft Exchange Unified Messaging
MSExchangeADTopology,Microsoft Exchange Active Directory Topology
MSExchangeMailboxAssistants,Microsoft Exchange Mailbox Assistants
MSExchangeUMCR,Microsoft Exchange Unified Messaging Call Router
WMSVC,Web Management Service
IISADMIN,IIS Admin Service
MSExchangeAntispamUpdate,Microsoft Exchange Anti-spam Update
MSExchangeMailboxReplication,Microsoft Exchange Mailbox Replication
W3SVC,World Wide Web Publishing Service
