ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
MG,2,"System.String",string
ManagementGroupName,3,"System.String",string
TimeGenerated,4,"System.DateTime",datetime
Computer,5,"System.String",string
RawData,6,"System.String",string
"date_t",7,"System.DateTime",datetime
Severity,8,"System.Int32",int
Type,9,"System.String",string
"_ResourceId",10,"System.String",string
EventOriginalSeverity,11,"System.String",string
EventSeverity,12,"System.String",string
EventStartTime,13,"System.DateTime",datetime
EventEndTime,14,"System.DateTime",datetime
EventOriginalUid,15,"System.String",string
EventType,16,"System.String",string
EventOriginalType,17,"System.String",string
EventOriginalSubType,18,"System.String",string
EventMessage,19,"System.String",string
DvcIdType,20,"System.String",string
Dvc,21,"System.String",string
DvcId,22,"System.String",string
AssetType,23,"System.String",string
DvcIpAddr,24,"System.String",string
EventProduct,25,"System.String",string
EventCount,26,"System.Int32",int
EventResult,27,"System.String",string
EventVendor,28,"System.String",string
EventSchema,29,"System.String",string
EventSchemaVersion,30,"System.String",string
SrcIpAddr,31,"System.String",string
IpAddr,32,"System.String",string
TargetIpAddr,33,"System.String",string
TargetPortNumber,34,"System.Int32",int
LogonProtocol,35,"System.String",string
ActorUserName,36,"System.String",string
