ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
MG,2,"System.String",string
ManagementGroupName,3,"System.String",string
TimeGenerated,4,"System.DateTime",datetime
Computer,5,"System.String",string
RawData,6,"System.String",string
"user_g",7,"System.String",string
"logId_s",8,"System.String",string
"eventType_s",9,"System.String",string
Category,10,"System.String",string
"entityId_s",11,"System.String",string
"environmentId_s",12,"System.String",string
"user_s",13,"System.String",string
"userType_s",14,"System.String",string
"userOrigin_s",15,"System.String",string
"timestamp_d",16,"System.Double",real
"success_b",17,"System.SByte",bool
Message,18,"System.String",string
"patch_s",19,"System.String",string
Type,20,"System.String",string
"_ResourceId",21,"System.String",string
