TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"slot_ID_d","ID_g","availability_Value_d","performance_Value_d","measurement_Name_s","duration_d","warning_Threshold_d","critical_Threshold_d","IsActive_s","id_s","createdAt_t [UTC]","updatedAt_t [UTC]","entities_s","apps_s",Category,"tactics_s","compliance_s","techniques_s","status_s","severity_s","policyId_s","policy_id_s","policy_name_s","policy_templateId_s","assigneeId_s","recommendation_s","description_s","isResolved_b","url_s",Type,"_ResourceId"
"368f4943-db69-4ede-8c31-1788dc4e2dc3",RestAPI,,,"5/2/2023, 2:16:31.533 AM",,,,,,,,,,,,9a97cce292dca51fa5dccc5e171543048e287ccc,"3/7/2023, 11:39:40.845 PM","5/2/2023, 12:41:51.339 AM","[
  {
    ""id"": ""9e4dc3efc5e619330aaf7c4196b52792ecc2ed8e"",
    ""name"": ""stacksets-exec-642a6aa5e9848f24ec83c92a24ae6711"",
    ""object"": ""identity"",
    ""email"": null
  }
]","[
  {
    ""id"": ""8b2864988275496f8e94fc5b44f6d55d08555033"",
    ""name"": ""AWS""
  }
]","Privileged Access","[
  ""Initial Access"",
  ""Privilege Escalation""
]","[
  {
    ""values"": [
      ""IAM-10""
    ],
    ""id"": ""ccm402"",
    ""name"": ""CSA STAR (CCM 4.0.2)""
  },
  {
    ""values"": [
      ""A.9.1.2""
    ],
    ""id"": ""isoIec27001"",
    ""name"": ""ISO/IEC 27001""
  }
]","[]",Open,High,91723198479,91723198479,"AWS role with admin privileges",88391696752,,"Validate any new role creation and make sure it's part of the business cycle. If needed access the AWS console and remove the role.","AWS Admin Identity role stacksets-exec-642a6aa5e9848f24ec83c92a24ae6711 was created in AWS.",false,"https://msftriskyuser.authomize.com/incidents/9a97cce292dca51fa5dccc5e171543048e287ccc","Authomize_v2_CL",
"368f4943-db69-4ede-8c31-1788dc4e2dc3",RestAPI,,,"5/2/2023, 2:16:31.533 AM",,,,,,,,,,,,1426a7c7715210fb2682490b858c34b26ed91d27,"3/7/2023, 11:39:40.837 PM","5/2/2023, 12:41:51.338 AM","[
  {
    ""id"": ""b6259610c3717f183008360d1c5c44039c04249a"",
    ""name"": ""AuthomizeAdministrator"",
    ""object"": ""identity"",
    ""email"": null
  }
]","[
  {
    ""id"": ""8b2864988275496f8e94fc5b44f6d55d08555033"",
    ""name"": ""AWS""
  }
]","Privileged Access","[
  ""Initial Access"",
  ""Privilege Escalation""
]","[
  {
    ""values"": [
      ""IAM-10""
    ],
    ""id"": ""ccm402"",
    ""name"": ""CSA STAR (CCM 4.0.2)""
  },
  {
    ""values"": [
      ""A.9.1.2""
    ],
    ""id"": ""isoIec27001"",
    ""name"": ""ISO/IEC 27001""
  }
]","[]",Open,High,91723198479,91723198479,"AWS role with admin privileges",88391696752,,"Validate any new role creation and make sure it's part of the business cycle. If needed access the AWS console and remove the role.","AWS Admin Identity role AuthomizeAdministrator was created in AWS.",false,"https://msftriskyuser.authomize.com/incidents/1426a7c7715210fb2682490b858c34b26ed91d27","Authomize_v2_CL",
"368f4943-db69-4ede-8c31-1788dc4e2dc3",RestAPI,,,"5/2/2023, 2:16:31.533 AM",,,,,,,,,,,,6c0b7dfd3cf82a416d43d1062983f63082fbaa05,"3/7/2023, 11:39:40.830 PM","5/2/2023, 12:41:51.338 AM","[
  {
    ""id"": ""a8e80278f7e7dfd0625134b630d86173a5176edb"",
    ""name"": ""OrganizationAccountAccessRole"",
    ""object"": ""identity"",
    ""email"": null
  }
]","[
  {
    ""id"": ""8b2864988275496f8e94fc5b44f6d55d08555033"",
    ""name"": ""AWS""
  }
]","Privileged Access","[
  ""Initial Access"",
  ""Privilege Escalation""
]","[
  {
    ""values"": [
      ""IAM-10""
    ],
    ""id"": ""ccm402"",
    ""name"": ""CSA STAR (CCM 4.0.2)""
  },
  {
    ""values"": [
      ""A.9.1.2""
    ],
    ""id"": ""isoIec27001"",
    ""name"": ""ISO/IEC 27001""
  }
]","[]",Open,High,91723198479,91723198479,"AWS role with admin privileges",88391696752,,"Validate any new role creation and make sure it's part of the business cycle. If needed access the AWS console and remove the role.","AWS Admin Identity role OrganizationAccountAccessRole was created in AWS.",false,"https://msftriskyuser.authomize.com/incidents/6c0b7dfd3cf82a416d43d1062983f63082fbaa05","Authomize_v2_CL",
"368f4943-db69-4ede-8c31-1788dc4e2dc3",RestAPI,,,"5/2/2023, 2:16:31.533 AM",,,,,,,,,,,,73fdb933fecfebbba4f614907d63cb9f414ac821,"3/7/2023, 11:39:40.823 PM","5/2/2023, 12:41:51.338 AM","[
  {
    ""id"": ""619fcf487c5bd968da7fd2033381bc1643c83b5d"",
    ""name"": ""AuthomizeAdministrator"",
    ""object"": ""identity"",
    ""email"": null
  }
]","[
  {
    ""id"": ""8b2864988275496f8e94fc5b44f6d55d08555033"",
    ""name"": ""AWS""
  }
]","Privileged Access","[
  ""Initial Access"",
  ""Privilege Escalation""
]","[
  {
    ""values"": [
      ""IAM-10""
    ],
    ""id"": ""ccm402"",
    ""name"": ""CSA STAR (CCM 4.0.2)""
  },
  {
    ""values"": [
      ""A.9.1.2""
    ],
    ""id"": ""isoIec27001"",
    ""name"": ""ISO/IEC 27001""
  }
]","[]",Open,High,91723198479,91723198479,"AWS role with admin privileges",88391696752,,"Validate any new role creation and make sure it's part of the business cycle. If needed access the AWS console and remove the role.","AWS Admin Identity role AuthomizeAdministrator was created in AWS.",false,"https://msftriskyuser.authomize.com/incidents/73fdb933fecfebbba4f614907d63cb9f414ac821","Authomize_v2_CL",
"368f4943-db69-4ede-8c31-1788dc4e2dc3",RestAPI,,,"5/2/2023, 2:16:31.533 AM",,,,,,,,,,,,8d8f5905e05ca18097effce4694e97a2375d4241,"3/7/2023, 11:39:33.344 PM","5/2/2023, 12:41:24.539 AM","[
  {
    ""id"": ""22112528fefa67bd52c212cd9b0b531f95e87976"",
    ""name"": ""frontend_views"",
    ""object"": ""asset"",
    ""originId"": null,
    ""originType"": ""Instance""
  }
]","[
  {
    ""id"": ""8b2864988275496f8e94fc5b44f6d55d08555033"",
    ""name"": ""AWS""
  }
]",Exposure,"[]","[
  {
    ""values"": [
      ""12.2"",
      ""13.4"",
      ""13.9"",
      ""13.10"",
      ""3.3""
    ],
    ""id"": ""cisv8"",
    ""name"": ""CIS v.8""
  },
  {
    ""values"": [
      ""IVS-03"",
      ""IVS-04""
    ],
    ""id"": ""ccm402"",
    ""name"": ""CSA STAR (CCM 4.0.2)""
  },
  {
    ""values"": [
      ""IVS-06"",
      ""AIS-04""
    ],
    ""id"": ""ccm301"",
    ""name"": ""CSA STAR (CCM 3.0.1)""
  }
]","[]",Open,High,91723197594,91723197594,"Privileged Machines Exposed to the Internet",88391686020,,"Validate that the resource exposed must remain so to fulfil its function.
Validate the information this resource contains to prevent sensitive leaks of data.
If the resource should not be accessible, block any of the networks rules from accepting public internet.
 Remember that a higher level resource might block other related resources from accessing the internet as well.
  It is possible to block a resource from the public internet by attaching a security group.","EC2 Instance frontend_views in AWS is exposed to the internet.
The instance has the following role assigned: ec2_s3_full_access
<br/>
Full Exposure Path:
<br/>
| Resource | Type | 
 | -------- |-------- | 
 | prod_na-igw | Gateway |
 | customer-application-lb | LoadBalancer |
 | frontend_views | VirtualMachine |",false,"https://msftriskyuser.authomize.com/incidents/8d8f5905e05ca18097effce4694e97a2375d4241","Authomize_v2_CL",
"368f4943-db69-4ede-8c31-1788dc4e2dc3",RestAPI,,,"5/2/2023, 2:16:31.533 AM",,,,,,,,,,,,77eeb95c34f203d00411561ddca3a0cb3de2786d,"3/6/2023, 11:41:16.717 PM","5/2/2023, 12:41:59.132 AM","[
  {
    ""id"": ""03f798065de05f429ba76674a73869e8faf3a14b"",
    ""name"": ""storage-service-policy"",
    ""object"": ""asset"",
    ""originId"": null,
    ""originType"": ""PolicyResource""
  }
]","[
  {
    ""id"": ""8b2864988275496f8e94fc5b44f6d55d08555033"",
    ""name"": ""AWS""
  }
]","Least Privilege","[
  ""Collection"",
  ""Discovery"",
  ""Exfiltration"",
  ""Impact""
]","[]","[]",Open,High,91723203704,91723203704,"Refactor AWS policy based on activities in the last 60 days.",88391700422,,"Update IAM policy storage-service-policy using the Authomize recommended new policy
through the AWS console or other preffered methods.","The policy storage-service-policy in AWS account 291883359082 has excessive privileges that can be removed.
Detection is based on activities during the last 60 days.",false,"https://msftriskyuser.authomize.com/incidents/77eeb95c34f203d00411561ddca3a0cb3de2786d","Authomize_v2_CL",
"368f4943-db69-4ede-8c31-1788dc4e2dc3",RestAPI,,,"5/2/2023, 2:16:31.533 AM",,,,,,,,,,,,2247ef0e15444516e7b15e8ffbfb42b7945d9e8d,"3/6/2023, 11:41:16.711 PM","5/2/2023, 12:41:59.132 AM","[
  {
    ""id"": ""41de248e190f9a4d796059e9833732375fa63d9e"",
    ""name"": ""AmazonEKS_CNI_Policy-20220503081720914900000001"",
    ""object"": ""asset"",
    ""originId"": null,
    ""originType"": ""PolicyResource""
  }
]","[
  {
    ""id"": ""8b2864988275496f8e94fc5b44f6d55d08555033"",
    ""name"": ""AWS""
  }
]","Least Privilege","[
  ""Collection"",
  ""Discovery"",
  ""Exfiltration"",
  ""Impact""
]","[]","[]",Open,High,91723203704,91723203704,"Refactor AWS policy based on activities in the last 60 days.",88391700422,,"Update IAM policy AmazonEKS_CNI_Policy-20220503081720914900000001 using the Authomize recommended new policy
through the AWS console or other preffered methods.","The policy AmazonEKS_CNI_Policy-20220503081720914900000001 in AWS account 291883359082 has excessive privileges that can be removed.
Detection is based on activities during the last 60 days.",false,"https://msftriskyuser.authomize.com/incidents/2247ef0e15444516e7b15e8ffbfb42b7945d9e8d","Authomize_v2_CL",
"368f4943-db69-4ede-8c31-1788dc4e2dc3",RestAPI,,,"5/2/2023, 2:16:31.533 AM",,,,,,,,,,,,0f2672a045bd1ae6b08986b4616579eddd36e98c,"3/6/2023, 11:41:16.705 PM","5/2/2023, 12:41:59.132 AM","[
  {
    ""id"": ""9c7bb3c5f84fdb3235411e2ba66cd30853655665"",
    ""name"": ""AmazonEKS_EBS_CSI_Policy-20220510234308019800000002"",
    ""object"": ""asset"",
    ""originId"": null,
    ""originType"": ""PolicyResource""
  }
]","[
  {
    ""id"": ""8b2864988275496f8e94fc5b44f6d55d08555033"",
    ""name"": ""AWS""
  }
]","Least Privilege","[
  ""Collection"",
  ""Discovery"",
  ""Exfiltration"",
  ""Impact""
]","[]","[]",Open,High,91723203704,91723203704,"Refactor AWS policy based on activities in the last 60 days.",88391700422,,"Update IAM policy AmazonEKS_EBS_CSI_Policy-20220510234308019800000002 using the Authomize recommended new policy
through the AWS console or other preffered methods.","The policy AmazonEKS_EBS_CSI_Policy-20220510234308019800000002 in AWS account 291883359082 has excessive privileges that can be removed.
Detection is based on activities during the last 60 days.",false,"https://msftriskyuser.authomize.com/incidents/0f2672a045bd1ae6b08986b4616579eddd36e98c","Authomize_v2_CL",
"368f4943-db69-4ede-8c31-1788dc4e2dc3",RestAPI,,,"5/2/2023, 2:16:31.533 AM",,,,,,,,,,,,727a2bfa2e5cfbf365ffc57d87b0b7a762c811bb,"3/6/2023, 11:40:39.657 PM","5/2/2023, 12:41:21.559 AM","[
  {
    ""id"": ""bb786de8906e3dfad445d7d07466796ebb50eb1b"",
    ""name"": ""privesc15-PassExistingRoleToNewLambdaThenInvoke"",
    ""object"": ""asset"",
    ""originId"": null,
    ""originType"": ""PolicyResource""
  },
  {
    ""id"": ""af3fcb9bc7cf55a9e94e1e6000a2ad56e76c5984"",
    ""name"": ""privesc15-PassExistingRoleToNewLambdaThenInvoke-role"",
    ""object"": ""identity"",
    ""email"": null
  },
  {
    ""id"": ""f50d5abbb3ab5d07ea0fb91a38f5480808240c00"",
    ""name"": ""privesc15-PassExistingRoleToNewLambdaThenInvoke-role"",
    ""object"": ""account"",
    ""originId"": null
  }
]","[
  {
    ""id"": ""8b2864988275496f8e94fc5b44f6d55d08555033"",
    ""name"": ""AWS""
  }
]","Least Privilege","[
  ""Initial Access"",
  ""Privilege Escalation""
]","[
  {
    ""values"": [
      ""6.8""
    ],
    ""id"": ""cisv8"",
    ""name"": ""CIS v.8""
  },
  {
    ""values"": [
      ""IAM-01"",
      ""IAM-05""
    ],
    ""id"": ""ccm402"",
    ""name"": ""CSA STAR (CCM 4.0.2)""
  },
  {
    ""values"": [
      ""A.9.2.3""
    ],
    ""id"": ""isoIec27001"",
    ""name"": ""ISO/IEC 27001""
  },
  {
    ""values"": [
      ""IAM-08""
    ],
    ""id"": ""ccm301"",
    ""name"": ""CSA STAR (CCM 3.0.1)""
  }
]","[]",Open,Low,91723196731,91723196731,"Stale IAAS policy attachment to role",88391681312,,"Unused policies should be detached from privesc15-PassExistingRoleToNewLambdaThenInvoke-role","privesc15-PassExistingRoleToNewLambdaThenInvoke-role hasn't used the Policy privesc15-PassExistingRoleToNewLambdaThenInvoke  during the past 30 days.",false,"https://msftriskyuser.authomize.com/incidents/727a2bfa2e5cfbf365ffc57d87b0b7a762c811bb","Authomize_v2_CL",
"368f4943-db69-4ede-8c31-1788dc4e2dc3",RestAPI,,,"5/2/2023, 2:16:31.533 AM",,,,,,,,,,,,3bf6bd0b9b8df0b9d77aa60a8d4bc693251b903b,"3/6/2023, 11:40:39.651 PM","5/2/2023, 12:41:21.559 AM","[
  {
    ""id"": ""289913f8294a9a91eea3c09925c324e2634c6e04"",
    ""name"": ""privesc1-CreateNewPolicyVersion"",
    ""object"": ""asset"",
    ""originId"": null,
    ""originType"": ""PolicyResource""
  },
  {
    ""id"": ""f7a97b83c333f46af3b8b0ae91edc1de7ec96f7e"",
    ""name"": ""privesc1-CreateNewPolicyVersion-role"",
    ""object"": ""identity"",
    ""email"": null
  },
  {
    ""id"": ""b494fd2e5c32528f6f7868d28ce0bddb813efdc7"",
    ""name"": ""privesc1-CreateNewPolicyVersion-role"",
    ""object"": ""account"",
    ""originId"": null
  }
]","[
  {
    ""id"": ""8b2864988275496f8e94fc5b44f6d55d08555033"",
    ""name"": ""AWS""
  }
]","Least Privilege","[
  ""Initial Access"",
  ""Privilege Escalation""
]","[
  {
    ""values"": [
      ""6.8""
    ],
    ""id"": ""cisv8"",
    ""name"": ""CIS v.8""
  },
  {
    ""values"": [
      ""IAM-01"",
      ""IAM-05""
    ],
    ""id"": ""ccm402"",
    ""name"": ""CSA STAR (CCM 4.0.2)""
  },
  {
    ""values"": [
      ""A.9.2.3""
    ],
    ""id"": ""isoIec27001"",
    ""name"": ""ISO/IEC 27001""
  },
  {
    ""values"": [
      ""IAM-08""
    ],
    ""id"": ""ccm301"",
    ""name"": ""CSA STAR (CCM 3.0.1)""
  }
]","[]",Open,Low,91723196731,91723196731,"Stale IAAS policy attachment to role",88391681312,,"Unused policies should be detached from privesc1-CreateNewPolicyVersion-role","privesc1-CreateNewPolicyVersion-role hasn't used the Policy privesc1-CreateNewPolicyVersion  during the past 30 days.",false,"https://msftriskyuser.authomize.com/incidents/3bf6bd0b9b8df0b9d77aa60a8d4bc693251b903b","Authomize_v2_CL",
