TimeGenerated,EventVendor,EventProduct,Category,FirmwareVersion,FirstSeen,Id,IPAddress,LastSeen,MacAddress,Model,Manufacturer,OperatingSystemVersion,OperatingSystem,PlcModule,PurdueLevel,RiskLevel,SensorName,SensorType,SiteLocation,SiteName,Tags,Type,Visibility,Name
"9/7/2022, 7:26:45.393 AM",ArmisDevice,ArmisDevice,Automations,"[ { ""value"": ""V1.6.1"" } ]","11/19/2021, 3:11:02.157 PM",2105,103.251.167.10,"8/31/2022, 9:00:00.695 PM",BD:33:CB:5F:BF:A3,Lutron Vive System,Texas Instruments,4.4.32,Linux,"[{""firmwareVersion"":[{""value"":""7.002""}],""index"":[{""value"":""2""}],""manufacturer"":[{""value"":""Rockwell""}],""model"":[{""value"":""1756-DHRIO/E ""}],""serialNumber"":[{""value"":""0x60cb2a""}],""status"":[{""value"":""Run Mode""}],""type"":[{""value"":""Communications Adapter""}]}]",4,9,Factory 1,Switch,"Austin, TX",TX ICS Center,"[ ""Access Point"", ""Encrypted"", ""Managed"" ]",Lightings,Full,rcb3-045181WFWIS
"9/7/2022, 7:26:45.393 AM",ArmisDevice,ArmisDevice,Automations,"[ { ""value"": ""V1.6.2"" } ]","11/19/2021, 3:11:02.157 PM",2115,103.251.167.20,"8/31/2022, 9:00:00.704 PM",30:A3:2E:92:9E:03,Lutron Vive System,Texas Instruments,4.4.32,Linux,"[{""firmwareVersion"":[{""value"":""7.002""}],""index"":[{""value"":""2""}],""manufacturer"":[{""value"":""Rockwell""}],""model"":[{""value"":""1756-DHRIO/E ""}],""serialNumber"":[{""value"":""0x60cb2a""}],""status"":[{""value"":""Run Mode""}],""type"":[{""value"":""Communications Adapter""}]}]",4,9,Factory 1,Switch,"Austin, TX",TX ICS Center,"[ ""Access Point"", ""Encrypted"", ""Managed"" ]",Lightings,Full,rcb3-045181WFWIS
"9/7/2022, 7:26:45.393 AM",ArmisDevice,ArmisDevice,Automations,"[ { ""value"": ""Windows"" } ]","11/19/2021, 3:11:02.157 PM",2062,103.251.167.21,"8/31/2022, 9:00:00.711 PM",7A:5A:1A:13:6B:BB,CPO-PC-6A,Honeywell,CPO-PC-6A 2.7.8,Windows,"[{""firmwareVersion"":[{""value"":""7.002""}],""index"":[{""value"":""2""}],""manufacturer"":[{""value"":""Rockwell""}],""model"":[{""value"":""1756-DHRIO/E ""}],""serialNumber"":[{""value"":""0x60cb2a""}],""status"":[{""value"":""Run Mode""}],""type"":[{""value"":""Communications Adapter""}]}]",1,2,Factory 1,Switch,"Austin, TX",TX ICS Center,"[ ""Access Point"", ""Encrypted"", ""Managed"" ]",Controllers,Full,rcb3-045181WFWIS
"9/7/2022, 7:26:45.393 AM",ArmisDevice,ArmisDevice,Automations,"[ { ""value"": ""V1.6.4"" } ]","11/19/2021, 3:11:02.157 PM",2131,104.244.76.13,"8/31/2022, 9:00:00.717 PM",D1:DA:06:12:83:67,Lutron Vive System,Texas Instruments,4.4.32,Linux,"[{""firmwareVersion"":[{""value"":""7.002""}],""index"":[{""value"":""2""}],""manufacturer"":[{""value"":""Rockwell""}],""model"":[{""value"":""1756-DHRIO/E ""}],""serialNumber"":[{""value"":""0x60cb2a""}],""status"":[{""value"":""Run Mode""}],""type"":[{""value"":""Communications Adapter""}]}]",4,9,Factory 1,Switch,"Austin, TX",TX ICS Center,"[ ""Access Point"", ""Encrypted"", ""Managed"" ]",Lightings,Full,rcb3-045181WFWIS
"9/7/2022, 7:26:45.393 AM",ArmisDevice,ArmisDevice,Automations,"[ { ""value"": ""V1.6.5"" } ]","11/19/2021, 3:11:02.157 PM",2133,107.135.79.164,"8/31/2022, 9:00:00.752 PM",5A:DE:5B:D8:48:23,Lutron Vive System,Texas Instruments,4.4.32,Linux,"[{""firmwareVersion"":[{""value"":""7.002""}],""index"":[{""value"":""2""}],""manufacturer"":[{""value"":""Rockwell""}],""model"":[{""value"":""1756-DHRIO/E ""}],""serialNumber"":[{""value"":""0x60cb2a""}],""status"":[{""value"":""Run Mode""}],""type"":[{""value"":""Communications Adapter""}]}]",4,9,Factory 1,Switch,"Austin, TX",TX ICS Center,"[ ""Access Point"", ""Encrypted"", ""Managed"" ]",Lightings,Full,lumify07-galaxy-tab-s4
"9/7/2022, 7:26:45.393 AM",ArmisDevice,ArmisDevice,Automations,"[ { ""value"": ""V1.6.6"" } ]","11/19/2021, 3:11:02.157 PM",2149,109.70.100.19,"8/31/2022, 9:00:00.756 PM",DD:22:7D:51:60:0C,Lutron Vive System,Texas Instruments,4.4.32,Linux,"[{""firmwareVersion"":[{""value"":""7.002""}],""index"":[{""value"":""2""}],""manufacturer"":[{""value"":""Rockwell""}],""model"":[{""value"":""1756-DHRIO/E ""}],""serialNumber"":[{""value"":""0x60cb2a""}],""status"":[{""value"":""Run Mode""}],""type"":[{""value"":""Communications Adapter""}]}]",4,9,Factory 1,Switch,"Austin, TX",TX ICS Center,"[ ""Domain Controller"", ""DNS Server"" ]",Lightings,Full,lumify07-galaxy-tab-s4
"9/7/2022, 7:26:45.393 AM",ArmisDevice,ArmisDevice,Automations,"[ { ""value"": ""V1.6.7"" } ]","11/19/2021, 3:11:02.157 PM",2128,109.70.100.20,"8/31/2022, 9:00:00.767 PM",D1:7E:90:19:52:0B,Lutron Vive System,Texas Instruments,4.4.32,Linux,"[{""firmwareVersion"":[{""value"":""7.002""}],""index"":[{""value"":""2""}],""manufacturer"":[{""value"":""Rockwell""}],""model"":[{""value"":""1756-DHRIO/E ""}],""serialNumber"":[{""value"":""0x60cb2a""}],""status"":[{""value"":""Run Mode""}],""type"":[{""value"":""Communications Adapter""}]}]",4,9,Factory 1,Switch,"Austin, TX",TX ICS Center,"[ ""Domain Controller"", ""DNS Server"" ]",Lightings,Full,lumify07-galaxy-tab-s4
"9/7/2022, 7:26:45.393 AM",ArmisDevice,ArmisDevice,Automations,"[ { ""value"": ""V1.6.8"" } ]","11/19/2021, 3:11:02.157 PM",2095,109.70.100.21,"8/31/2022, 9:00:00.773 PM",25:94:0A:32:A5:9A,Tracer SC+,Trane,4.4.32,Linux,"[{""firmwareVersion"":[{""value"":""7.002""}],""index"":[{""value"":""2""}],""manufacturer"":[{""value"":""Rockwell""}],""model"":[{""value"":""1756-DHRIO/E ""}],""serialNumber"":[{""value"":""0x60cb2a""}],""status"":[{""value"":""Run Mode""}],""type"":[{""value"":""Communications Adapter""}]}]",4,9,Factory 1,Switch,"Austin, TX",TX ICS Center,"[ ""Domain Controller"", ""DNS Server"" ]",HVACs,Full,lumify07-galaxy-tab-s4
"9/7/2022, 7:26:45.393 AM",ArmisDevice,ArmisDevice,Automations,"[ { ""value"": ""V1.6.9"" } ]","11/19/2021, 3:11:02.157 PM",2100,109.70.100.22,"8/31/2022, 9:00:00.801 PM",B4:7B:70:2B:3D:0D,Lutron Vive System,Texas Instruments,4.4.32,Linux,"[{""firmwareVersion"":[{""value"":""7.002""}],""index"":[{""value"":""2""}],""manufacturer"":[{""value"":""Rockwell""}],""model"":[{""value"":""1756-DHRIO/E ""}],""serialNumber"":[{""value"":""0x60cb2a""}],""status"":[{""value"":""Run Mode""}],""type"":[{""value"":""Communications Adapter""}]}]",4,9,Factory 1,Switch,"Austin, TX",TX ICS Center,"[ ""Domain Controller"", ""DNS Server"" ]",Lightings,Full,i-STAT
"9/7/2022, 7:26:45.393 AM",ArmisDevice,ArmisDevice,Automations,"[ { ""value"": ""V1.5.1"" } ]","11/19/2021, 3:11:02.157 PM",2099,109.70.100.23,"8/31/2022, 9:00:00.805 PM",76:12:C6:F0:70:33,Lutron Vive System,Texas Instruments,4.4.32,Linux,"[{""firmwareVersion"":[{""value"":""7.002""}],""index"":[{""value"":""2""}],""manufacturer"":[{""value"":""Rockwell""}],""model"":[{""value"":""1756-DHRIO/E ""}],""serialNumber"":[{""value"":""0x60cb2a""}],""status"":[{""value"":""Run Mode""}],""type"":[{""value"":""Communications Adapter""}]}]",4,9,Factory 1,Switch,"Austin, TX",TX ICS Center,"[ ""Domain Controller"", ""DNS Server"" ]",Lightings,Full,i-STAT
