TenantId,SourceSystem,TimeGenerated,Computer,EventTime,Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,MG,Type,"_ResourceId"
"9f68fed4-d396-4b60-8836-a524cedceb90",Linux,"2020-10-09T02:32:01.657Z","WatchGuard-XTM","2020-10-09T06:32:01Z",local2,"WatchGuard-XTM",info,"32:01) configd[2325]: msg_id=""0101-0001"" Management user admin@Firebox-DB from 172.23.0.43 modified Logging ",null,"Unknown IP",FVE10271A42A5,"00000000-0000-0000-0000-000000000002",Syslog,
"9f68fed4-d396-4b60-8836-a524cedceb90",Linux,"2020-10-09T02:32:05.18Z","WatchGuard-XTM","2020-10-09T06:32:05Z",local7,"WatchGuard-XTM",info,"32:05) configd[2325]: msg_id=""0101-0001"" Management user admin@Firebox-DB from 172.23.0.43 modified Logging ",null,"Unknown IP",FVE10271A42A5,"00000000-0000-0000-0000-000000000002",Syslog,
"9f68fed4-d396-4b60-8836-a524cedceb90",Linux,"2020-10-09T02:32:05.227Z","WatchGuard-XTM","2020-10-09T06:32:05Z",local7,"WatchGuard-XTM",debug,"32:05) daas[2509]: on_wgapi_read: unhandled notification id=4194306",null,"Unknown IP",FVE10271A42A5,"00000000-0000-0000-0000-000000000002",Syslog,
"9f68fed4-d396-4b60-8836-a524cedceb90",Linux,"2020-10-09T02:32:05.227Z","WatchGuard-XTM","2020-10-09T06:32:05Z",local7,"WatchGuard-XTM",debug,"32:05) sessiond[2539]: receive wgapi message: cmd=5 xpath=NULL from=0x3b400915 serial=FVE10271A42A5",null,"Unknown IP",FVE10271A42A5,"00000000-0000-0000-0000-000000000002",Syslog,
"9f68fed4-d396-4b60-8836-a524cedceb90",Linux,"2020-10-09T02:32:05.227Z","WatchGuard-XTM","2020-10-09T06:32:05Z",local7,"WatchGuard-XTM",debug,"32:05) sessiond[2539]: sessiond: sessiond WGAPI call ",null,"Unknown IP",FVE10271A42A5,"00000000-0000-0000-0000-000000000002",Syslog,
"9f68fed4-d396-4b60-8836-a524cedceb90",Linux,"2020-10-09T02:32:12.267Z","WatchGuard-XTM","2020-10-09T06:32:12Z",local7,"WatchGuard-XTM",info,"32:12) configd[2325]: msg_id=""0101-0001"" Management user admin@Firebox-DB from 172.23.0.43 modified Logging ",null,"Unknown IP",FVE10271A42A5,"00000000-0000-0000-0000-000000000002",Syslog,
"9f68fed4-d396-4b60-8836-a524cedceb90",Linux,"2020-10-09T02:32:12.347Z","WatchGuard-XTM","2020-10-09T06:32:12Z",local7,"WatchGuard-XTM",debug,"32:12) sessiond[2539]: sessiond: sessiond WGAPI call ",null,"Unknown IP",FVE10271A42A5,"00000000-0000-0000-0000-000000000002",Syslog,
"9f68fed4-d396-4b60-8836-a524cedceb90",Linux,"2020-10-09T02:32:12.347Z","WatchGuard-XTM","2020-10-09T06:32:12Z",local7,"WatchGuard-XTM",debug,"32:12) sessiond[2539]: receive wgapi message: cmd=5 xpath=NULL from=0x3b400915 serial=FVE10271A42A5",null,"Unknown IP",FVE10271A42A5,"00000000-0000-0000-0000-000000000002",Syslog,
"9f68fed4-d396-4b60-8836-a524cedceb90",Linux,"2020-10-09T02:32:12.347Z","WatchGuard-XTM","2020-10-09T06:32:12Z",local7,"WatchGuard-XTM",debug,"32:12) daas[2509]: on_wgapi_read: unhandled notification id=4194306",null,"Unknown IP",FVE10271A42A5,"00000000-0000-0000-0000-000000000002",Syslog,
"9f68fed4-d396-4b60-8836-a524cedceb90",Linux,"2020-10-09T02:32:18.353Z","WatchGuard-XTM","2020-10-09T06:32:18Z",local7,"WatchGuard-XTM",info,"32:18) loggerd: Watchguard loggerd v12.6.2.B630388 (C) 1996-2020 WatchGuard Technologies Inc.",null,"Unknown IP",FVE10271A42A5,"00000000-0000-0000-0000-000000000002",Syslog,
