ColumnName,ColumnOrdinal,DataType,ColumnType
TimeGenerated,0,"System.DateTime",datetime
deviceEventClassId,1,"System.Int32",int
name,2,"System.String",string
start,3,"System.Int64",long
request,4,"System.String",string
requestContext,5,"System.String",string
reason,6,"System.String",string
dhost,7,"System.String",string
devicePayloadId,8,"System.String",string
suid,9,"System.String",string
suser,10,"System.String",string
TenantId,11,"System.String",string
Type,12,"System.String",string
"_ResourceId",13,"System.String",string
