TimeGenerated,DeviceVendor,DeviceEventClassID,LogSeverity,DestinationIP,DeviceName,SourceIP,DeviceVersion,Activity,DestinationHostName,ExternalID,SourceHostName,SourceUserName,DeviceCustomString4,FlexNumber1,FlexNumber2,AdditionalExtensions,Type
2020-03-23T04:56:44.907Z,Vectra Networks,hsc,3,10.0.1.2,device1,10.0.2.3,5.5,Host Score Change,device22,27,device1,user1,https://xyz.rt.tv/hosts/27,99,76,cat=HOST SCORING;start=1584939404903;end=1584939404903,CommonSecurityLog
2020-03-23T04:56:44.906Z,Vectra Networks,asc,3,10.0.2.3,device2,10.0.3.5,5.5,Account Score Change,device34,23,device2,admin,https://xyz.rt.tv/accounts/23,45,56,cat=ACCOUNT SCORING;saccount=xyz.example.com;start=1584900305119;end=1584900305119,CommonSecurityLog
2020-03-23T04:56:43.907Z,Vectra Networks,campaigns,3,10.0.2.5,device3,10.0.5.6,5.5,winatp-gw-cus.microsoft.com,device25,25,device3,user2,https://xyz.rt.tv/campaigns/24,10,98,at=CAMPAIGNS;reason=Connection,CommonSecurityLog
2020-03-23T04:56:42.907Z,Vectra Networks,audit,3,10.0.4.6,device4,10.0.6.7,5.5,user_action,device2,45,device4,user3,,45,56,cat=user_action;outcome=True,CommonSecurityLog
2020-03-23T04:56:41.907Z,Vectra Networks,health,3,10.0.2.3,device5,10.0.7.2,5.5,outcome=success,device05,21,device5,user1,,25,63,heartbeat_check,CommonSecurityLog
2020-05-14T05:46:11.147Z,Vectra Networks,reverse_rat,0,10.20.5.52,dogfood.vectra.io,10.13.150.52,5.7,External Remote Access,ec2-100-20-5-52.us-west-2.compute.amazonaws.com,44317,d8:c4:6a:57:07:85,admin,https://dogfood.vectra.io/detections/44317?detail_id\=561693,0,0,cat=COMMAND & CONTROL;start=1585843645000;end=1589435013000,CommonSecurityLog
2020-05-13T23:59:47.193Z,Vectra Networks,frontwatch,5,0.0.0.0,dogfood.vectra.io,12.168.128.13,5.7,Multi-home Fronted Tunnel,,44556,demisto-vhe-5.0.0-20-62,user1,https://dogfood.vectra.io/detections/44556?detail_id\=561536,54,75,cat=COMMAND & CONTROL;start=1589404113000;end=1589414267000,CommonSecurityLog
2020-05-14T03:18:19.16Z,Vectra Networks,smb_enum_share,7,10.100.199.87,x4-3-14.sc.tvec,10.100.199.10,5.7,File Share Enumeration,,38,dc2-aws-us-west-01,admin,https://x4-3-14.sc.tvec/detections/38?detail_id\=123,70,47,cat=RECONNAISSANCE;start=1589426124000;end=1589426178000,CommonSecurityLog
2020-05-14T05:46:29.577Z,Vectra Networks,hidden_http_tunnel_cnc,3,14.209.123.148,x4-3-14.sc.tvec,10.168.90.103,5.7,Hidden HTTP Tunnel,ec2-34-209-123-148.us-west-2.compute.amazonaws.com,32,Zanzibar,user2,https://x4-3-14.sc.tvec/detections/32?detail_id\=201,37,59,cat=COMMAND & CONTROL;start=1589424622000;end=1589435024000,CommonSecurityLog
2020-05-14T03:23:30.64Z,Vectra Networks,port_sweep,5,0.0.0.0,x4-3-14.sc.tvec,10.100.199.10,5.7,Port Sweep,,40,dc2-aws-us-west-01,user1,https://x4-3-14.sc.tvec/detections/40?detail_id\=125,52,72,cat=RECONNAISSANCE;start=1589425892000;end=1589426045000,CommonSecurityLog
2020-05-14T01:14:37.297Z,Vectra Networks,darknet,5,10.168.13.178,x4-2-9.sc.tvec,10.168.153.17,5.6,Internal Darknet Scan,,132,cr_leroy_brown,,https://x4-2-9.sc.tvec/detections/132?detail_id\=712,50,52,cat=RECONNAISSANCE;start=1589240446000;end=1589355443000,CommonSecurityLog
2020-05-14T05:34:43.93Z,Vectra Networks,hidden_https_tunnel_cnc,0,15.66.140.169,dogfood.vectra.io,10.168.55.76,5.7,Hidden HTTPS Tunnel,ed075b8f-ff30-4418-bd42-b37a61451a90.ods.opinsights.azure.com,44563,oms-azure,,https://dogfood.vectra.io/detections/44563?detail_id\=561688,0,0,cat=COMMAND & CONTROL;start=1589425685000;end=1589434339000,CommonSecurityLog
2020-05-14T03:33:05.873Z,Vectra Networks,brute_force_i2i,0,10.168.7.178,dogfood.vectra.io,10.168.54.247,5.7,Brute-Force,sourcecode.tvec,44470,buildvm27.vectra.io,user1,https://dogfood.vectra.io/detections/44470?detail_id\=561637,0,0,cat=LATERAL MOVEMENT;start=1588475968000;end=1589425390000,CommonSecurityLog
2020-05-14T03:12:45.757Z,Vectra Networks,smb_psexec,2,10.100.199.10,x4-3-14.sc.tvec,10.168.199.30,5.7,Suspicious Remote Execution,,36,Deacon-desktop,admin,https://x4-3-14.sc.tvec/detections/36?detail_id\=102,20,95,cat=LATERAL MOVEMENT;start=1589425711000;end=1589425785000,CommonSecurityLog
2020-05-14T02:22:15.027Z,Vectra Networks,ldap_recon,2,10.168.90.2,x4-3-14.sc.tvec,10.168.90.101,5.7,Suspicious LDAP Query,,27,XianFS,user2,https://x4-3-14.sc.tvec/detections/27?detail_id\=58,21,25,cat=RECONNAISSANCE;start=1589422763000;end=1589422764000,CommonSecurityLog
2020-05-14T03:17:18.6Z,Vectra Networks,port_scan,6,10.168.60.61,x4-3-14.sc.tvec,10.168.30.189,5.7,Port Scan,,33,Cabot-desktop,,https://x4-3-14.sc.tvec/detections/33?detail_id\=118,60,80,cat=RECONNAISSANCE;start=1589424950000;end=1589425650000,CommonSecurityLog
2020-05-14T03:27:51.773Z,Vectra Networks,papi_rogue_admin,7,0.0.0.0,device6,,5.7,Privilege Anomaly: Unusual Service,,43,,user1,https://x4-3-14.sc.tvec/detections/43?detail_id\=127,75,95,cat=LATERAL MOVEMENT;account=deacon@lab.tme.local;start=1589426840000;end=1589426840000,CommonSecurityLog
2020-05-14T05:12:30.773Z,Vectra Networks,hidden_dns_tunnel_cnc,1,10.168.90.2,x4-3-14.sc.tvec,10.168.90.103,5.7,Hidden DNS Tunnel,,48,Zanzibar,cognito,https://x4-3-14.sc.tvec/detections/48?detail_id\=193,19,14,cat=COMMAND & CONTROL;start=1589431742000;end=1589432874000,CommonSecurityLog
2020-05-14T05:27:34.37Z,Vectra Networks,cnc_dga,1,8.8.8.8,x4-3-14.sc.tvec,10.168.173.204,5.7,Suspect Domain Activity,mail.baffcaaccaacac.ru,53,IP-192.168.173.204,,https://x4-3-14.sc.tvec/detections/53?detail_id\=8,16,16,cat=COMMAND & CONTROL;start=1589433969000;end=1589434015000,CommonSecurityLog
2020-05-14T00:14:30.24Z,Vectra Networks,hidden_dns_tunnel_exfil,4,10.168.55.10,x4-3-14.sc.tvec,10.168.51.6,5.7,Hidden DNS Tunnel,snakeoil.biz,12,Jun-Long,admin,https://x4-3-14.sc.tvec/detections/12?detail_id\=23,42,78,cat=EXFILTRATION;start=1589414902000;end=1589415109000,CommonSecurityLog
2020-05-14T05:01:12.407Z,Vectra Networks,smuggler,0,10.10.150.122,dogfood.vectra.io,10.168.54.121,5.7,Data Smuggler,725338656596.dkr.ecr.us-west-2.amazonaws.com,44506,buildvm19.vectra.io,,https://dogfood.vectra.io/detections/44506?detail_id\=561674,0,0,cat=EXFILTRATION;start=1588892692000;end=1589432362000,CommonSecurityLog
2020-05-14T02:07:41.607Z,Vectra Networks,papi_breach,9,0.0.0.0,device7,,5.7,Privilege Anomaly: Unusual Trio,,25,,,https://x4-3-14.sc.tvec/detections/25?detail_id\=54,95,95,cat=LATERAL MOVEMENT;account=svc-x45h8@corp.example.com;start=1589412661000;end=1589413687000,CommonSecurityLog
2020-05-14T03:34:33.977Z,Vectra Networks,watchmen,7,192.168.13.19,x4-2-9.sc.tvec,10.168.153.17,5.6,Suspicious Admin,,133,cr_leroy_brown,,https://x4-2-9.sc.tvec/detections/133?detail_id\=713,70,73,cat=LATERAL MOVEMENT;start=1589268477000;end=1589268477000,CommonSecurityLog
2020-05-14T00:09:53.887Z,Vectra Networks,sw_o365_paaAzureADAnomaly,0,0.0.0.0,device8,,5.7,O365 Suspicious AzureAD Operation,,44562,,user1,https://dogfood.vectra.io/detections/44562?detail_id\=561547,6,25,cat=LATERAL MOVEMENT;account=O365:aleader@vectra.ai;start=1589406327000;end=1589406327000,CommonSecurityLog
2020-05-14T01:59:45.857Z,Vectra Networks,rpc_recon,3,0.0.0.0,x4-3-14.sc.tvec,192.168.150.100,5.7,RPC Recon,,22,Piper-desktop,,https://x4-3-14.sc.tvec/detections/22?detail_id\=50,30,63,cat=RECONNAISSANCE;start=1589421555000;end=1589421555000,CommonSecurityLog
2020-05-14T03:17:18.61Z,Vectra Networks,stage_loader,8,10.100.199.10,x4-3-14.sc.tvec,192.168.199.30,5.7,Internal Stage Loader,,37,Deacon-desktop,,https://x4-3-14.sc.tvec/detections/37?detail_id\=119,88,88,cat=LATERAL MOVEMENT;start=1589425711000;end=1589425824000,CommonSecurityLog
2020-05-14T02:37:33.177Z,Vectra Networks,tor,1,10.16.0.1,x4-3-14.sc.tvec,192.168.152.194,5.7,TOR Activity,www.7tcqy6kttln6.com,29,IP-192.168.152.194,admin,https://x4-3-14.sc.tvec/detections/29?detail_id\=63,14,13,cat=COMMAND & CONTROL;start=1589423775000;end=1589423812000,CommonSecurityLog
2020-05-14T03:07:34.377Z,Vectra Networks,binaryloader,7,37.230.114.67,x4-3-14.sc.tvec,192.168.173.101,5.7,Malware Update,mail.baffcaaccaacac.ru,35,IP-192.168.173.101,cognito,https://x4-3-14.sc.tvec/detections/35?detail_id\=96,70,78,cat=COMMAND & CONTROL;start=1589425586000;end=1589425586000,CommonSecurityLog
