Process,Attack_techniques
At.exe,T1053.002
Atbroker.exe,T1218: Signed Binary Proxy Execution
Bash.exe,T1202: Indirect Command Execution
Bitsadmin.exe,T1564.004: NTFS File Attributes T1105: Ingress Tool Transfer T1218: Signed Binary Proxy Execution
CertOC.exe,T1218: Signed Binary Proxy Execution T1105: Ingress Tool Transfer
Cmstp.exe,T1218.003: CMSTP
Diskshadow.exe,T1003.003: NTDS T1202: Indirect Command Execution
Dllhost.exe,T1546.015: Component Object Model Hijacking
Dnscmd.exe,T1543.003: Windows Service
Explorer.exe,T1202: Indirect Command Execution
Extexport.exe,T1218: Signed Binary Proxy Execution
Forfiles.exe,T1202: Indirect Command Execution T1564.004: NTFS File Attributes
Ftp.exe,T1202: Indirect Command Execution T1105: Ingress Tool Transfer
Gpscript.exe,T1218: Signed Binary Proxy Execution
Hh.exe,T1105: Ingress Tool Transfer T1218.001: Compiled HTML File
Ie4uinit.exe,T1218: Signed Binary Proxy Execution
Ieexec.exe,T1105: Ingress Tool Transfer T1218: Signed Binary Proxy Execution
Infdefaultinstall.exe,Installutil.exe
AWL bypass,T1218.004: InstallUtil
Mavinject.exe,T1218.013: Mavinject T1564.004: NTFS File Attributes
Microsoft.Workflow.Compiler.exe,T1127: Trusted Developer Utilities Proxy Execution
Mmc.exe,T1218.014: MMC
Msbuild.exe,T1127.001: MSBuild
Msconfig.exe,T1218: Signed Binary Proxy Execution
Msdt.exe,T1218: Signed Binary Proxy Execution
Mshta.exe,T1218.005: Mshta
Msiexec.exe,T1218.007: Msiexec
Netsh.exe,T1546.007: Netsh Helper DLL
Odbcconf.exe,T1218.008: Odbcconf
OfflineScannerShell.exe,T1218: Signed Binary Proxy Execution
Pcalua.exe,T1202: Indirect Command Execution
Pcwrun.exe,T1218: Signed Binary Proxy Execution
Pnputil.exe,T1547: Boot or Logon Autostart Execution
Presentationhost.exe,T1218: Signed Binary Proxy Execution
Rasautou.exe,T1218: Signed Binary Proxy Execution
Regasm.exe,T1218.009: Regsvcs/Regasm
Register-cimprovider.exe,T1218: Signed Binary Proxy Execution
Regsvcs.exe,T1218.009: Regsvcs/Regasm
Regsvr32.exe,T1218.010: Regsvr32
Rundll32.exe,T1218.011: Rundll32 T1564.004: NTFS File Attributes
Runonce.exe,T1218: Signed Binary Proxy Execution
Runscripthelper.exe,T1218: Signed Binary Proxy Execution
Schtasks.exe,T1053.005: Scheduled Task
Scriptrunner.exe,T1202: Indirect Command Execution T1218: Signed Binary Proxy Execution
SettingSyncHost.exe,T1218: Signed Binary Proxy Execution
Stordiag.exe,T1218: Signed Binary Proxy Execution
SyncAppvPublishingServer.exe,T1218: Signed Binary Proxy Execution
Ttdinject.exe,T1127: Trusted Developer Utilities Proxy Execution
Tttracer.exe,T1127: Trusted Developer Utilities Proxy Execution T1003: OS Credential Dumping
Verclsid.exe,T1218.012: Verclsid
Wab.exe,T1218: Signed Binary Proxy Execution
Wmic.exe,T1564.004: NTFS File Attributes T1218: Signed Binary Proxy Execution
WorkFolders.exe,T1218: Signed Binary Proxy Execution
wuauclt.exe,T1218.011: Rundll32
Xwizard.exe,T1218: Signed Binary Proxy Execution T1105: Ingress Tool Transfer
