TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,AdditionalExtensions,DestinationIP,Message,OldFileCreateTime,ReceiptTime,SourceHostName,SourceMACAddress,SourceIP,Computer,SourceSystem,CollectorHostName,Type
"6/25/2025, 4:06:13.012 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.16.13.247,250974(250974),,Jun 25 2025 04:06:13 GMT,,,10.2.2.16,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:15.393 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.1.34,250974(250974),,Jun 25 2025 04:06:15 GMT,,,10.2.2.2,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:16.398 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.1.43,250974(250974),,Jun 25 2025 04:06:16 GMT,,,10.2.2.20,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:20.428 AM",Palo Alto Networks,PAN-OS,11.0.0,100000(100000),THREAT,3,Name=virus,10.1.1.6,100000(100000),,Jun 25 2025 04:06:20 GMT,,,10.2.2.11,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:20.428 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.2.243,250974(250974),,Jun 25 2025 04:06:20 GMT,,,10.2.2.8,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:20.428 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.1.56,250974(250974),,Jun 25 2025 04:06:20 GMT,,,10.2.2.46,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:26.496 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.1.14,250974(250974),,Jun 25 2025 04:06:26 GMT,,,10.2.2.62,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:27.501 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.2.255,250974(250974),,Jun 25 2025 04:06:27 GMT,,,10.2.2.29,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:28.012 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.1.12,250974(250974),,Jun 25 2025 04:06:28 GMT,,,10.2.2.58,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:29.514 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.1.39,250974(250974),,Jun 25 2025 04:06:29 GMT,,,10.2.2.12,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:29.514 AM",Palo Alto Networks,PAN-OS,11.0.0,256811(256811),THREAT,3,Name=virus,10.1.1.47,256811(256811),,Jun 25 2025 04:06:29 GMT,,,10.2.2.28,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:29.514 AM",Palo Alto Networks,PAN-OS,11.0.0,256811(256811),THREAT,3,Name=virus,10.1.2.244,256811(256811),,Jun 25 2025 04:06:29 GMT,,,10.2.2.10,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:35.559 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.1.35,250974(250974),,Jun 25 2025 04:06:35 GMT,,,10.2.2.4,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:37.568 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.1.39,250974(250974),,Jun 25 2025 04:06:37 GMT,,,10.2.2.9,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 4:06:37.568 AM",Palo Alto Networks,PAN-OS,11.0.0,250974(250974),THREAT,3,Name=virus,10.1.1.21,250974(250974),,Jun 25 2025 04:06:37 GMT,,,10.2.2.9,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
"6/25/2025, 6:07:48.751 AM",Palo Alto Networks,PAN-OS,11.0.0,100000(100000),THREAT,3,Name=virus,10.1.1.6,100000(100000),,Jun 25 2025 06:07:48 GMT,,,10.2.2.11,PA-VM.test.lab.com,OpsManager,sentinel-logstash.test.lab.com,CommonSecurityLog
