"TimeGenerated [UTC]",Source,EventLog,Computer,EventLevel,EventLevelName,EventID,UserName,RenderedDescription,MG,ManagementGroupName,Type,"_ResourceId",domains,firstFound,forestName,generationTime,likelihoodOfCompromise,numberOfResults,remediation,result,resultMessage,schedule,score,securityFrameworkTags,securityIndicatorDescription,securityIndicatorName,severity,weight,"_Empty",securityFrameworkTagsCsv
"6/2/2021, 1:14:07.853 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Principals with constrained authentication delegation enabled for a DC service (63) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:08.180 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9211,"NT AUTHORITY\SYSTEM","Security indicator passed: Principals with constrained authentication delegation enabled for a DC service  Generation time: 2021-06-02T13:14:07.9365084+00:00 Security indicator name: Principals with constrained authentication delegation enabled for a DC service Result: Pass Score: 100 A Forest name: dsp.lab Domains: dsp.lab Severity: Warning Weight: 1 Schedule: Run every hour starting on 4/29/2021 10:51:31 AM Security framework tags: Mitre:Privilege Escalation Security indicator description: This indicator looks for principals (computers or users) that have constrained delegation enabled for a service running on a DC. If an attacker can create such a delegation, they can authenticate to that service using any user that is not protected against delegation.  Likelihood of compromise: If an attacker is able to create a delegation to a DC service, the attacker still needs to find an account and credentials, that has rights on that service, in order to compromise it. But in general, delegations like this to DC-based services should never be created on arbitrary accounts and should be tightly monitored. Result Message: No evidence of exposure Number of results: 0 Remediation: None  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab",,"dsp.lab","2021-06-02T13:14:07.9365084Z","If an attacker is able to create a delegation to a DC service, the attacker still needs to find an account and credentials, that has rights on that service, in order to compromise it. But in general, delegations like this to DC-based services should never be created on arbitrary accounts and should be tightly monitored.",0,None,Pass,"No evidence of exposure","Run every hour starting on 4/29/2021 10:51:31 AM","100 A","Privilege Escalation","This indicator looks for principals (computers or users) that have constrained delegation enabled for a service running on a DC. If an attacker can create such a delegation, they can authenticate to that service using any user that is not protected against delegation. ","Principals with constrained authentication delegation enabled for a DC service",Warning,1,,"Privilege Escalation"
"6/2/2021, 1:14:08.227 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9206,"NT AUTHORITY\SYSTEM","Completed execution of security indicator: Principals with constrained authentication delegation enabled for a DC service (63) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:09.887 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Some domain controllers have not authenticated themselves for more than 45 days (62) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:10.167 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9211,"NT AUTHORITY\SYSTEM","Security indicator passed: Some domain controllers have not authenticated themselves for more than 45 days  Generation time: 2021-06-02T13:14:09.9244704+00:00 Security indicator name: Some domain controllers have not authenticated themselves for more than 45 days Result: Pass Score: 0 F Forest name: dsp.lab Domains: dsp.lab Severity: Warning Weight: 1 Schedule: Run every hour starting on 4/29/2021 8:44:19 AM Security framework tags: Mitre:Privilege Escalation, Mitre:Credential Access Security indicator description: Domain controller must authenticate and change their passwords at least every 30 days. Lack of domain authentication reveals out-of-sync machines. Out-of-sync domain controllers must be either reinstalled or removed. When reinstalling an out-of-sync domain controller, care must be taken not to introduce a new OWNER control path exposing its computer account. To avoid doing so, use of the  Djoin utility is advised. Likelihood of compromise: Domain controllers that are not active in the domain would likely be out-of-sync with functional DCs and therefore a compromised offline DC may be of little value to an attacker. However, if an attacker could compromise an offline DC and crack credentials or re-connect it to the domain, they may be able to introduce unwanted changes to production AD that could compromise it's security. Result Message: No evidence of exposure Number of results: 0 Remediation: None  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab",,"dsp.lab","2021-06-02T13:14:09.9244704Z","Domain controllers that are not active in the domain would likely be out-of-sync with functional DCs and therefore a compromised offline DC may be of little value to an attacker. However, if an attacker could compromise an offline DC and crack credentials or re-connect it to the domain, they may be able to introduce unwanted changes to production AD that could compromise it's security.",0,None,Pass,"No evidence of exposure","Run every hour starting on 4/29/2021 8:44:19 AM","0 F","Privilege Escalation, Credential Access","Domain controller must authenticate and change their passwords at least every 30 days. Lack of domain authentication reveals out-of-sync machines. Out-of-sync domain controllers must be either reinstalled or removed. When reinstalling an out-of-sync domain controller, care must be taken not to introduce a new OWNER control path exposing its computer account. To avoid doing so, use of the  Djoin utility is advised.","Some domain controllers have not authenticated themselves for more than 45 days",Warning,1,,"Privilege Escalation,Credential Access"
"6/2/2021, 1:14:10.217 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9206,"NT AUTHORITY\SYSTEM","Completed execution of security indicator: Some domain controllers have not authenticated themselves for more than 45 days (62) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:11.943 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator gMSA objects with old passwords (8) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:12.173 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9211,"NT AUTHORITY\SYSTEM","Security indicator passed: gMSA objects with old passwords  Generation time: 2021-06-02T13:14:11.9702559+00:00 Security indicator name: gMSA objects with old passwords Result: Pass Score: 100 A Forest name: dsp.lab Domains: dsp.lab Severity: Warning Weight: 1 Schedule: Run every hour starting on 3/3/2021 4:27:08 PM Security framework tags: Mitre:Credential Access Security indicator description: This indicator looks for group managed service accounts that have not automatically rotated their passwords. These passwords should be changed automatically every 30 days by default. Likelihood of compromise: gMSA accounts  should automatically rotate their passwords every 30 days. Objects that are not doing this could show evidence of tampering. Result Message: No evidence of exposure Number of results: 0 Remediation: None  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab",,"dsp.lab","2021-06-02T13:14:11.9702559Z","gMSA accounts  should automatically rotate their passwords every 30 days. Objects that are not doing this could show evidence of tampering.",0,None,Pass,"No evidence of exposure","Run every hour starting on 3/3/2021 4:27:08 PM","100 A","Credential Access","This indicator looks for group managed service accounts that have not automatically rotated their passwords. These passwords should be changed automatically every 30 days by default.","gMSA objects with old passwords",Warning,1,,"Credential Access"
"6/2/2021, 1:14:12.213 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9206,"NT AUTHORITY\SYSTEM","Completed execution of security indicator: gMSA objects with old passwords (8) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:14.547 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Built-in domain Administrator account with old password (180 days) (25) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
