ASIMFieldName, ASIMFieldType, ProductFieldName, ProductFieldType, ProductFieldDescription, ProductSampleValue, Logic
AdditionalFields,dynamic,,,,,direct mapping
ASimMatchingIpAddr,string,,,,,direct mapping
Dst,string,,,,,direct mapping
DstAppId,string,,,,,direct mapping
DstAppName,string,,,,,direct mapping
DstAppType,string,,,,,direct mapping
DstBytes,long,,,,,direct mapping
DstDescription,string,,,,,direct mapping
DstDeviceType,string,,,,,direct mapping
DstDomain,string,,,,,direct mapping
DstDomainType,string,,,,,direct mapping
DstDvcId,string,,,,,direct mapping
DstDvcIdType,string,,,,,direct mapping
DstFQDN,string,,,,,direct mapping
DstGeoCity,string,,,,,direct mapping
DstGeoCountry,string,,,,,direct mapping
DstGeoLatitude,real,,,,,direct mapping
DstGeoLongitude,real,,,,,direct mapping
DstGeoRegion,string,,,,,direct mapping
DstHostname,string,,,,,direct mapping
DstInterfaceGuid,string,,,,,direct mapping
DstInterfaceName,string,,,,,direct mapping
DstIpAddr,string,,,,,direct mapping
DstMacAddr,string,,,,,direct mapping
DstNatIpAddr,string,,,,,direct mapping
DstNatPortNumber,int,,,,,direct mapping
DstOriginalUserType,string,,,,,direct mapping
DstPackets,long,,,,,direct mapping
DstPortNumber,int,,,,,direct mapping
DstUserId,string,,,,,direct mapping
DstUserIdType,string,,,,,direct mapping
DstUsername,string,,,,,direct mapping
DstUsernameType,string,,,,,direct mapping
DstUserType,string,,,,,direct mapping
DstVlanId,sting,,,,,direct mapping
DstZone,string,,,,,direct mapping
Duration,int,,,,,direct mapping
Dvc,string,,,,,direct mapping
DvcAction,string,,,,,direct mapping
DvcDescription,string,,,,,direct mapping
DvcDomain,string,,,,,direct mapping
DvcDomainType,string,,,,,direct mapping
DvcFQDN,string,,,,,direct mapping
DvcHostname,string,,,,,direct mapping
DvcId,string,,,,,direct mapping
DvcIdType,string,,,,,direct mapping
DvcInboundInterface,string,,,,,direct mapping
DvcIpAddr,string,,,,,direct mapping
DvcMacAddr,string,,,,,direct mapping
DvcOriginalAction,string,,,,,direct mapping
DvcOutboundInterface,string,,,,,direct mapping
DvcScope,string,,,,,direct mapping
DvcScopeId,string,,,,,direct mapping
DvcZone,string,,,,,direct mapping
EventCount,int,,,,,direct mapping
EventEndTime,datetime,,,,,direct mapping
EventMessage,string,,,,,direct mapping
EventOriginalResultDetails,string,,,,,direct mapping
EventOriginalSeverity,string,,,,,direct mapping
EventOriginalSubType,string,,,,,direct mapping
EventOriginalType,string,,,,,direct mapping
EventOriginalUid,string,,,,,direct mapping
EventOwner,string,,,,,direct mapping
EventProduct,string,,,,,direct mapping
EventProductVersion,string,,,,,direct mapping
EventReportUrl,string,,,,,direct mapping
EventResult,string,,,,,direct mapping
EventResultDetails,string,,,,,direct mapping
EventSchema,string,,,,,direct mapping
EventSchemaVersion,string,,,,,direct mapping
EventSeverity,string,,,,,direct mapping
EventStartTime,datetime,,,,,direct mapping
EventSubType,string,,,,,direct mapping
EventType,string,,,,,direct mapping
EventUid,string,,,,,direct mapping
EventVendor,string,,,,,direct mapping
FileContentType,string,,,,,direct mapping
FileMD5,string,,,,,direct mapping
FileName,string,,,,,direct mapping
FileSHA1,string,,,,,direct mapping
FileSHA256,string,,,,,direct mapping
FileSHA512,string,,,,,direct mapping
FileSize,long,,,,,direct mapping
Hash,string,,,,,direct mapping
HashType,string,,,,,direct mapping
Hostname,string,,,,,direct mapping
HttpContentFormat,string,,,,,direct mapping
HttpContentType,string,,,,,direct mapping
HttpCookie,string,,,,,direct mapping
HttpHost,string,,,,,direct mapping
HttpIsProxied,bool,,,,,direct mapping
HttpReferrer,string,,,,,direct mapping
HttpRequestBodyBytes,long,,,,,direct mapping
HttpRequestCacheControl,string,,,,,direct mapping
HttpRequestHeaderCount,int,,,,,direct mapping
HttpRequestMethod,string,,,,,direct mapping
HttpRequestTime,int,,,,,direct mapping
HttpRequestXff,string,,,,,direct mapping
HttpResponseBodyBytes,long,,,,,direct mapping
HttpResponseCacheControl,string,,,,,direct mapping
HttpResponseExpires,string,,,,,direct mapping
HttpResponseHeaderCount,int,,,,,direct mapping
HttpResponseTime,int,,,,,direct mapping
HttpStatusCode,string,,,,,direct mapping
HttpUserAgent,string,,,,,direct mapping
HttpVersion,string,,,,,direct mapping
InnerVlanId,string,,,,,direct mapping
IpAddr,string,,,,,direct mapping
NetworkApplicationProtocol,string,,,,,direct mapping
NetworkBytes,long,,,,,direct mapping
NetworkConnectionHistory,string,,,,,direct mapping
NetworkDirection,string,,,,,direct mapping
NetworkDuration,int,,,,,direct mapping
NetworkIcmpCode,int,,,,,direct mapping
NetworkIcmpType,string,,,,,direct mapping
NetworkPackets,long,,,,,direct mapping
NetworkProtocol,string,,,,,direct mapping
NetworkProtocolVersion,string,,,,,direct mapping
NetworkSessionId,string,,,,,direct mapping
OuterVlanId,string,,,,,direct mapping
