DNSDomain,Type,ThresholdType,Threshold,Severity,Tactic,Name,Description,Enabled
noip.com,Detection,Static,0,Medium,Command and Control,Request to dynamic DNS service,Detects requests to ip lookup resources.,TRUE
dynu.com,Detection,Static,0,Medium,Command and Control,Request to dynamic DNS service,Detects requests to ip lookup resources.,TRUE
dyn.com,Detection,Static,0,Medium,Command and Control,Request to dynamic DNS service,Detects requests to ip lookup resources.,TRUE
dynv6.com,Detection,Static,0,Medium,Command and Control,Request to dynamic DNS service,Detects requests to ip lookup resources.,TRUE
monerohash.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
do-dear.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
xmrminerpro.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
secumine.net,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
xmrpool.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
minexmr.org,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
hashanywhere.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
xmrget.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
mininglottery.eu,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
minergate.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
moriaxmr.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
multipooler.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
moneropools.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
xmrpool.eu,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
coolmining.club,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
supportxmr.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
minexmr.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
hashvault.pro,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
xmrpool.net,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
crypto-pool.fr,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
xmr.pt,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
miner.rocks,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
walpool.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
herominers.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
gntl.co.uk,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
semipool.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
coinfoundry.org,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
cryptoknight.cc,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
fairhash.org,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
baikalmine.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
tubepool.xyz,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
fairpool.xyz,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
asiapool.io,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
coinpoolit.webhop.me,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
nanopool.org,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
moneropool.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
miner.center,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
prohash.net,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
poolto.be,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
cryptoescrow.eu,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
monerominers.net,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
cryptonotepool.org,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
extrmepool.org,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
webcoin.me,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
kippo.eu,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
hashinvest.ws,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
monero.farm,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
supportxmr.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
xmrpool.eu,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
linux-repository-updates.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
1gh.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
dwarfpool.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
hash-to-coins.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
hashvault.pro,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
pool-proxy.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
hashfor.cash,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
fairpool.cloud,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
