"Time","Message","Severity"
"1/4/2023 8:33 AM","Clearing existing Azure connection","Information"
"1/4/2023 8:33 AM","Clearing existing Azure context 
","Information"
"1/4/2023 8:33 AM","Clearing of existing connection and context completed.","Information"
"1/4/2023 8:33 AM","
Working in Subscription: Syslog Subscription","Information"
"1/4/2023 8:33 AM","Listing Azure Logic Apps workspace from Syslog Subscription","Information"
"1/4/2023 8:34 AM","Creating ARM Template","Information"
"1/4/2023 8:36 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Playbooks/providers/Microsoft.Logic/workflows/BlockAllowProcess; name=BlockAllowProcess; type=Microsoft.Logic/workflows; location=eastus; tags=; identity=}","Information"
"1/4/2023 8:36 AM","@{kind=V1; properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Playbooks/providers/Microsoft.Web/connections/azuresentinel-1; name=azuresentinel-1; type=Microsoft.Web/connections; location=eastus}","Information"
"1/4/2023 8:36 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/providers/Microsoft.Web/locations/eastus/managedApis/azuresentinel; name=azuresentinel; type=Microsoft.Web/locations/managedApis; location=eastus}","Information"
"1/4/2023 8:36 AM","@{kind=V1; properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Playbooks/providers/Microsoft.Web/connections/keyvault-5; name=keyvault-5; type=Microsoft.Web/connections; location=eastus}","Information"
"1/4/2023 8:36 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/providers/Microsoft.Web/locations/eastus/managedApis/keyvault; name=keyvault; type=Microsoft.Web/locations/managedApis; location=eastus}","Information"
"1/4/2023 8:36 AM","ARM Template created successfully at F:\Sentinel\Azure-Sentinel\Solutions\PCMatic SuperShield\Playbooks\BlockAllowProcess\azuredeploy.json","Information"
"1/4/2023 8:36 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Playbooks/providers/Microsoft.Logic/workflows/RemoveProcess; name=RemoveProcess; type=Microsoft.Logic/workflows; location=eastus; tags=; identity=}","Information"
"1/4/2023 8:36 AM","@{kind=V1; properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Playbooks/providers/Microsoft.Web/connections/azuresentinel-1; name=azuresentinel-1; type=Microsoft.Web/connections; location=eastus}","Information"
"1/4/2023 8:36 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/providers/Microsoft.Web/locations/eastus/managedApis/azuresentinel; name=azuresentinel; type=Microsoft.Web/locations/managedApis; location=eastus}","Information"
"1/4/2023 8:36 AM","@{kind=V1; properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/resourceGroups/Playbooks/providers/Microsoft.Web/connections/keyvault-5; name=keyvault-5; type=Microsoft.Web/connections; location=eastus}","Information"
"1/4/2023 8:37 AM","@{properties=; id=/subscriptions/b4c56e1b-e902-4c40-9681-12b933c3ba73/providers/Microsoft.Web/locations/eastus/managedApis/keyvault; name=keyvault; type=Microsoft.Web/locations/managedApis; location=eastus}","Information"
"1/4/2023 8:37 AM","ARM Template created successfully at F:\Sentinel\Azure-Sentinel\Solutions\PCMatic SuperShield\Playbooks\RemoveProcess\azuredeploy.json","Information"
