"Time","Message","Severity"
"8/24/2022 9:32 AM","Clearing existing Azure connection","Information"
"8/24/2022 9:32 AM","Clearing existing Azure context 
","Information"
"8/24/2022 9:32 AM","Clearing of existing connection and context completed.","Information"
"8/24/2022 9:32 AM","
Working in Subscription: SentinelCAT Eco Dev","Information"
"8/24/2022 9:32 AM","Listing Azure Logic Apps workspace from SentinelCAT Eco Dev","Information"
"8/24/2022 9:33 AM","Creating ARM Template","Information"
"8/24/2022 9:33 AM","@{properties=; id=/subscriptions/4383ac89-7cd1-48c1-8061-b0b3c5ccfd97/resourceGroups/anki-soar-testing/providers/Microsoft.Logic/workflows/OpenCTI-IndicatorsStream; name=OpenCTI-IndicatorsStream; type=Microsoft.Logic/workflows; location=southeastasia}","Information"
"8/24/2022 9:33 AM","@{kind=V1; properties=; id=/subscriptions/4383ac89-7cd1-48c1-8061-b0b3c5ccfd97/resourceGroups/anki-soar-testing/providers/Microsoft.Web/connections/OpenCTICustomConnector-OpenCTI-GetIndicatorInfo; name=OpenCTICustomConnector-OpenCTI-GetIndicatorInfo; type=Microsoft.Web/connections; location=southeastasia}","Information"
"8/24/2022 9:33 AM","@{properties=; id=/subscriptions/4383ac89-7cd1-48c1-8061-b0b3c5ccfd97/resourceGroups/anki-soar-testing/providers/Microsoft.Web/customApis/OpenCTICustomConnector; name=OpenCTICustomConnector; type=Microsoft.Web/customApis; location=southeastasia}","Information"
"8/24/2022 9:33 AM","ARM Template created successfully at C:\Users\anknar\Desktop\OpenCTI-IndicatorsStream\azuredeploy.json","Information"
