"Time","Message","Severity"
"8/24/2022 9:26 AM","Clearing existing Azure connection","Information"
"8/24/2022 9:26 AM","Clearing existing Azure context 
","Information"
"8/24/2022 9:26 AM","Clearing of existing connection and context completed.","Information"
"8/24/2022 9:27 AM","
Working in Subscription: SentinelCAT Eco Dev","Information"
"8/24/2022 9:27 AM","Listing Azure Logic Apps workspace from SentinelCAT Eco Dev","Information"
"8/24/2022 9:27 AM","Creating ARM Template","Information"
"8/24/2022 9:28 AM","@{properties=; id=/subscriptions/4383ac89-7cd1-48c1-8061-b0b3c5ccfd97/resourceGroups/anki-soar-testing/providers/Microsoft.Logic/workflows/OpenCTI-ImportToSentinel; name=OpenCTI-ImportToSentinel; type=Microsoft.Logic/workflows; location=southeastasia}","Information"
"8/24/2022 9:28 AM","@{kind=V1; properties=; id=/subscriptions/4383ac89-7cd1-48c1-8061-b0b3c5ccfd97/resourceGroups/anki-soar-testing/providers/Microsoft.Web/connections/microsoftgraphsecurity; name=microsoftgraphsecurity; type=Microsoft.Web/connections; location=southeastasia}","Information"
"8/24/2022 9:28 AM","@{properties=; id=/subscriptions/4383ac89-7cd1-48c1-8061-b0b3c5ccfd97/providers/Microsoft.Web/locations/southeastasia/managedApis/microsoftgraphsecurity; name=microsoftgraphsecurity; type=Microsoft.Web/locations/managedApis; location=southeastasia}","Information"
"8/24/2022 9:28 AM","ARM Template created successfully at C:\Users\anknar\Desktop\OpenCTI-ImportToSentinel\azuredeploy.json","Information"
