TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceEventClassID,LogSeverity,Computer,DestinationPort,DestinationIP,DeviceAddress,Message,Protocol,SourceIP,DeviceVersion,Activity,ApplicationProtocol,EventCount,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,AdditionalExtensions,StartTime [UTC],EndTime [UTC],Type
"4/9/2021, 4:53:39.435 AM",vArmour,AC,1,1,ac-01,1433,vm-DB-eCom-Orders10_200_3_1,,,tcp,Inventory-Management10_21_22_8_vm,6,POLICY_VIOLATION,mssql,50,"PCI-Policy{PCI-Policy_ID150_21} Customer-DB-PCI-Attestation-06-02-2020{Customer-DB-Base_ID146_20,permit},Default{IntcCatchAll,permit}",policyName,,srcLabels,,dstLabels,"PCI=;Category-3{AppFunc=;Inventory-Management,AppID=;23422,AppName=;Backoffice,AppOwner=;Rueben_Mckenzie,Criticality=;3,PCI=;Category-3,PII=;No,QualysAgent=;Yes,RTO=;1,Realm=;PROD,Region=;AWS-US-West,System=;Internal,TaniumAgent=Yes};Category-1a{AppFunc=;DB-eCom-Orders,AppID=;844,AppName=;Customer-DB,AppOwner=;Albie_Garrison,CVE=;High,Criticality=;1,PCI=;Category-1a,PII=;Yes,QualysAgent=;DEV,Region=;Oregon-DC,System=;src_ip=10.21.22.8;dst_ip=10.200.3.1",,,CommonSecurityLog
"4/9/2021, 5:13:30.297 AM",vArmour,AC,1,1,ac-01,50075,Data_Lake10_100_17_10.prod.acme.com,,,tcp,Predictive_Pricing10_100_14_6.prod.acme.com,6,POLICY_VIOLATION,unknown_tcp,66,"ActvityFromDecommissionedDevice{Decom_In} Default{IntcCatchAll,permit}",policyName,,srcLabels,,dstLabels,"Any{AppFunc=;Predictive-Pricing,AppID=;2014,AppName=;Risk-Calcs,AppOwner=;Tj_Sumner,Criticality=;3,PCI=;Category-3,PII=;No,QualysAgent=;Yes,RTO=;4,Realm=;PROD,Region=;NewYork-DC,System=;Internal,TaniumAgent=;status=;decommissioned{AppFunc=;Data-Lake,AppID=;2,PCI=;Category-2c,PII=;Yes,status=decommissioned};src_ip=10.100.14.6;dst_ip=10.100.17.10",,,CommonSecurityLog
"4/9/2021, 4:53:39.209 AM",vArmour,AC,1,1,ac-01,443,vm-Campaign-Mgmt-Frontend10_10_1_2,,,tcp,Stephan Lacroix,6,POLICY_VIOLATION,https,31,"Mobile-Banking_Application_Attestation_06-02-2020{Mobile-Banking_A_ID167_52} Default{IntcCatchAll,permit}",policyName,,srcLabels,,dstLabels,"{AppFunc=;Sales,AppName=;Users,Criticality=;5,PCI=;Category-3,PII=;No,Realm=;PROD,Region=;NewYork-DC,SentinalOne=;Yes,System=;Internal,UserManager=Donald_Hernandez};AppName=;Mobile-Banking{AppFunc=;Campaign-Mgmt-Frontend,AppID=;47436,AppName=;Mobile-Banking,AppOwner=;Henna_Daly,Criticality=;4,PCI=;No,QualysAgent=;Yes,RTO=;2,Realm=;MGMT,Region=;Azure-Central-US,System=;Internal,TaniumAgent=Yes};src_ip=10.100.9.8;dst_ip=10.10.1.2",,,CommonSecurityLog
"4/9/2021, 4:53:39.238 AM",vArmour,AC,1,1,ac-01,443,vm-Campaign-Mgmt-Frontend10_10_1_2,,,tcp,Stephan Lacroix,6,POLICY_VIOLATION,https,,"Mobile-Banking_Application_Attestation_06-02-2020{Mobile-Banking_A_ID167_52} Default{IntcCatchAll,permit}",policyName,,srcLabels,,dstLabels,"{AppFunc=;Sales,AppName=;Users,Criticality=;5,PCI=;Category-3,PII=;No,Realm=;PROD,Region=;NewYork-DC,SentinalOne=;Yes,System=;Internal,UserManager=Donald_Hernandez};AppName=;Mobile-Banking{AppFunc=;Campaign-Mgmt-Frontend,AppID=;47436,AppName=;Mobile-Banking,AppOwner=;Henna_Daly,Criticality=;4,PCI=;No,QualysAgent=;Yes,RTO=;2,Realm=;MGMT,Region=;Azure-Central-US,System=;Internal,TaniumAgent=Yes};src_ip=10.100.9.8;dst_ip=10.10.1.2",,,CommonSecurityLog
"4/9/2021, 4:53:39.238 AM",vArmour,AC,1,1,ac-01,443,vm-Campaign-Mgmt-Frontend10_10_1_2,,,tcp,Carlotta Wilhelm,6,POLICY_VIOLATION,https,2,"Mobile-Banking_Application_Attestation_06-02-2020{Mobile-Banking_A_ID167_52} Default{IntcCatchAll,permit}",policyName,,srcLabels,,dstLabels,"{AppFunc=;Sales,AppName=;Users,Criticality=;5,PCI=;Category-3,PII=;No,Realm=;PROD,Region=;NewYork-DC,SentinalOne=;Yes,System=;Internal,UserManager=Donald_Hernandez};AppName=;Mobile-Banking{AppFunc=;Campaign-Mgmt-Frontend,AppID=;47436,AppName=;Mobile-Banking,AppOwner=;Henna_Daly,Criticality=;4,PCI=;No,QualysAgent=;Yes,RTO=;2,Realm=;MGMT,Region=;Azure-Central-US,System=;Internal,TaniumAgent=Yes};src_ip=10.100.9.10;dst_ip=10.10.1.2",,,CommonSecurityLog
"4/9/2021, 4:53:39.238 AM",vArmour,AC,1,1,ac-01,443,vm-Campaign-Mgmt-Frontend10_10_1_2,,,tcp,Stephan Lacroix,6,POLICY_VIOLATION,https,31,"Mobile-Banking_Application_Attestation_06-02-2020{Mobile-Banking_A_ID167_52} Default{IntcCatchAll,permit}",policyName,,srcLabels,,dstLabels,"{AppFunc=;Sales,AppName=;Users,Criticality=;5,PCI=;Category-3,PII=;No,Realm=;PROD,Region=;NewYork-DC,SentinalOne=;Yes,System=;Internal,UserManager=Donald_Hernandez};AppName=;Mobile-Banking{AppFunc=;Campaign-Mgmt-Frontend,AppID=;47436,AppName=;Mobile-Banking,AppOwner=;Henna_Daly,Criticality=;4,PCI=;No,QualysAgent=;Yes,RTO=;2,Realm=;MGMT,Region=;Azure-Central-US,System=;Internal,TaniumAgent=Yes};src_ip=10.100.9.8;dst_ip=10.10.1.2",,,CommonSecurityLog
"4/9/2021, 4:53:39.238 AM",vArmour,AC,1,1,ac-01,443,vm-Campaign-Mgmt-Frontend10_10_1_2,,,tcp,Carlotta Wilhelm,6,POLICY_VIOLATION,https,2,"Mobile-Banking_Application_Attestation_06-02-2020{Mobile-Banking_A_ID167_52} Default{IntcCatchAll,permit}",policyName,,srcLabels,,dstLabels,"{AppFunc=;Sales,AppName=;Users,Criticality=;5,PCI=;Category-3,PII=;No,Realm=;PROD,Region=;NewYork-DC,SentinalOne=;Yes,System=;Internal,UserManager=Donald_Hernandez};AppName=;Mobile-Banking{AppFunc=;Campaign-Mgmt-Frontend,AppID=;47436,AppName=;Mobile-Banking,AppOwner=;Henna_Daly,Criticality=;4,PCI=;No,QualysAgent=;Yes,RTO=;2,Realm=;MGMT,Region=;Azure-Central-US,System=;Internal,TaniumAgent=Yes};src_ip=10.100.9.10;dst_ip=10.10.1.2",,,CommonSecurityLog
"4/9/2021, 4:53:39.238 AM",vArmour,AC,1,1,ac-01,443,vm-Campaign-Mgmt-Frontend10_10_1_2,,,tcp,Katharyn Kovach,6,POLICY_VIOLATION,https,9,"Mobile-Banking_Application_Attestation_06-02-2020{Mobile-Banking_A_ID167_52} Default{IntcCatchAll,permit}",policyName,,srcLabels,,dstLabels,"{AppFunc=;Sales,AppName=;Users,Criticality=;5,PCI=;Category-3,PII=;No,Realm=;PROD,Region=;NewYork-DC,SentinalOne=;Yes,System=;Internal,UserManager=Donald_Hernandez};AppName=;Mobile-Banking{AppFunc=;Campaign-Mgmt-Frontend,AppID=;47436,AppName=;Mobile-Banking,AppOwner=;Henna_Daly,Criticality=;4,PCI=;No,QualysAgent=;Yes,RTO=;2,Realm=;MGMT,Region=;Azure-Central-US,System=;Internal,TaniumAgent=Yes};src_ip=10.100.9.3;dst_ip=10.10.1.2",,,CommonSecurityLog
"4/9/2021, 4:53:39.239 AM",vArmour,AC,1,1,ac-01,443,vm-Campaign-Mgmt-Frontend10_10_1_1,,,tcp,Linn Barth,6,POLICY_VIOLATION,https,50,"Mobile-Banking_Application_Attestation_06-02-2020{Mobile-Banking_A_ID167_52} Default{IntcCatchAll,permit}",policyName,,srcLabels,,dstLabels,"{AppFunc=;Sales,AppName=;Users,Criticality=;5,PCI=;Category-3,PII=;No,Realm=;PROD,Region=;NewYork-DC,SentinalOne=;Yes,System=;Internal,UserManager=Donald_Hernandez};AppName=;Mobile-Banking{AppFunc=;Campaign-Mgmt-Frontend,AppID=;47436,AppName=;Mobile-Banking,AppOwner=;Henna_Daly,Criticality=;4,PCI=;No,QualysAgent=;Yes,RTO=;2,Realm=;MGMT,Region=;Azure-Central-US,System=;Internal,TaniumAgent=Yes};src_ip=10.100.9.7;dst_ip=10.10.1.1",,,CommonSecurityLog
"4/9/2021, 4:53:39.239 AM",vArmour,AC,1,1,ac-01,443,vm-Campaign-Mgmt-Frontend10_10_1_2,,,tcp,Katharyn Kovach,6,POLICY_VIOLATION,https,9,"Mobile-Banking_Application_Attestation_06-02-2020{Mobile-Banking_A_ID167_52} Default{IntcCatchAll,permit}",policyName,,srcLabels,,dstLabels,"{AppFunc=;Sales,AppName=;Users,Criticality=;5,PCI=;Category-3,PII=;No,Realm=;PROD,Region=;NewYork-DC,SentinalOne=;Yes,System=;Internal,UserManager=Donald_Hernandez};AppName=;Mobile-Banking{AppFunc=;Campaign-Mgmt-Frontend,AppID=;47436,AppName=;Mobile-Banking,AppOwner=;Henna_Daly,Criticality=;4,PCI=;No,QualysAgent=;Yes,RTO=;2,Realm=;MGMT,Region=;Azure-Central-US,System=;Internal,TaniumAgent=Yes};src_ip=10.100.9.3;dst_ip=10.10.1.2",,,CommonSecurityLog
