TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceVersion,EventClassID,EventMessage,EventSeverity,DestinationHostName,DestinationMACAddress,DestinationIP,Protocol,SourceHostName,SourceMACAddress,SourceIP,EventType,EventCategory,EventServer,EventCollectorHostName,SchemaVersion,EventID,Port,SourceVendor,DestinationVendor,SourceType,DestinationType,SourceVLAN,EventTime [UTC]
"5/18/2024, 4:02:00.625 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,B8:27:EB:11:DE:24,172.16.8.17,Modbus,,00:30:DE:40:D0:8D#012,172.16.2.41,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,220,502,WAGO Kontakttechnik GmbH,Raspberry Pi Foundation,Server,Server,1,"5/18/2024, 4:02:00.625 PM"
"5/18/2024, 4:02:00.641 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,00:30:DE:40:D0:8D,172.16.2.41,Modbus,,B8:27:EB:11:DE:24#012,172.16.8.17,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,221,502,Raspberry Pi Foundation,WAGO Kontakttechnik GmbH,Server,Server,1,"5/18/2024, 4:02:00.641 PM"
"5/18/2024, 4:02:00.651 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,B8:27:EB:94:FF:4A,172.16.8.14,Modbus,,00:30:DE:40:D0:8D#012,172.16.2.41,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,222,502,WAGO Kontakttechnik GmbH,Raspberry Pi Foundation,Server,Server,1,"5/18/2024, 4:02:00.651 PM"
"5/18/2024, 4:02:00.665 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,00:30:DE:40:D0:8D,172.16.2.41,Modbus,,B8:27:EB:94:FF:4A#012,172.16.8.14,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,223,502,Raspberry Pi Foundation,WAGO Kontakttechnik GmbH,Server,Server,1,"5/18/2024, 4:02:00.665 PM"
"5/18/2024, 4:02:00.675 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,00:30:DE:40:D0:DB,172.16.1.41,S7/S7Plus/61850-MMS,,00:30:DE:40:D0:E0#012,172.16.4.41,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,224,102,WAGO Kontakttechnik GmbH,WAGO Kontakttechnik GmbH,Server,Server,1,"5/18/2024, 4:02:00.675 PM"
"5/18/2024, 4:02:00.686 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,B8:27:EB:F1:57:B5,172.16.8.11,Modbus,,00:30:DE:40:D0:DB#012,172.16.1.41,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,225,502,WAGO Kontakttechnik GmbH,Raspberry Pi Foundation,Server,Server,1,"5/18/2024, 4:02:00.686 PM"
"5/18/2024, 4:02:00.701 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,00:30:DE:40:D0:DB,172.16.1.41,Modbus,,B8:27:EB:F1:57:B5#012,172.16.8.11,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,226,502,Raspberry Pi Foundation,WAGO Kontakttechnik GmbH,Server,Server,1,"5/18/2024, 4:02:00.701 PM"
"5/18/2024, 4:02:00.715 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,00:30:DE:40:D0:DB,172.16.1.41,Modbus,,B8:27:EB:9B:0B:D2#012,172.16.8.12,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,227,502,Raspberry Pi Foundation,WAGO Kontakttechnik GmbH,Server,Server,1,"5/18/2024, 4:02:00.715 PM"
"5/18/2024, 4:02:00.725 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,00:30:DE:40:D0:E4,172.16.5.41,S7/S7Plus/61850-MMS,,EC:74:BA:27:3B:1C#012,172.18.5.60,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,228,102,Hirschmann Automation and Control GmbH,WAGO Kontakttechnik GmbH,Server,Server,None,"5/18/2024, 4:02:00.725 PM"
"5/18/2024, 4:02:00.736 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,B8:27:EB:9B:0B:D2,172.16.8.12,Modbus,,00:30:DE:40:D0:DB#012,172.16.1.41,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,229,502,WAGO Kontakttechnik GmbH,Raspberry Pi Foundation,Server,Server,1,"5/18/2024, 4:02:00.736 PM"
"5/18/2024, 4:02:00.747 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,B8:27:EB:2B:87:1C,172.16.8.18,Modbus,,00:30:DE:40:D0:E0#012,172.16.4.41,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,230,502,WAGO Kontakttechnik GmbH,Raspberry Pi Foundation,Server,Server,1,"5/18/2024, 4:02:00.747 PM"
"5/18/2024, 4:02:00.758 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,00:30:DE:40:D0:E0,172.16.4.41,Modbus,,B8:27:EB:2B:87:1C#012,172.16.8.18,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,231,502,Raspberry Pi Foundation,WAGO Kontakttechnik GmbH,Server,Server,1,"5/18/2024, 4:02:00.758 PM"
"5/18/2024, 4:02:00.770 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,B8:27:EB:1E:29:37,172.16.8.19,Modbus,,00:30:DE:40:D0:E0#012,172.16.4.41,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,232,502,WAGO Kontakttechnik GmbH,Raspberry Pi Foundation,Server,Server,1,"5/18/2024, 4:02:00.770 PM"
"5/18/2024, 4:02:00.780 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,00:30:DE:40:D0:E0,172.16.4.41,Modbus,,B8:27:EB:1E:29:37#012,172.16.8.19,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,233,502,Raspberry Pi Foundation,WAGO Kontakttechnik GmbH,Server,Server,1,"5/18/2024, 4:02:00.780 PM"
"5/18/2024, 4:02:04.823 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,00:80:F4:0E:10:FC,192.168.1.85,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,251,,TELEMECANIQUE ELECTRIQUE,,Server,,None,"5/18/2024, 4:02:04.823 PM"
"5/18/2024, 4:02:04.838 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,00:30:DE:40:D0:E0,172.16.4.41,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,256,,WAGO Kontakttechnik GmbH,,Server,,1,"5/18/2024, 4:02:04.838 PM"
"5/18/2024, 4:02:04.852 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,EC:74:BA:27:3B:1C,172.18.5.60,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,257,,Hirschmann Automation and Control GmbH,,Server,,None,"5/18/2024, 4:02:04.852 PM"
"5/18/2024, 4:02:04.862 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,00:30:DE:40:D0:8D,172.16.2.41,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,258,,WAGO Kontakttechnik GmbH,,Server,,1,"5/18/2024, 4:02:04.862 PM"
"5/18/2024, 4:02:04.883 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,B8:27:EB:11:DE:24,172.16.8.17,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,259,,Raspberry Pi Foundation,,Server,,1,"5/18/2024, 4:02:04.883 PM"
"5/18/2024, 4:02:04.895 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,B8:27:EB:94:FF:4A,172.16.8.14,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,260,,Raspberry Pi Foundation,,Server,,1,"5/18/2024, 4:02:04.895 PM"
"5/18/2024, 4:02:04.905 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,00:30:DE:40:D0:DB,172.16.1.41,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,261,,WAGO Kontakttechnik GmbH,,Server,,1,"5/18/2024, 4:02:04.905 PM"
"5/18/2024, 4:02:04.935 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,B8:27:EB:F1:57:B5,172.16.8.11,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,262,,Raspberry Pi Foundation,,Server,,1,"5/18/2024, 4:02:04.935 PM"
"5/18/2024, 4:02:04.946 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,B8:27:EB:9B:0B:D2,172.16.8.12,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,263,,Raspberry Pi Foundation,,Server,,1,"5/18/2024, 4:02:04.946 PM"
"5/18/2024, 4:02:04.967 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,00:30:DE:40:D0:E4,172.16.5.41,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,264,,WAGO Kontakttechnik GmbH,,Server,,1,"5/18/2024, 4:02:04.967 PM"
"5/18/2024, 4:02:04.977 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,B8:27:EB:2B:87:1C,172.16.8.18,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,265,,Raspberry Pi Foundation,,Server,,1,"5/18/2024, 4:02:04.977 PM"
"5/18/2024, 4:02:04.995 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,B8:27:EB:1E:29:37,172.16.8.19,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,266,,Raspberry Pi Foundation,,Server,,1,"5/18/2024, 4:02:04.995 PM"
"5/18/2024, 4:02:05.010 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,00:05:21:02:0E:BF,192.168.1.43,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,267,,Control Microsystems,,Server,,None,"5/18/2024, 4:02:05.010 PM"
"5/18/2024, 4:02:05.029 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,00:0C:29:15:A5:76,192.168.1.67,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,268,,"VMware, Inc.",,Server,,None,"5/18/2024, 4:02:05.029 PM"
"5/18/2024, 4:02:05.040 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,00:05:21:02:15:B6,192.168.1.33,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,269,,Control Microsystems,,Server,,3,"5/18/2024, 4:02:05.040 PM"
"5/18/2024, 4:02:05.054 PM",radiflow,isid,7.0.2.28,1,New device detected,Medium,,,,,,00:30:DE:40:D0:E2,172.16.3.41,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,270,,WAGO Kontakttechnik GmbH,,Server,,None,"5/18/2024, 4:02:05.054 PM"
"5/18/2024, 4:02:05.067 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,5C:88:16:F2:89:6D,192.168.1.63,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,271,,Rockwell Automation,,Server,,None,"5/18/2024, 4:02:05.067 PM"
"5/18/2024, 4:02:05.083 PM",radiflow,isid,7.0.2.28,3,New MAC detected,Medium,,,,,,00:30:DE:40:D0:E2,172.16.3.41,0,'Device',radiflow-labs-isid,radiflow-labs-syslog,1,272,,WAGO Kontakttechnik GmbH,,Server,,None,"5/18/2024, 4:02:05.083 PM"
"5/18/2024, 4:02:05.094 PM",radiflow,isid,7.0.2.28,2,New Link Detected,Medium,,00:30:DE:40:D0:E2,172.16.3.41,S7/S7Plus/61850-MMS,,EC:74:BA:27:3B:1C#012,172.18.5.60,0,'Link',radiflow-labs-isid,radiflow-labs-syslog,1,255,102,Hirschmann Automation and Control GmbH,WAGO Kontakttechnik GmbH,Server,Server,None,"5/18/2024, 4:02:05.094 PM"
"5/18/2024, 4:02:05.103 PM",radiflow,isid,7.0.2.28,101,Schneider Logic Update Detected,High,,00:80:F4:0E:10:FC,192.168.1.85,Modbus,,44:8A:5B:CB:72:42#012,192.168.1.6,0,'Cyber',radiflow-labs-isid,radiflow-labs-syslog,1,252,502,"Micro-Star INT'L CO., LTD.",TELEMECANIQUE ELECTRIQUE,Server,Server,None,"5/18/2024, 4:02:05.103 PM"
"5/18/2024, 4:02:05.114 PM",radiflow,isid,7.0.2.28,143,(spp_modbus): Reserved Modbus function code in use.,High,,00:80:F4:0E:10:FC,192.168.1.85,Modbus,,44:8A:5B:CB:72:42#012,192.168.1.6,0,'Cyber',radiflow-labs-isid,radiflow-labs-syslog,1,253,502,"Micro-Star INT'L CO., LTD.",TELEMECANIQUE ELECTRIQUE,Server,Server,None,"5/18/2024, 4:02:05.114 PM"
"5/18/2024, 4:02:05.125 PM",radiflow,isid,7.0.2.28,143,(spp_modbus): Reserved Modbus function code in use.,High,,44:8A:5B:CB:72:42,192.168.1.6,Modbus,,00:80:F4:0E:10:FC#012,192.168.1.85,0,'Cyber',radiflow-labs-isid,radiflow-labs-syslog,1,254,502,TELEMECANIQUE ELECTRIQUE,"Micro-Star INT'L CO., LTD.",Server,Server,None,"5/18/2024, 4:02:05.125 PM"
