ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,System.String,string
SourceSystem,1,System.String,string
MG,2,System.String,string
ManagementGroupName,3,System.String,string
TimeGenerated,4,System.DateTime,datetime
Computer,5,System.String,string
RawData,6,System.String,string
id_d,7,System.Double,real
user_id_d,8,System.Double,real
username_s,9,System.String,string
user_type_s,10,System.String,string
user_role_s,11,System.String,string
version_s,12,System.String,string
source_ip_s,13,System.String,string
event_timestamp_t,14,System.DateTime,datetime
Message,15,System.String,string
result_status_s,16,System.String,string
event_data_s,17,System.String,string
event_object_s,18,System.String,string
event_action_s,19,System.String,string
api_client_id_g,20,System.String,string
Type,21,System.String,string
_ResourceId,22,System.String,string
