TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna]",Computer,RawData,"watchlist_id_s","watchlist_name_s","entity_id_s","entity_name_s",Severity,"axis_s","date_t [Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna]","name_s","id_s",Type,"_ResourceId"
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-08 09:43:53.494",,,"report:hAcDjU","Third-Parties Watch List",GCIGh,GitHub,3,intent,"2023-07-28 07:38:09.000","Lazarus Group",QCwdoU,"RecordedFutureThreatMapLogEntries_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-08 09:43:54.655",,,"report:hAcDjT","Tech Stack Watch List",JQ0FoX,"Microsoft Windows 10",1,capability,"2023-03-09 01:00:00.000","Lazarus Group",QCwdoU,"RecordedFutureThreatMapLogEntries_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-08 09:43:54.704",,,,,QCwdoU,"Lazarus Group",4,capability,"2023-05-01 02:00:00.000","Lazarus Group",QCwdoU,"RecordedFutureThreatMapLogEntries_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-08 09:43:54.789",,,"report:hAcDjT","Tech Stack Watch List","B_HOS","Microsoft Windows",1,capability,"2023-08-29 02:00:00.000","Lazarus Group",QCwdoU,"RecordedFutureThreatMapLogEntries_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-07 13:43:38.206",,,"report:hAcDjU","Third-Parties Watch List",GCIGh,GitHub,3,intent,"2023-07-28 07:38:09.000","Lazarus Group",QCwdoU,"RecordedFutureThreatMapLogEntries_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-07 13:43:38.218",,,,,QCwdoU,"Lazarus Group",4,capability,"2023-05-01 02:00:00.000","Lazarus Group",QCwdoU,"RecordedFutureThreatMapLogEntries_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-07 13:43:38.887",,,"report:hAcDjT","Tech Stack Watch List",JQ0FoX,"Microsoft Windows 10",1,capability,"2023-03-09 01:00:00.000","Lazarus Group",QCwdoU,"RecordedFutureThreatMapLogEntries_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-07 13:43:39.063",,,"report:hAcDjT","Tech Stack Watch List","B_HOS","Microsoft Windows",1,capability,"2023-08-29 02:00:00.000","Lazarus Group",QCwdoU,"RecordedFutureThreatMapLogEntries_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-07 18:44:00.356",,,,,QCwdoU,"Lazarus Group",4,capability,"2023-05-01 02:00:00.000","Lazarus Group",QCwdoU,"RecordedFutureThreatMapLogEntries_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-07 18:44:00.372",,,"report:hAcDjU","Third-Parties Watch List",GCIGh,GitHub,3,intent,"2023-07-28 07:38:09.000","Lazarus Group",QCwdoU,"RecordedFutureThreatMapLogEntries_CL",
