"TimeGenerated","SourceSystem","OperationName","AwsEventId","EventName","EventSource","EventTypeName","AWSRegion","RecipientAccountId","UserIdentityType","UserIdentityArn","UserIdentityAccountId","UserIdentityPrincipalid","UserIdentityUserName","UserIdentityAccessKeyId","SourceIpAddress","UserAgent","RequestParameters","ResponseElements","ErrorCode","ErrorMessage","ReadOnly","ManagementEvent","Category","AdditionalEventData","Resources","SessionCreationDate","SessionIssuerAccountId","SessionIssuerArn","SessionIssuerType","SessionIssuerUserName","SessionMfaAuthenticated","Type"
"10/02/2026 11:00:12","AWS","CloudTrail","a1b2c3d4-0001-4000-8000-000000000001","ConsoleLogin","signin.amazonaws.com","AwsConsoleSignIn","us-east-1","123456789012","IAMUser","arn:aws:iam::123456789012:user/mirage","123456789012","AIDAJEXAMPLE1ROGUE","mirage","AKIAIOSFODNN7EXAMPLE","198.51.100.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36","{}","{""ConsoleLogin"":""Success""}","","","False","True","Management","{""MobileVersion"":""No"",""MFAUsed"":""No"",""LoginTo"":""https://console.aws.amazon.com""}","","10/02/2026 11:00:12","","","","","False","AWSCloudTrail"
"10/02/2026 11:02:45","AWS","CloudTrail","a1b2c3d4-0002-4000-8000-000000000002","DescribeInstances","ec2.amazonaws.com","AwsApiCall","us-east-1","123456789012","IAMUser","arn:aws:iam::123456789012:user/jane.smith","123456789012","AIDAJEXAMPLE2JANES","jane.smith","AKIAI44QH8DHBEXAMPLE","198.51.100.22","aws-cli/2.15.0 Python/3.11.6","{}","","","","True","True","Management","","","10/02/2026 09:30:00","","","","","True","AWSCloudTrail"
"10/02/2026 11:03:18","AWS","CloudTrail","a1b2c3d4-0003-4000-8000-000000000003","ListBuckets","s3.amazonaws.com","AwsApiCall","us-east-1","123456789012","IAMUser","arn:aws:iam::123456789012:user/jane.smith","123456789012","AIDAJEXAMPLE2JANES","jane.smith","AKIAI44QH8DHBEXAMPLE","198.51.100.22","aws-cli/2.15.0 Python/3.11.6","{}","{""buckets"":[{""name"":""corp-data-prod""}]}","","","True","True","Management","","","10/02/2026 09:30:00","","","","","True","AWSCloudTrail"
"10/02/2026 11:04:30","AWS","CloudTrail","a1b2c3d4-0004-4000-8000-000000000004","CreateUser","iam.amazonaws.com","AwsApiCall","us-east-1","123456789012","IAMUser","arn:aws:iam::123456789012:user/mirage","123456789012","AIDAJEXAMPLE1ROGUE","mirage","AKIAIOSFODNN7EXAMPLE","198.51.100.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36","{""userName"":""backdoor-svc""}","{""user"":{""userName"":""backdoor-svc"",""userId"":""AIDAJEXAMPLEBACKDOOR"",""arn"":""arn:aws:iam::123456789012:user/backdoor-svc""}}","","","False","True","Management","","","10/02/2026 11:00:12","","","","","False","AWSCloudTrail"
"10/02/2026 11:05:02","AWS","CloudTrail","a1b2c3d4-0005-4000-8000-000000000005","CreateAccessKey","iam.amazonaws.com","AwsApiCall","us-east-1","123456789012","IAMUser","arn:aws:iam::123456789012:user/mirage","123456789012","AIDAJEXAMPLE1ROGUE","mirage","AKIAIOSFODNN7EXAMPLE","198.51.100.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36","{""userName"":""backdoor-svc""}","{""accessKey"":{""accessKeyId"":""AKIAI99ATTACKKEY"",""status"":""Active""}}","","","False","True","Management","","","10/02/2026 11:00:12","","","","","False","AWSCloudTrail"
"10/02/2026 11:06:15","AWS","CloudTrail","a1b2c3d4-0006-4000-8000-000000000006","AttachUserPolicy","iam.amazonaws.com","AwsApiCall","us-east-1","123456789012","IAMUser","arn:aws:iam::123456789012:user/mirage","123456789012","AIDAJEXAMPLE1ROGUE","mirage","AKIAIOSFODNN7EXAMPLE","198.51.100.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36","{""userName"":""backdoor-svc"",""policyArn"":""arn:aws:iam::aws:policy/AdministratorAccess""}","","","","False","True","Management","","","10/02/2026 11:00:12","","","","","False","AWSCloudTrail"
"10/02/2026 11:07:00","AWS","CloudTrail","a1b2c3d4-0007-4000-8000-000000000007","PutObject","s3.amazonaws.com","AwsApiCall","us-east-1","123456789012","IAMUser","arn:aws:iam::123456789012:user/deploy-svc","123456789012","AIDAJEXAMPLE3DEPLOY","deploy-svc","AKIAI55DEPLOYEXAMPLE","10.0.5.100","aws-sdk-java/2.20.0","{""bucketName"":""deploy-artifacts-prod"",""key"":""releases/v2.4.1/app.zip""}","","","","False","True","Data","","","10/02/2026 08:00:00","","","","","False","AWSCloudTrail"
"10/02/2026 11:08:22","AWS","CloudTrail","a1b2c3d4-0008-4000-8000-000000000008","DescribeInstances","ec2.amazonaws.com","AwsApiCall","us-east-1","123456789012","IAMUser","arn:aws:iam::123456789012:user/deploy-svc","123456789012","AIDAJEXAMPLE3DEPLOY","deploy-svc","AKIAI55DEPLOYEXAMPLE","10.0.5.100","aws-sdk-java/2.20.0","{}","","","","True","True","Management","","","10/02/2026 08:00:00","","","","","False","AWSCloudTrail"
"10/02/2026 11:09:45","AWS","CloudTrail","a1b2c3d4-0009-4000-8000-000000000009","AuthorizeSecurityGroupIngress","ec2.amazonaws.com","AwsApiCall","us-east-1","123456789012","IAMUser","arn:aws:iam::123456789012:user/mirage","123456789012","AIDAJEXAMPLE1ROGUE","mirage","AKIAIOSFODNN7EXAMPLE","198.51.100.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36","{""groupId"":""sg-0a1b2c3d4e5f67890"",""ipPermissions"":{""items"":[{""ipProtocol"":""-1"",""ipRanges"":{""items"":[{""cidrIp"":""0.0.0.0/0""}]}}]}}","{""requestId"":""abcd-1234"",""return"":true}","","","False","True","Management","","","10/02/2026 11:00:12","","","","","False","AWSCloudTrail"
"10/02/2026 11:11:30","AWS","CloudTrail","a1b2c3d4-0010-4000-8000-000000000010","RunInstances","ec2.amazonaws.com","AwsApiCall","us-east-1","123456789012","IAMUser","arn:aws:iam::123456789012:user/mirage","123456789012","AIDAJEXAMPLE1ROGUE","mirage","AKIAIOSFODNN7EXAMPLE","198.51.100.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36","{""instanceType"":""p3.16xlarge"",""imageId"":""ami-0abcdef1234567890"",""minCount"":5,""maxCount"":5}","{""instancesSet"":{""items"":[{""instanceId"":""i-0a1b2c3d4e5f00001""},{""instanceId"":""i-0a1b2c3d4e5f00002""},{""instanceId"":""i-0a1b2c3d4e5f00003""},{""instanceId"":""i-0a1b2c3d4e5f00004""},{""instanceId"":""i-0a1b2c3d4e5f00005""}]}}","","","False","True","Management","","","10/02/2026 11:00:12","","","","","False","AWSCloudTrail"
