"TimeGenerated","SourceSystem","Id","Cid","Aid","VulnerabilityId","DataProviders","CreatedTimestamp","UpdatedTimestamp","Status","Apps","Confidence","App_product_name","App_vendor","App_version_string","Cve_id","Cve_base_score","Cve_severity","Cve_description","Cve_published_date","Cve_exploitability_score","Cve_impact_score","HostInfo_hostname","HostInfo_local_ip","HostInfo_os_version","HostInfo_platform_name","HostInfo_agent_id","Remediation_action","Remediation_description"
"06/02/2026 18:43:12","CrowdStrike","vuln-????????????????","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","cs-aid-win11a-0001","CVE-2023-20198","CrowdStrike Spotlight","25/01/2026 18:43:12","06/02/2026 18:43:12","open","{""product_name_version"":""IOS XE 19.3"",""vendor"":""Cisco""}","high","IOS XE","Cisco","14.4.1111","CVE-2023-20198","10","Critical","Cisco IOS XE Web UI Privilege Escalation","05/01/2026 18:43:12","3.2","3.7","win11a","10.0.1.50","Windows 11","Windows","cs-aid-win11a-0001","upgrade","Update IOS XE to latest version"
"06/02/2026 18:43:12","CrowdStrike","vuln-????????????????","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","cs-aid-win11b-0002","CVE-2024-21412","CrowdStrike Spotlight","24/12/2025 18:43:12","06/02/2026 18:43:12","patched","{""product_name_version"":""Windows 18.3"",""vendor"":""Microsoft""}","high","Windows","Microsoft","20.0.2310","CVE-2024-21412","8.1","High","Internet Shortcut Files Security Feature Bypass","04/03/2025 18:43:12","3.3","4.7","win11b","10.0.1.51","Windows 11","Windows","cs-aid-win11b-0002","patch","Update Windows to latest version"
"06/02/2026 18:43:12","CrowdStrike","vuln-????????????????","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","cs-aid-devws01-0003","CVE-2023-44487","CrowdStrike Spotlight","25/01/2026 18:43:12","06/02/2026 18:43:12","open","{""product_name_version"":""HTTP/2 22.3"",""vendor"":""IETF""}","medium","HTTP/2","IETF","17.4.7045","CVE-2023-44487","7.5","High","HTTP/2 Rapid Reset Attack","25/12/2025 18:43:12","1.2","3.5","dev-ws01","10.0.2.10","Windows 11","Windows","cs-aid-devws01-0003","mitigate","Update HTTP/2 to latest version"
"06/02/2026 18:43:12","CrowdStrike","vuln-????????????????","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","cs-aid-win11c-0004","CVE-2023-20198","CrowdStrike Spotlight","31/12/2025 18:43:12","06/02/2026 18:43:12","open","{""product_name_version"":""IOS XE 19.0"",""vendor"":""Cisco""}","low","IOS XE","Cisco","17.0.2219","CVE-2023-20198","10","Critical","Cisco IOS XE Web UI Privilege Escalation","06/02/2025 18:43:12","1.1","5.1","win11c","10.0.1.52","Windows 11","Windows","cs-aid-win11c-0004","patch","Update IOS XE to latest version"
"06/02/2026 18:43:12","CrowdStrike","vuln-????????????????","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","cs-aid-itws01-0005","CVE-2024-21412","CrowdStrike Spotlight","10/01/2026 18:43:12","06/02/2026 18:43:12","open","{""product_name_version"":""Windows 16.1"",""vendor"":""Microsoft""}","medium","Windows","Microsoft","14.3.3818","CVE-2024-21412","8.1","High","Internet Shortcut Files Security Feature Bypass","22/08/2025 18:43:12","2","4.8","it-ws01","10.0.1.53","Windows 11","Windows","cs-aid-itws01-0005","patch","Update Windows to latest version"
"06/02/2026 18:43:12","CrowdStrike","vuln-????????????????","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","cs-aid-srvdc01-0006","CVE-2023-20198","CrowdStrike Spotlight","27/01/2026 18:43:12","06/02/2026 18:43:12","open","{""product_name_version"":""IOS XE 14.3"",""vendor"":""Cisco""}","medium","IOS XE","Cisco","21.2.5567","CVE-2023-20198","10","Critical","Cisco IOS XE Web UI Privilege Escalation","08/10/2025 18:43:12","1.6","5","srv-dc01","10.0.0.10","Windows Server 2022","Windows","cs-aid-srvdc01-0006","patch","Update IOS XE to latest version"
"06/02/2026 18:43:12","CrowdStrike","vuln-????????????????","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","cs-aid-win11d-0007","CVE-2024-3400","CrowdStrike Spotlight","19/11/2025 18:43:12","06/02/2026 18:43:12","patched","{""product_name_version"":""PAN-OS 22.4"",""vendor"":""Palo Alto""}","high","PAN-OS","Palo Alto","17.2.5081","CVE-2024-3400","10","Critical","PAN-OS Command Injection","18/05/2025 18:43:12","1.9","4.8","win11d","10.0.1.54","Windows 11","Windows","cs-aid-win11d-0007","mitigate","Update PAN-OS to latest version"
"06/02/2026 18:43:12","CrowdStrike","vuln-????????????????","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","cs-aid-srvfile-0008","CVE-2023-36884","CrowdStrike Spotlight","04/12/2025 18:43:12","06/02/2026 18:43:12","exception","{""product_name_version"":""Office 22.0"",""vendor"":""Microsoft""}","low","Office","Microsoft","11.1.7132","CVE-2023-36884","8.8","High","Office and Windows HTML RCE","11/05/2025 18:43:12","1.4","3.4","srv-file01","10.0.0.20","Windows Server 2022","Windows","cs-aid-srvfile-0008","upgrade","Update Office to latest version"
"06/02/2026 18:43:12","CrowdStrike","vuln-????????????????","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","cs-aid-win11a-0001","CVE-2023-44487","CrowdStrike Spotlight","02/02/2026 18:43:12","06/02/2026 18:43:12","exception","{""product_name_version"":""HTTP/2 17.3"",""vendor"":""IETF""}","medium","HTTP/2","IETF","18.1.183","CVE-2023-44487","7.5","High","HTTP/2 Rapid Reset Attack","13/03/2025 18:43:12","2.5","4.6","win11a","10.0.1.50","Windows 11","Windows","cs-aid-win11a-0001","mitigate","Update HTTP/2 to latest version"
"06/02/2026 18:43:12","CrowdStrike","vuln-????????????????","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","cs-aid-win11b-0002","CVE-2023-44487","CrowdStrike Spotlight","16/11/2025 18:43:12","06/02/2026 18:43:12","patched","{""product_name_version"":""HTTP/2 21.1"",""vendor"":""IETF""}","medium","HTTP/2","IETF","13.4.7240","CVE-2023-44487","7.5","High","HTTP/2 Rapid Reset Attack","02/05/2025 18:43:12","1.4","4","win11b","10.0.1.51","Windows 11","Windows","cs-aid-win11b-0002","patch","Update HTTP/2 to latest version"
