"TimeGenerated","SourceSystem","AgentId","AggregateId","AssignedToName","AssignedToUid","AssignedToUuid","Cid","CompositeId","Confidence","CrawledTimestamp","CreatedTimestamp","DataDomains","Description","DisplayName","EmailSent","External","Id","Name","Objective","PatternId","Platform","Product","Scenario","SecondsToResolved","SecondsToTriaged","Severity","SeverityName","ShowInUi","SourceProducts","SourceVendors","Status","Tactic","TacticId","Tags","Technique","TechniqueId","Timestamp","AlertType","UpdatedTimestamp"
"06/02/2026 14:46:27","CrowdStrike","cs-aid-win11a-0001","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","89","06/02/2026 14:46:27","06/02/2026 14:46:27","endpoint","User executed downloaded malicious payload","User Execution: Malicious File on win11a","False","False","alert-????????????????","User Execution: Malicious File","Gain Access","47788","Windows","epp","suspicious_activity","0","0","4","Critical","True","Falcon","CrowdStrike","new","Execution","TA0002","","User Execution: Malicious File","T1204.002","06/02/2026 14:46:27","ldt","06/02/2026 14:46:27"
"06/02/2026 14:51:42","CrowdStrike","cs-aid-win11a-0001","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","84","06/02/2026 14:51:42","06/02/2026 14:51:42","endpoint","Credential dumping via LSASS memory access detected","Credential Dumping via LSASS on win11a","False","False","alert-????????????????","Credential Dumping via LSASS","Steal Credentials","34289","Windows","epp","suspicious_activity","0","0","4","Critical","True","Falcon","CrowdStrike","true_positive","Credential Access","TA0006","","OS Credential Dumping","T1003.001","06/02/2026 14:51:42","ldt","06/02/2026 14:51:42"
"06/02/2026 15:18:42","CrowdStrike","cs-aid-win11a-0001","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","84","06/02/2026 15:18:42","06/02/2026 15:18:42","endpoint","Outbound connection to known command-and-control infrastructure","NetworkConnect C2 on win11a","False","False","alert-????????????????","NetworkConnect C2","Maintain Presence","56756","Windows","epp","suspicious_activity","0","0","4","Critical","True","Falcon","CrowdStrike","true_positive","Command and Control","TA0011","","Application Layer Protocol: Web Protocols","T1071.001","06/02/2026 15:18:42","ldt","06/02/2026 15:18:42"
"06/02/2026 17:43:12","CrowdStrike","cs-aid-win11a-0001","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","91","06/02/2026 17:43:12","06/02/2026 17:43:12","endpoint","Credential dumping via LSASS memory access detected","Credential Dumping via LSASS on win11a","False","False","alert-????????????????","Credential Dumping via LSASS","Steal Credentials","16817","Windows","epp","suspicious_activity","0","6085","4","Critical","True","Falcon","CrowdStrike","true_positive","Credential Access","TA0006","","OS Credential Dumping","T1003","06/02/2026 17:43:12","ldt","06/02/2026 17:43:12"
"06/02/2026 17:44:24","CrowdStrike","cs-aid-srvfile-0008","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","70","06/02/2026 17:44:24","06/02/2026 17:44:24","endpoint","Credential dumping via LSASS memory access detected","Credential Dumping via LSASS on srv-file01","False","False","alert-????????????????","Credential Dumping via LSASS","Steal Credentials","71969","Windows","epp","suspicious_activity","0","5354","4","Critical","True","Falcon","CrowdStrike","true_positive","Credential Access","TA0006","","OS Credential Dumping","T1003","06/02/2026 17:44:24","ldt","06/02/2026 17:44:24"
"06/02/2026 17:45:36","CrowdStrike","cs-aid-itws01-0005","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","72","06/02/2026 17:45:36","06/02/2026 17:45:36","endpoint","Suspicious PowerShell command execution detected","Malicious PowerShell Execution on it-ws01","True","False","alert-????????????????","Malicious PowerShell Execution","Gain Access","10591","Windows","epp","suspicious_activity","0","4038","4","Critical","True","Falcon","CrowdStrike","new","Execution","TA0002","","Command and Scripting Interpreter","T1059","06/02/2026 17:45:36","ldt","06/02/2026 17:45:36"
"06/02/2026 17:46:48","CrowdStrike","cs-aid-itws01-0005","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","95","06/02/2026 17:46:48","06/02/2026 17:46:48","endpoint","Sensitive file access and staging detected","Sensitive File Staging on it-ws01","True","False","alert-????????????????","Sensitive File Staging","Data Collection","78925","Windows","epp","suspicious_activity","0","3465","2","Medium","True","Falcon","CrowdStrike","in_progress","Collection","TA0009","","Data from Local System","T1005","06/02/2026 17:46:48","ldt","06/02/2026 17:46:48"
"06/02/2026 17:48:00","CrowdStrike","cs-aid-itws01-0005","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","79","06/02/2026 17:48:00","06/02/2026 17:48:00","endpoint","Sensitive file access and staging detected","Sensitive File Staging on it-ws01","True","False","alert-????????????????","Sensitive File Staging","Data Collection","63357","Windows","epp","suspicious_activity","0","4600","2","Medium","True","Falcon","CrowdStrike","in_progress","Collection","TA0009","","Data from Local System","T1005","06/02/2026 17:48:00","ldt","06/02/2026 17:48:00"
"06/02/2026 17:49:12","CrowdStrike","cs-aid-win11a-0001","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","95","06/02/2026 17:49:12","06/02/2026 17:49:12","endpoint","Outbound connection to known C2 infrastructure","C2 Beacon Detected on win11a","False","False","alert-????????????????","C2 Beacon Detected","Maintain Presence","26936","Windows","epp","suspicious_activity","0","1281","4","Critical","True","Falcon","CrowdStrike","false_positive","Command and Control","TA0011","","Application Layer Protocol","T1071","06/02/2026 17:49:12","ldt","06/02/2026 17:49:12"
"06/02/2026 17:50:24","CrowdStrike","cs-aid-win11a-0001","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","75","06/02/2026 17:50:24","06/02/2026 17:50:24","endpoint","Outbound connection to known C2 infrastructure","C2 Beacon Detected on win11a","False","False","alert-????????????????","C2 Beacon Detected","Maintain Presence","38160","Windows","epp","suspicious_activity","0","6136","4","Critical","True","Falcon","CrowdStrike","true_positive","Command and Control","TA0011","","Application Layer Protocol","T1071","06/02/2026 17:50:24","ldt","06/02/2026 17:50:24"
"06/02/2026 17:51:36","CrowdStrike","cs-aid-srvfile-0008","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","87","06/02/2026 17:51:36","06/02/2026 17:51:36","endpoint","Suspected ransomware behavior detected","Ransomware Behavior on srv-file01","True","False","alert-????????????????","Ransomware Behavior","Denial of Service","27213","Windows","epp","known_malware","0","5715","4","Critical","True","Falcon","CrowdStrike","false_positive","Impact","TA0040","","Data Encrypted for Impact","T1486","06/02/2026 17:51:36","ldt","06/02/2026 17:51:36"
"06/02/2026 17:52:48","CrowdStrike","cs-aid-win11c-0004","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","80","06/02/2026 17:52:48","06/02/2026 17:52:48","endpoint","Suspicious PowerShell command execution detected","Malicious PowerShell Execution on win11c","False","False","alert-????????????????","Malicious PowerShell Execution","Gain Access","87022","Windows","epp","suspicious_activity","0","4145","4","Critical","True","Falcon","CrowdStrike","new","Execution","TA0002","","Command and Scripting Interpreter","T1059","06/02/2026 17:52:48","ldt","06/02/2026 17:52:48"
"06/02/2026 17:54:00","CrowdStrike","cs-aid-win11a-0001","agg-????????","","","","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4","a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4:alert-????????????????","93","06/02/2026 17:54:00","06/02/2026 17:54:00","endpoint","Attempt to disable security tooling detected","Security Tool Tamper Attempt on win11a","False","False","alert-????????????????","Security Tool Tamper Attempt","Evade Detection","95912","Windows","epp","suspicious_activity","0","348","3","High","True","Falcon","CrowdStrike","in_progress","Defense Evasion","TA0005","","Impair Defenses","T1562","06/02/2026 17:54:00","ldt","06/02/2026 17:54:00"
