Account,AccountType,Computer,EventSourceName,Channel,Task,Level,EventData,EventID,Activity,SourceComputerId,EventOriginId,TimeCollected [UTC],AccessList,AccessMask,AdditionalInfo,AdditionalInfo2,AuthenticationPackageName,CallerProcessId,RelativeTargetName
\AZUREUSER,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,2afc94b0-5a4b-40e6-8542-bf5d5d26a141,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\administrator,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,0c121ccf-e504-46d5-8567-05f2260bc1ff,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\admin,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,35f834b1-df79-4044-ab1b-009992bd04e8,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\administrator,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,6cd803ef-2aa3-40dc-a938-e565b3c221a4,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\admin,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,4791ede3-61fe-4247-901e-249e2c390049,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
CONTOSO\ADMINPC$,Machine,AdminPc.Contoso.Azure,Microsoft-Windows-Security-Auditing,Security,12800,8,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""SubjectUserSid"">S-1-5-18</Data>
  <Data Name=""SubjectUserName"">ADMINPC$</Data>
  <Data Name=""SubjectDomainName"">CONTOSO</Data>
  <Data Name=""SubjectLogonId"">0x3e7</Data>
  <Data Name=""ObjectServer"">Security</Data>
  <Data Name=""ObjectType"">File</Data>
  <Data Name=""ObjectName"">C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\PSScriptOutputs\PSScript_Stderr_{6C8F3EC3-E2DF-4561-93DA-611598C47952}.txt</Data>
  <Data Name=""HandleId"">0x284</Data>
  <Data Name=""RelativeTargetName"">583da945-62af-10e8-4902-a8f205c72b2e</Data>
  <Data Name=""AccessList"">%%4418 				</Data>
  <Data Name=""AccessMask"">0x10000</Data>
  <Data Name=""ProcessId"">0x1498</Data>
  <Data Name=""ProcessName"">C:\Program Files\Windows Defender Advanced Threat Protection\SenseIR.exe</Data>
  <Data Name=""ResourceAttributes"">S:AI</Data>
</EventData>",5145,5145 - A network share object was checked to see whether client can be granted desired access.,5503048d-aae9-48b7-bda5-46b931ec9ed1,3104d44c-3956-4b4c-ba3a-15c834a6f6e4,"4/16/2021, 8:46:43.862 AM","%%4418 				",0x10000,,,NTLM,,583da945-62af-10e8-4902-a8f205c72b2e
SHIR-Hive\admin,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,21e6ec12-275e-4245-be9a-09c325d65b85,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\admin,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,3a6db7a5-a2d0-4595-9dc0-b44fb7afc5bf,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
CONTOSO\VICTIMPC$,Machine,VictimPc.Contoso.Azure,Microsoft-Windows-Security-Auditing,Security,12800,8,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""SubjectUserSid"">S-1-5-18</Data>
  <Data Name=""SubjectUserName"">VICTIMPC$</Data>
  <Data Name=""SubjectDomainName"">CONTOSO</Data>
  <Data Name=""SubjectLogonId"">0x3e7</Data>
  <Data Name=""ObjectServer"">Security</Data>
  <Data Name=""ObjectType"">File</Data>
  <Data Name=""ObjectName"">C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\PSScriptOutputs\PSScript_Stderr_{6C8F3EC3-E2DF-4561-93DA-611598C47952}.txt</Data>
  <Data Name=""HandleId"">0x284</Data>
  <Data Name=""RelativeTargetName"">583da945-62af-10e8-4902-a8f205c72b2e</Data>
  <Data Name=""AccessList"">%%4418 				</Data>
  <Data Name=""AccessMask"">0x10000</Data>
  <Data Name=""ProcessId"">0x1498</Data>
  <Data Name=""ProcessName"">C:\Program Files\Windows Defender Advanced Threat Protection\SenseIR.exe</Data>
  <Data Name=""ResourceAttributes"">S:AI</Data>
</EventData>",5145,5145 - A network share object was checked to see whether client can be granted desired access.,f6638b82-98a5-4542-8bec-6bc0977f793f,3104d44c-3956-4b4c-ba3a-15c834a6f6e4,"4/16/2021, 8:46:42.862 AM","%%4418 				",0x10000,,,NTLM,,583da945-62af-10e8-4902-a8f205c72b2e
\administrator,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,0a319007-db4c-466b-a4cd-d5f7adb349d9,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
,,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,13824,8,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""SubjectUserSid"">S-1-5-18</Data>
  <Data Name=""SubjectUserName"">SHIR-Hive$</Data>
  <Data Name=""SubjectDomainName"">WORKGROUP</Data>
  <Data Name=""SubjectLogonId"">0x3e7</Data>
  <Data Name=""TargetName"">SQLADS:*</Data>
  <Data Name=""Type"">0</Data>
  <Data Name=""CountOfCredentialsReturned"">0</Data>
  <Data Name=""ReadOperation"">%%8100</Data>
  <Data Name=""ReturnCode"">3221226021</Data>
  <Data Name=""ProcessCreationTime"">2021-03-29T15:51:56.5253075Z</Data>
  <Data Name=""ClientProcessId"">2884</Data>
</EventData>",5379,5379,df6a58ab-e4d5-47e3-853f-26e261ec7efb,e6d8d965-a986-46e0-ab38-89b04a5a88fd,"4/16/2021, 9:09:00.730 AM",,,,,,,
SHIR-Hive\admin,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,06b66dab-f97e-4c31-9c5a-72b007f63103,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\admin,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,5ea28324-812c-483f-9533-43bb9fd05f49,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\administrator,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,d8af8e21-e459-4a24-8554-e2561f001dc4,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\administrator,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,b4793792-e5ab-44ed-b2ca-f440043ac112,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\admin,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,d1198161-f8be-4d2f-8217-80dc3c9760da,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\PJOHNSON,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,487c4039-8108-4c55-aab6-e0ec00f23585,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\administrator,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,1b1f3ea4-d42f-413f-928b-426cb71271cb,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\admin,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,07afcff3-3e1a-49ae-92f3-f954932ba5aa,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\USER,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,ec3e4f94-c07a-41d8-a57b-094f4ce2b0ce,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\admin,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,1c18979c-fc2d-4ee7-9005-9e9a5b28caaa,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\administrator,User,SHIR-Hive,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,df6a58ab-e4d5-47e3-853f-26e261ec7efb,8a28d3eb-ab69-46ba-bb35-9f5214897293,"4/16/2021, 9:09:00.730 AM",,,,,NTLM,,
\ADMINISTRATEUR,User,SHIR-SAP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,790738c2-d2df-4c61-b9ce-1fa1ba028f27,74a7c1e5-c11b-4eed-a53b-b5ea52ac224c,"4/16/2021, 9:11:13.620 AM",,,,,NTLM,,
\SERVER,User,SHIR-SAP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,790738c2-d2df-4c61-b9ce-1fa1ba028f27,50922fc2-e327-4aa4-93d0-9253cc9e6bcd,"4/16/2021, 9:11:13.620 AM",,,,,NTLM,,
\HELPDESK,User,SHIR-SAP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,790738c2-d2df-4c61-b9ce-1fa1ba028f27,06ab4987-55ac-4647-a46a-52537e6bbf87,"4/16/2021, 9:11:13.620 AM",,,,,NTLM,,
\MIKE,User,SHIR-SAP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,790738c2-d2df-4c61-b9ce-1fa1ba028f27,c78102f7-2a19-42c8-9255-9a662eae56d7,"4/16/2021, 9:11:13.620 AM",,,,,NTLM,,
\,User,SHIR-SAP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,790738c2-d2df-4c61-b9ce-1fa1ba028f27,7131d2c1-286f-428b-9e83-83d2ec5c8729,"4/16/2021, 9:11:13.620 AM",,,,,NTLM,,
WORKGROUP\SHIR-SAP$,Machine,SHIR-SAP,Microsoft-Windows-Security-Auditing,Security,13312,8,,4688,4688 - A new process has been created.,790738c2-d2df-4c61-b9ce-1fa1ba028f27,f1c70f04-0111-4620-9bee-127f7ae6014c,"4/16/2021, 9:11:13.620 AM",,,,,,,
WORKGROUP\SHIR-SAP$,Machine,SHIR-SAP,Microsoft-Windows-Security-Auditing,Security,13312,8,,4688,4688 - A new process has been created.,790738c2-d2df-4c61-b9ce-1fa1ba028f27,91095df4-0a32-4077-a592-64e793105d3b,"4/16/2021, 9:11:13.620 AM",,,,,,,
\PC,User,SHIR-SAP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,790738c2-d2df-4c61-b9ce-1fa1ba028f27,3f1e835a-8003-4137-a40e-584a2fe1de31,"4/16/2021, 9:11:13.620 AM",,,,,NTLM,,
