Name,Role,RoleAssigneeName,EffectiveUserName,RoleAssigneeType,CustomRecipientWriteScope,CustomConfigWriteScope,RecipientReadScope,ConfigReadScope,RecipientWriteScope,ConfigWriteScope,AssignmentMethod
Audit Logs-Compliance Management,Audit Logs,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Compliance Admin-Compliance Management,Compliance Admin,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Data Loss Prevention-Compliance Management,Data Loss Prevention,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Information Rights Management-Compliance Management,Information Rights Management,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Journaling-Compliance Management,Journaling,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Compliance Management,Message Tracking,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Compliance Management,Retention Management,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Rules-Compliance Management,Transport Rules,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Audit Logs-Compliance Management,View-Only Audit Logs,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Configuration-Compliance Management,View-Only Configuration,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-Compliance Management,View-Only Recipients,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Configuration-Delegated Setup,View-Only Configuration,Delegated Setup,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
Legal Hold-Discovery Management,Legal Hold,Discovery Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,None,Direct
Mailbox Search-Discovery Management,Mailbox Search,Discovery Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
User Options-Help Desk,User Options,Help Desk,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Recipients-Help Desk,View-Only Recipients,Help Desk,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
ApplicationImpersonation-Hygiene Management,ApplicationImpersonation,Hygiene Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Receive Connectors-Hygiene Management,Receive Connectors,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Agents-Hygiene Management,Transport Agents,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Hygiene-Hygiene Management,Transport Hygiene,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Configuration-Hygiene Management,View-Only Configuration,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-Hygiene Management,View-Only Recipients,Hygiene Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
Active Directory Permissions-Organization Management-Delegating,Active Directory Permissions,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Active Directory Permissions-Organization Management,Active Directory Permissions,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Address Lists-Organization Management-Delegating,Address Lists,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Address Lists-Organization Management,Address Lists,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
ApplicationImpersonation-Organization Management-Delegating,ApplicationImpersonation,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
ArchiveApplication-Organization Management-Delegating,ArchiveApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Audit Logs-Organization Management-Delegating,Audit Logs,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Audit Logs-Organization Management,Audit Logs,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Cmdlet Extension Agents-Organization Management-Delegating,Cmdlet Extension Agents,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Cmdlet Extension Agents-Organization Management,Cmdlet Extension Agents,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Compliance Admin-Organization Management-Delegating,Compliance Admin,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Compliance Admin-Organization Management,Compliance Admin,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Data Loss Prevention-Organization Management-Delegating,Data Loss Prevention,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Data Loss Prevention-Organization Management,Data Loss Prevention,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Database Availability Groups-Organization Management-Delegating,Database Availability Groups,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Database Availability Groups-Organization Management,Database Availability Groups,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Database Copies-Organization Management-Delegating,Database Copies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Database Copies-Organization Management,Database Copies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Databases-Organization Management-Delegating,Databases,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Databases-Organization Management,Databases,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Disaster Recovery-Organization Management-Delegating,Disaster Recovery,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Disaster Recovery-Organization Management,Disaster Recovery,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Distribution Groups-Organization Management-Delegating,Distribution Groups,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Distribution Groups-Organization Management,Distribution Groups,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Edge Subscriptions-Organization Management-Delegating,Edge Subscriptions,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Edge Subscriptions-Organization Management,Edge Subscriptions,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
E-Mail Address Policies-Organization Management-Delegating,E-Mail Address Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
E-Mail Address Policies-Organization Management,E-Mail Address Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Connectors-Organization Management-Delegating,Exchange Connectors,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Connectors-Organization Management,Exchange Connectors,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
ExchangeCrossServiceIntegration-Organization Management-Delegati,ExchangeCrossServiceIntegration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Server Certificates-Organization Management-Delegating,Exchange Server Certificates,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Server Certificates-Organization Management,Exchange Server Certificates,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Servers-Organization Management-Delegating,Exchange Servers,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Servers-Organization Management,Exchange Servers,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Virtual Directories-Organization Management-Delegating,Exchange Virtual Directories,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Virtual Directories-Organization Management,Exchange Virtual Directories,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Federated Sharing-Organization Management-Delegating,Federated Sharing,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Federated Sharing-Organization Management,Federated Sharing,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Information Rights Management-Organization Management-Delegating,Information Rights Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Information Rights Management-Organization Management,Information Rights Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Journaling-Organization Management-Delegating,Journaling,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Journaling-Organization Management,Journaling,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Legal Hold-Organization Management-Delegating,Legal Hold,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,None,Direct
Legal Hold-Organization Management,Legal Hold,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,None,Direct
LegalHoldApplication-Organization Management-Delegating,LegalHoldApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Enabled Public Folders-Organization Management-Delegating,Mail Enabled Public Folders,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Enabled Public Folders-Organization Management,Mail Enabled Public Folders,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
