Role,Name,Parameters,OrgM,Priority
Active Directory Permissions,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,20
Active Directory Permissions,Remove-ADPermission,AccessRights;ChildObjectTypes;Confirm;Debug;Deny;DomainController;ErrorAction;ErrorVariable;ExtendedRights;Identity;InheritanceType;InheritedObjectType;Instance;OutBuffer;OutVariable;Properties;User;Verbose;WarningAction;WarningVariable;WhatIf,1,20
Active Directory Permissions,Get-User,Anr;Arbitration;AuditLog;AuxAuditLog;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;SupervisoryReviewPolicy;Verbose;WarningAction;WarningVariable,1,20
Active Directory Permissions,Get-SecurityPrincipal,Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IncludeDomainLocalFrom;OrganizationalUnit;OutBuffer;OutVariable;ResultSize;RoleGroupAssignable;Types;Verbose;WarningAction;WarningVariable,1,20
Active Directory Permissions,Get-RoleGroup,Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;ShowPartnerLinked;SortBy;Verbose;WarningAction;WarningVariable,1,20
Active Directory Permissions,Get-Group,Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable,1,20
Active Directory Permissions,Get-DomainController,Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,1,20
Active Directory Permissions,Get-ADPermission,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Owner;User;Verbose;WarningAction;WarningVariable,1,20
Active Directory Permissions,Add-ADPermission,AccessRights;ChildObjectTypes;Confirm;Debug;Deny;DomainController;ErrorAction;ErrorVariable;ExtendedRights;Identity;InheritanceType;InheritedObjectType;Instance;OutBuffer;OutVariable;Owner;Properties;User;Verbose;WarningAction;WarningVariable;WhatIf,1,20
Address Lists,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Update-OfflineAddressBook,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Update-GlobalAddressList,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Update-AddressList,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Set-OfflineAddressBook,AddressLists;ApplyMandatoryProperties;ConfiguredAttributes;Confirm;Debug;DiffRetentionPeriod;DomainController;ErrorAction;ErrorVariable;FullOabDownloadPreventionThreshold;GeneratingMailbox;GlobalWebDistributionEnabled;Identity;IsDefault;MaxBinaryPropertySize;MaxMultivaluedBinaryPropertySize;MaxMultivaluedStringPropertySize;MaxStringPropertySize;Name;OutBuffer;OutVariable;Schedule;ShadowMailboxDistributionEnabled;UpgradeFromE14;UseDefaultAttributes;Verbose;Versions;VirtualDirectories;WarningAction;WarningVariable;WhatIf;ZipOabFilesBeforeUploading,0,50
