Alert,Description,Tactic,Severity,Provider,Detection Service,DetectionURL,connectorId,dataTypes
A logon from a malicious IP has been detected. [seen multiple times],"A successful remote authentication for the account [account] and process [process] occurred, however the logon IP address (x.x.x.x) has previously been reported as malicious or highly unusual. A successful attack has probably occurred. Files with the .scr extensions are screen saver files and are normally reside and execute from the Windows system directory.",-,High,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Addition of Guest account to Local Administrators group,"Analysis of host data has detected the addition of the built-in Guest account to the Local Administrators group on %{Compromised Host}, which is strongly associated with attacker activity.",-,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
An event log was cleared,Machine logs indicate a suspicious event log clearing operation by user: '%{user name}' in Machine: '%{CompromisedEntity}'. The %{log channel} log was cleared.,-,Informational,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware Action Failed,Microsoft Antimalware has encountered an error when taking an action on malware or other potentially unwanted software.,-,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware Action Taken,Microsoft Antimalware for Azure has taken an action to protect this machine from malware or other potentially unwanted software.,-,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware broad files exclusion in your virtual machine(VM_AmBroadFilesExclusion),Files exclusion from antimalware extension with broad exclusion rule was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription. Such exclusion practically disabling the Antimalware protection.Attackers might exclude files from the antimalware scan on your virtual machine to prevent detection while running arbitrary code or infecting the machine with malware.,-,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware disabled and code execution in your virtual machine(VM_AmDisablementAndCodeExecution),Antimalware disabled at the same time as code execution on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.Attackers disable antimalware scanners to prevent detection while running unauthorized tools or infecting the machine with malware.,-,High,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware disabled in your virtual machine(VM_AmDisablement),Antimalware disabled in your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.Attackers might disable the antimalware on your virtual machine to prevent detection.,Defense Evasion,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware file exclusion and code execution in your virtual machine(VM_AmFileExclusionAndCodeExecution),File excluded from your antimalware scanner at the same time as code was executed via a custom script extension on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.Attackers might exclude files from the antimalware scan on your virtual machine to prevent detection while running unauthorized tools or infecting the machine with malware.,"Defense Evasion, Execution",High,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware file exclusion and code execution in your virtual machine(VM_AmTempFileExclusionAndCodeExecution),Temporary file exclusion from antimalware extension in parallel to execution of code via custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers might exclude files from the antimalware scan on your virtual machine to prevent detection while running arbitrary code or infecting the machine with malware.,"Defense Evasion, Execution",High,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware file exclusion in your virtual machine(VM_AmTempFileExclusion),File excluded from your antimalware scanner on your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.Attackers might exclude files from the antimalware scan on your virtual machine to prevent detection while running unauthorized tools or infecting the machine with malware.,Defense Evasion,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware real-time protection was disabled in your virtual machine(VM_AmRealtimeProtectionDisabled),Real-time protection disablement of the antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers might disable real-time protection from the antimalware scan on your virtual machine to avoid detection while running arbitrary code or infecting the machine with malware.,Defense Evasion,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware real-time protection was disabled temporarily in your virtual machine(VM_AmTempRealtimeProtectionDisablement),Real-time protection temporary disablement of the antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers might disable real-time protection from the antimalware scan on your virtual machine to avoid detection while running arbitrary code or infecting the machine with malware.,Defense Evasion,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware real-time protection was disabled temporarily while code was executed in your virtual machine(VM_AmRealtimeProtectionDisablementAndCodeExec),Real-time protection temporary disablement of the antimalware extension in parallel to code execution via custom script extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers might disable real-time protection from the antimalware scan on your virtual machine to avoid detection while running arbitrary code or infecting the machine with malware.,-,High,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware scans blocked for files potentially related to malware campaigns on your virtual machine (Preview)(VM_AmMalwareCampaignRelatedExclusion),An exclusion rule was detected in your virtual machine to prevent your antimalware extension scanning certain files that are suspected of being related to a malware campaign. The rule was detected by analyzing the Azure Resource Manager operations in your subscription. Attackers might exclude files from antimalware scans to prevent detection while running arbitrary code or infecting the machine with malware.,Defense Evasion,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware temporarily disabled in your virtual machine(VM_AmTemporarilyDisablement),Antimalware temporarily disabled in your virtual machine. This was detected by analyzing Azure Resource Manager operations in your subscription.Attackers might disable the antimalware on your virtual machine to prevent detection.,-,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Antimalware unusual file exclusion in your virtual machine(VM_UnusualAmFileExclusion),Unusual file exclusion from antimalware extension was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers might exclude files from the antimalware scan on your virtual machine to prevent detection while running arbitrary code or infecting the machine with malware.,Defense Evasion,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Communication with suspicious domain identified by threat intelligence(AzureDNS_ThreatIntelSuspectDomain),Communication with suspicious domain was detected by analyzing DNS transactions from your resource and comparing against known malicious domains identified by threat intelligence feeds. Communication to malicious domains is frequently performed by attackers and could imply that your resource is compromised.,"Initial Access, Persistence, Execution, Command And Control, Exploitation",Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Custom script extension with suspicious command in your virtual machine(VM_CustomScriptExtensionSuspiciousCmd),Custom script extension with suspicious command was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers may use custom script extension to execute a malicious code on your virtual machine via the Azure Resource Manager.,Execution,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Custom script extension with suspicious entry-point in your virtual machine(VM_CustomScriptExtensionSuspiciousEntryPoint),Custom script extension with a suspicious entry-point was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription. The entry-point refers to a suspicious GitHub repository.Attackers may use custom script extensions to execute malicious code on your virtual machines via the Azure Resource Manager.,Execution,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Custom script extension with suspicious payload in your virtual machine(VM_CustomScriptExtensionSuspiciousPayload),Custom script extension with a payload from a suspicious GitHub repository was detected in your virtual machine by analyzing the Azure Resource Manager operations in your subscription.Attackers may use custom script extensions to execute malicious code on your virtual machines via the Azure Resource Manager.,Execution,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Detected actions indicative of disabling and deleting IIS log files,Analysis of host data detected actions that show IIS log files being disabled and/or deleted.,-,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Detected anomalous mix of upper and lower case characters in command-line,"Analysis of host data on %{Compromised Host} detected a command line with anomalous mix of upper and lower case characters. This kind of pattern, while possibly benign, is also typical of attackers trying to hide from case-sensitive or hash-based rule matching when performing administrative tasks on a compromised host.",-,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Detected change to a registry key that can be abused to bypass UAC,"Analysis of host data on %{Compromised Host} detected that a registry key that can be abused to bypass UAC (User Account Control) was changed. This kind of configuration, while possibly benign, is also typical of attacker activity when trying to move from unprivileged (standard user) to privileged (for example administrator) access on a compromised host.",-,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Detected decoding of an executable using built-in certutil.exe tool,"Analysis of host data on %{Compromised Host} detected that certutil.exe, a built-in administrator utility, was being used to decode an executable instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions, for example using a tool such as certutil.exe to decode a malicious executable that will then be subsequently executed.",-,High,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Detected enabling of the WDigest UseLogonCredential registry key,"Analysis of host data detected a change in the registry key HKLM\SYSTEM\ CurrentControlSet\Control\SecurityProviders\WDigest\ ""UseLogonCredential"". Specifically this key has been updated to allow logon credentials to be stored in clear text in LSA memory. Once enabled an attacker can dump clear text passwords from LSA memory with credential harvesting tools such as Mimikatz.",-,Medium,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Detected encoded executable in command line data,"Analysis of host data on %{Compromised Host} detected a base-64 encoded executable. This has previously been associated with attackers attempting to construct executables on-the-fly through a sequence of commands, and attempting to evade intrusion detection systems by ensuring that no individual command would trigger an alert. This could be legitimate activity, or an indication of a compromised host.",-,High,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Detected obfuscated command line,Attackers use increasingly complex obfuscation techniques to evade detections that run against the underlying data. Analysis of host data on %{Compromised Host} detected suspicious indicators of obfuscation on the commandline.,-,Informational,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
Detected Petya ransomware indicators,Analysis of host data on %{Compromised Host} detected indicators associated with Petya ransomware. See https://aka.ms/petya-blog for more information. Review the command line associated in this alert and escalate this alert to your security team.,-,High,Windows,Microsoft Defender for Windows,https://docs.microsoft.com/azure/security-center/alerts-reference,AzureSecurityCenter,SecurityAlert (ASC)
