"TimeGenerated [UTC]",IOCType,Value,Classification,SourceSeverity,SourceConfidence,KillChain,Offense,IsApt,ThreatActor,"ExpiresOn [UTC]","CreatedOn [UTC]","UpdatedOn [UTC]","LastIngestedOn [UTC]",TenantId,Type,"_ResourceId"
"11/30/2025, 4:04:39.779 PM",domain,"u888o.shop",C2,High,Medium,"Command And Control",asyncrat,false,,"12/2/2025, 4:05:00.489 PM","11/30/2025, 4:04:39.779 PM","12/1/2025, 7:01:25.517 PM","12/1/2025, 7:01:25.517 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"12/1/2025, 12:15:17.815 AM",ipv4,"18.162.149.188",C2,High,Medium,"Command And Control",quasar,false,,"12/6/2025, 12:20:00.143 AM","12/1/2025, 12:15:17.815 AM","12/2/2025, 1:08:13.349 PM","12/2/2025, 1:08:13.349 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:09:10.761 PM",ipv4,"147.185.221.224",C2,High,Medium,"Command And Control",njrat,false,,"12/5/2025, 6:05:00.185 PM","11/25/2025, 3:19:38.463 PM","11/30/2025, 6:04:49.476 PM","11/30/2025, 6:04:49.476 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 2:14:14.916 PM",ipv4,"159.203.125.218",C2,Medium,High,"Command And Control",aisuru,false,,"12/2/2025, 6:05:00.185 PM","11/30/2025, 2:14:14.916 PM","11/30/2025, 6:04:45.530 PM","11/30/2025, 6:04:45.530 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 2:34:17.956 PM",ipv4,"188.166.87.174",C2,Medium,High,"Command And Control",aisuru,false,,"12/2/2025, 6:05:00.185 PM","11/30/2025, 2:34:17.956 PM","11/30/2025, 6:04:45.530 PM","11/30/2025, 6:04:45.530 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:09:10.761 PM",ipv4,"62.84.101.139",C2,High,Medium,"Command And Control",ghostsocks,false,,"12/5/2025, 6:05:00.185 PM","10/1/2025, 3:28:22.370 PM","11/30/2025, 6:04:46.543 PM","11/30/2025, 6:04:46.543 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:04:47.505 PM",sha256,636c156c85db229aaa7b271c8fa212e8196532c08e849511436a9b597216cdd9,Malware,High,High,Weaponization,njrat,false,,"12/5/2025, 6:05:00.185 PM","11/30/2025, 6:04:47.505 PM","11/30/2025, 6:04:47.505 PM","11/30/2025, 6:04:47.505 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:04:49.491 PM",sha256,8b3c85960dddbc1e488654a44e5fc0287825b70bc32524fbb44473ec69a7076c,Malware,High,High,Weaponization,njrat,false,,"12/5/2025, 6:05:00.185 PM","11/30/2025, 6:04:49.491 PM","11/30/2025, 6:04:49.491 PM","11/30/2025, 6:04:49.491 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:04:49.491 PM",sha1,9f4c7344dcbd93900d90443921161a3830be8ebc,Malware,High,High,Weaponization,njrat,false,,"12/5/2025, 6:05:00.185 PM","11/30/2025, 6:04:49.491 PM","11/30/2025, 6:04:49.491 PM","11/30/2025, 6:04:49.491 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:04:48.515 PM",sha1,a3a0e9b2615ace11693dd2f431ffd3821fa3f825,Malware,Medium,Medium,Weaponization,lumma,false,,"12/2/2025, 6:05:00.185 PM","11/30/2025, 6:04:48.515 PM","11/30/2025, 6:04:48.515 PM","11/30/2025, 6:04:48.515 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:04:48.515 PM",sha256,a460acd619d3adc2ec78d6a776e667c0246631d935add83ca2f911ae2d493599,Malware,Medium,Medium,Weaponization,lumma,false,,"12/2/2025, 6:05:00.185 PM","11/30/2025, 6:04:48.515 PM","11/30/2025, 6:04:48.515 PM","11/30/2025, 6:04:48.515 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:04:47.505 PM",sha1,c292d1e1558fd9b483d1f5aa5ccca0358087f47e,Malware,High,High,Weaponization,njrat,false,,"12/5/2025, 6:05:00.185 PM","11/30/2025, 6:04:47.505 PM","11/30/2025, 6:04:47.505 PM","11/30/2025, 6:04:47.505 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:24:57.194 PM",sha1,0291a4cd5f4b2b5e3c769a77470f4e9798086a98,Malware,Medium,High,Weaponization,dlassistant,false,,"12/2/2025, 6:25:00.143 PM","11/30/2025, 6:24:57.194 PM","11/30/2025, 6:24:57.194 PM","11/30/2025, 6:24:57.194 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:24:49.415 PM",sha1,091a3ee13d2fbe0746f916a4a1c3735578541f90,Malware,Medium,High,Weaponization,berbew,false,,"12/2/2025, 6:25:00.143 PM","11/30/2025, 6:24:49.415 PM","11/30/2025, 6:24:49.415 PM","11/30/2025, 6:24:49.415 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:24:57.194 PM",sha1,1c7a07c7353762f2ce3a92f6630b2f946c8464ef,Malware,Medium,High,Weaponization,dlassistant,false,,"12/2/2025, 6:25:00.143 PM","11/30/2025, 6:24:57.194 PM","11/30/2025, 6:24:57.194 PM","11/30/2025, 6:24:57.194 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
"11/30/2025, 6:24:57.194 PM",sha256,268eccb8e0bfdcfc6847a40bafdf8876291f282dc3cbd777c6b2dd5bd9add221,Malware,Medium,High,Weaponization,dlassistant,false,,"12/2/2025, 6:25:00.143 PM","11/30/2025, 6:24:57.194 PM","11/30/2025, 6:24:57.194 PM","11/30/2025, 6:24:57.194 PM","e48570a8-b54d-4ef2-b91d-a207532d393b","VisaThreatIntelligenceIOC_CL",
