TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"parentObjectId_s","reportedObjectId_s","performedBy_id_g","timestamp_d","auditType_d","enforcementSource_d","userRole_d","destinationEntitiesList_s","details_s","parentObjectId_g","reportedObjectId_g","reportedObjectGeneration_d","performedBy_id_s","performedBy_name_s",Type,"_ResourceId"
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",OpsManager,,,"10/30/2022, 7:18:09.575 PM",,,,,,1667157218058,22,2,6,"[
  {
    ""id"": ""a:a:3e8c791b"",
    ""name"": ""OFFICE-TLV-DC16""
  }
]","{""rule"":{""LocalEntityID"":""a:a:3e8c791b"",""localEntityNames"":{""id"":""a:a:3e8c791b"",""name"":""OFFICE-TLV-DC16""},""remoteEntityNames"":[{""id"":""a:a:9kGi4Os0"",""name"":""POLINA-LAPTOP""}],""ports"":[{""protocol_type"":6,""ports"":""3389""}],""expiration"":1667157218012,""description"":""RDP/WinRM MFA"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:f9KNkzvT"",""name"":""Polina Blinchevsky""},""enforcementSource"":1,""createdAt"":1667142818014,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667142818014,""updatedBy"":{}}}","75bde6e6-83d6-401b-b63b-c2ed062e80fb","2f98c677-01ae-4045-a95c-99e3524ebc7b",1264139,"u:a:f9KNkzvT","Polina Blinchevsky","ZNSegmentAuditNativePoller_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",OpsManager,,,"10/31/2022, 4:32:17.613 AM",,,,,,1667190294246,32,6,4,"[
  {
    ""id"": ""b:110002"",
    ""name"": ""All protected assets""
  }
]","{""rule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""},{""id"":""b:12ac10020120"",""name"":""172.16.2.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667190294208,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}},""prevRule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667190294042,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}}}",,"16ccf615-91e0-491c-9e99-0553ac9a41de",1264595,"m:8cd0f646c46e5d66cda87bc884c2832519d87255","MS Sentinel Integration","ZNSegmentAuditNativePoller_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",OpsManager,,,"10/31/2022, 4:32:17.613 AM",,,,,,1667190294100,32,6,4,"[
  {
    ""id"": ""b:110002"",
    ""name"": ""All protected assets""
  }
]","{""rule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667190294062,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}},""prevRule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""},{""id"":""b:12ac10020120"",""name"":""172.16.2.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667161493427,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}}}",,"16ccf615-91e0-491c-9e99-0553ac9a41de",1264594,"m:8cd0f646c46e5d66cda87bc884c2832519d87255","MS Sentinel Integration","ZNSegmentAuditNativePoller_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",OpsManager,,,"10/31/2022, 12:32:14.459 PM",,,,,,1667219094667,32,6,4,"[
  {
    ""id"": ""b:110002"",
    ""name"": ""All protected assets""
  }
]","{""rule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""},{""id"":""b:12ac10020120"",""name"":""172.16.2.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667219094627,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}},""prevRule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667219094416,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}}}",,"16ccf615-91e0-491c-9e99-0553ac9a41de",1265024,"m:8cd0f646c46e5d66cda87bc884c2832519d87255","MS Sentinel Integration","ZNSegmentAuditNativePoller_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",OpsManager,,,"10/31/2022, 12:32:14.459 PM",,,,,,1667219094466,32,6,4,"[
  {
    ""id"": ""b:110002"",
    ""name"": ""All protected assets""
  }
]","{""rule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667219094431,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}},""prevRule"":{""LocalEntityID"":"""",""localEntityNames"":{""id"":""b:110002"",""name"":""All protected assets""},""remoteEntityNames"":[{""id"":""b:12ac10010120"",""name"":""172.16.1.1""},{""id"":""b:12ac10020120"",""name"":""172.16.2.1""}],""ports"":[{""protocol_type"":1}],""expiration"":0,""description"":""Sentinel Integration - Block Malicous IPs"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:ZMLGbhRk"",""name"":""Nicholas DiCola""},""enforcementSource"":4,""createdAt"":1647536872111,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667190294188,""updatedBy"":{""id"":""m:8cd0f646c46e5d66cda87bc884c2832519d87255"",""name"":""MS Sentinel Integration""}}}",,"16ccf615-91e0-491c-9e99-0553ac9a41de",1265023,"m:8cd0f646c46e5d66cda87bc884c2832519d87255","MS Sentinel Integration","ZNSegmentAuditNativePoller_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",OpsManager,,,"10/30/2022, 2:12:58.066 PM",,,,,,1667138929048,20,1,6,"[
  {
    ""id"": ""a:a:3e8c791b"",
    ""name"": ""OFFICE-TLV-DC16""
  }
]","{""rule"":{""LocalEntityID"":""a:a:3e8c791b"",""localEntityNames"":{""id"":""a:a:3e8c791b"",""name"":""OFFICE-TLV-DC16""},""remoteEntityNames"":[{""id"":""a:j:htWsiHQa"",""name"":""lab2-mac-1""}],""ports"":[{""protocol_type"":6,""ports"":""3389""}],""expiration"":1667153329028,""description"":""RDP/WinRM MFA"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:7aIK8NFw"",""name"":""Yossi Ioukhtov""},""enforcementSource"":1,""createdAt"":1667138929030,""approvedBy"":{""id"":""u:a:7aIK8NFw"",""name"":""Yossi Ioukhtov""},""usedMfaMethod"":4,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667138929030,""updatedBy"":{}}}","75bde6e6-83d6-401b-b63b-c2ed062e80fb","39d3db5a-a49d-484c-9b6f-a32d43b91cd2",1263808,"u:a:7aIK8NFw","Yossi Ioukhtov","ZNSegmentAuditNativePoller_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",OpsManager,,,"10/30/2022, 2:32:56.578 PM",,,,,"1f352ed0-86f1-454f-90a5-592c197c8000",1667139916030,21,5,1,"[
  {
    ""id"": ""a:a:3e8c791b"",
    ""name"": ""OFFICE-TLV-DC16""
  }
]","{""rule"":{""LocalEntityID"":""a:a:3e8c791b"",""localEntityNames"":{""id"":""a:a:3e8c791b"",""name"":""OFFICE-TLV-DC16""},""remoteEntityNames"":[{""id"":""a:j:htWsiHQa"",""name"":""lab2-mac-1""}],""ports"":[{""protocol_type"":6,""ports"":""3389""}],""expiration"":1667153329028,""description"":""RDP/WinRM MFA"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:7aIK8NFw"",""name"":""Yossi Ioukhtov""},""enforcementSource"":1,""createdAt"":1667138929030,""approvedBy"":null,""usedMfaMethod"":0,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667138929030,""updatedBy"":{}}}","75bde6e6-83d6-401b-b63b-c2ed062e80fb","39d3db5a-a49d-484c-9b6f-a32d43b91cd2",1263818,,"Zero Networks","ZNSegmentAuditNativePoller_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",OpsManager,,,"10/30/2022, 3:18:00.170 PM",,,,,,1667142818027,20,1,6,"[
  {
    ""id"": ""a:a:3e8c791b"",
    ""name"": ""OFFICE-TLV-DC16""
  }
]","{""rule"":{""LocalEntityID"":""a:a:3e8c791b"",""localEntityNames"":{""id"":""a:a:3e8c791b"",""name"":""OFFICE-TLV-DC16""},""remoteEntityNames"":[{""id"":""a:a:9kGi4Os0"",""name"":""POLINA-LAPTOP""}],""ports"":[{""protocol_type"":6,""ports"":""3389""}],""expiration"":1667157218012,""description"":""RDP/WinRM MFA"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:f9KNkzvT"",""name"":""Polina Blinchevsky""},""enforcementSource"":1,""createdAt"":1667142818014,""approvedBy"":{""id"":""u:a:f9KNkzvT"",""name"":""Polina Blinchevsky""},""usedMfaMethod"":4,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667142818014,""updatedBy"":{}}}","75bde6e6-83d6-401b-b63b-c2ed062e80fb","2f98c677-01ae-4045-a95c-99e3524ebc7b",1263846,"u:a:f9KNkzvT","Polina Blinchevsky","ZNSegmentAuditNativePoller_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",OpsManager,,,"10/30/2022, 1:22:34.524 PM",,,,,,1667135834838,20,1,6,"[
  {
    ""id"": ""a:a:3e8c791b"",
    ""name"": ""OFFICE-TLV-DC16""
  }
]","{""rule"":{""LocalEntityID"":""a:a:3e8c791b"",""localEntityNames"":{""id"":""a:a:3e8c791b"",""name"":""OFFICE-TLV-DC16""},""remoteEntityNames"":[{""id"":""a:j:htWsiHQa"",""name"":""lab2-mac-1""}],""ports"":[{""protocol_type"":6,""ports"":""3389""}],""expiration"":1667150234793,""description"":""RDP/WinRM MFA"",""localProcesses"":[""*""],""created_by"":{},""enforcementSource"":1,""createdAt"":1667135834795,""approvedBy"":null,""usedMfaMethod"":4,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667135834795,""updatedBy"":{}}}","75bde6e6-83d6-401b-b63b-c2ed062e80fb","cd08a79a-9c7c-4367-87b9-b021f38e159d",1263773,,,"ZNSegmentAuditNativePoller_CL",
"bb902f4d-7a83-4b9b-9f0f-89c5d403ffc1",OpsManager,,,"10/30/2022, 4:32:28.036 PM",,,,,,1667147269231,20,1,6,"[
  {
    ""id"": ""a:a:3e8c791b"",
    ""name"": ""OFFICE-TLV-DC16""
  }
]","{""rule"":{""LocalEntityID"":""a:a:3e8c791b"",""localEntityNames"":{""id"":""a:a:3e8c791b"",""name"":""OFFICE-TLV-DC16""},""remoteEntityNames"":[{""id"":""a:j:htWsiHQa"",""name"":""lab2-mac-1""}],""ports"":[{""protocol_type"":6,""ports"":""3389""}],""expiration"":1667161669216,""description"":""RDP/WinRM MFA"",""localProcesses"":[""*""],""created_by"":{""id"":""u:a:7aIK8NFw"",""name"":""Yossi Ioukhtov""},""enforcementSource"":1,""createdAt"":1667147269218,""approvedBy"":{""id"":""u:a:7aIK8NFw"",""name"":""Yossi Ioukhtov""},""usedMfaMethod"":4,""excludedLocalEntityNames"":[],""state"":1,""updatedAt"":1667147269218,""updatedBy"":{}}}","75bde6e6-83d6-401b-b63b-c2ed062e80fb","b5604dad-2c46-4235-bf8b-5ab006facbcb",1263958,"u:a:7aIK8NFw","Yossi Ioukhtov","ZNSegmentAuditNativePoller_CL",
