"Type","Environment","ResourceGroup","SubscriptionId","Section","Status","Passed","Total","Percent","Message","SubItem"
"env","prod-sentinel","rg-prod-soc","a1b2c3d4-e5f6-7890-abcd-ef1234567890","","","0","0","0","",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table DeviceInfo has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table DeviceNetworkInfo has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table DeviceProcessEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table DeviceNetworkEvents has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table DeviceFileEvents has a retention of 180 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table DeviceRegistryEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table DeviceLogonEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table DeviceImageLoadEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","prod-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceFileCertificateInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table EmailEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table EmailUrlInfo has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table EmailAttachmentInfo has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table EmailPostDeliveryEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table UrlClickEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table CloudAppEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table IdentityLogonEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
