FunctionModule,Description
RSAU_CLEAR_AUDIT_LOG,Delete Audit Log
BAPI_USER_CREATE,Create User
BAPI_USER_CREATE1,Create User
BAPI_USER_DELETE,Delete user
BAPI_USER_GET_DETAIL,Read User Details
BAPI_USER_PROFILES_ASSIGN,Change User-Profile Assignments
EPS_GET_DIRECTORY_LISTING,
PFL_CHECK_OS_FILE_EXISTENCE,
PRGN_INTERFACE_USER,
RFC_ABAP_INSTALL_AND_RUN,
RFC_GET_TABLE_ENTRIES,Read table entries
RFC_READ_TABLE,External access to R/3 tables via RFC
RS_FUNCTIONMODULE_INSERT,
RZL_READ_DIR_LOCAL,
SUSR_RFC_USER_INTERFACE,
SXPG_CALL_SYSTEM,Execute an External Command
SXPG_COMMAND_EXECUTE,Execute an External Command
SXPG_COMMAND_EXECUTE_LONG,Execute an External Command
TABLE_ENTRIES_GET_VIA_RFC,
TH_REMOTE_TRANSACTION,Start Remote Transaction
TH_SAPREL,
TMS_CI_START_SERVICE,
