Schema,Field,InDoc,InCsv,DocClass,CsvClass,DocType,CsvType,CsvLogicalType,DocSource,Description,Example,Note,OriginalDescription
AlertEvent,AdditionalFields,Yes,Yes,Optional,Optional,Dynamic,string,,CommonFields,"If your source provides additional information worth preserving, either keep it with the original field names or create the dynamic **AdditionalFields** field, and add to it the extra information as key/value pairs.",,,"If your source provides additional information worth preserving, either keep it with the original field names or create the dynamic **AdditionalFields** field, and add to it the extra information as key/value pairs."
AlertEvent,AlertDescription,Yes,Yes,Alias,Alias,string,string,,SchemaDoc,Alias or friendly name for `EventMessage` field.,,,Alias or friendly name for `EventMessage` field.
AlertEvent,AlertId,Yes,Yes,Alias,Alias,string,string,,SchemaDoc,Alias or friendly name for `EventUid` field.,,,Alias or friendly name for `EventUid` field.
AlertEvent,AlertName,Yes,Yes,Recommended,Recommended,string,string,,SchemaDoc,Title or name of the alert.,Possible use of the Rubeus kerberoasting tool,,Title or name of the alert.<br>e.g. `Possible use of the Rubeus kerberoasting tool`
AlertEvent,AlertOriginalStatus,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,The status of the alert as reported by the originating system.,,,The status of the alert as reported by the originating system.
AlertEvent,AlertStatus,Yes,Yes,Optional,Optional,Enumerated,string,Enumerated,SchemaDoc,Indicates the current state or progress of the alert.<br><br>Supported values are:<br>- `Active`<br>- `Closed`,,,Indicates the current state or progress of the alert.<br><br>Supported values are:<br>- `Active`<br>- `Closed`
AlertEvent,AlertVerdict,Yes,Yes,Optional,Optional,Enumerated,string,Enumerated,SchemaDoc,"The final determination or outcome of the alert, indicating whether the alert was confirmed as a threat, deemed suspicious, or resolved as a false positive.<br><br>Supported values are:<br>- `True Positive` (Confirmed as a legitimate threat)<br>- `False Positive` (Incorrectly identified as a threat)<br>- `Benign Positive` (when event is determined to be harmless)<br>- `Unknown` (Uncertain or undetermined status)",,,"The final determination or outcome of the alert, indicating whether the alert was confirmed as a threat, deemed suspicious, or resolved as a false positive.<br><br>Supported values are:<br>- `True Positive` (Confirmed as a legitimate threat)<br>- `False Positive` (Incorrectly identified as a threat)<br>- `Benign Positive` (when event is determined to be harmless)<br>- `Unknown` (Uncertain or undetermined status)"
AlertEvent,AttackRemediationSteps,Yes,Yes,Recommended,Recommended,string,string,,SchemaDoc,Recommended actions or steps to mitigate or remediate the identified attack or threat.,"1. Make sure the machine is completely updated and all your software has the latest patch., 2. Contact your incident response team.",,Recommended actions or steps to mitigate or remediate the identified attack or threat. <br> e.g.<br> `1. Make sure the machine is completely updated and all your software has the latest patch.`<br>`2. Contact your incident response team.`
AlertEvent,AttackTactics,Yes,Yes,Recommended,Recommended,string,string,,SchemaDoc,"The attack tactics (name, ID, or both) associated with the alert.<br> Preferred format:","Persistence, Privilege Escalation",,"The attack tactics (name, ID, or both) associated with the alert.<br> Preferred format:<br><br>e.g: `Persistence, Privilege Escalation`"
AlertEvent,AttackTechniques,Yes,Yes,Recommended,Recommended,string,string,,SchemaDoc,"The attack techniques (name, ID, or both) associated with the alert. <br> Preferred format:","Local Groups (T1069.001), Domain Groups (T1069.002)",,"The attack techniques (name, ID, or both) associated with the alert. <br> Preferred format:<br><br>e.g: `Local Groups (T1069.001), Domain Groups (T1069.002)`"
AlertEvent,DetectionMethod,Yes,Yes,Optional,Optional,Enumerated,string,Enumerated,SchemaDoc,"Provides detailed information about the specific detection method, technology, or data source that contributed to the generation of the alert. This field offers greater insight into how the alert was detected or triggered, aiding in the understanding of the detection context and reliability.<br><br>Supported values include:<br>- `EDR`: Endpoint Detection and Response systems that monitor and analyze endpoint activities to identify threats.<br>- `Behavioral Analytics`: Techniques that detect abnormal patterns in user, device, or system behavior.<br>- `Reputation`: Threat detection based on the reputation of IP addresses, domains, or files.<br>- `Threat Intelligence`: External or internal intelligence feeds providing data on known threats or adversary tactics.<br>- `Intrusion Detection`: Systems that monitor network traffic or activities for signs of intrusions or attacks.<br>- `Automated Investigation`: Automated systems that analyze and investigate alerts, reducing manual workload.<br>- `Antivirus`: Traditional antivirus engines that detect malware based on signatures and heuristics.<br>- `Data Loss Prevention`: Solutions focused on preventing unauthorized data transfers or leaks.<br>- `User Defined Blocked List`: Custom lists defined by users to block specific IPs, domains, or files.<br>- `Cloud Security Posture Management`: Tools that assess and manage security risks in cloud environments.<br>- `Cloud Application Security`: Solutions that secure cloud applications and data.<br>-`Scheduled Alerts`: Alerts generated based on predefined schedules or thresholds.<br>- `Other`: Any other detection method not covered by the above categories.",,,"Provides detailed information about the specific detection method, technology, or data source that contributed to the generation of the alert. This field offers greater insight into how the alert was detected or triggered, aiding in the understanding of the detection context and reliability.<br><br>Supported values include:<br>- `EDR`: Endpoint Detection and Response systems that monitor and analyze endpoint activities to identify threats.<br>- `Behavioral Analytics`: Techniques that detect abnormal patterns in user, device, or system behavior.<br>- `Reputation`: Threat detection based on the reputation of IP addresses, domains, or files.<br>- `Threat Intelligence`: External or internal intelligence feeds providing data on known threats or adversary tactics.<br>- `Intrusion Detection`: Systems that monitor network traffic or activities for signs of intrusions or attacks.<br>- `Automated Investigation`: Automated systems that analyze and investigate alerts, reducing manual workload.<br>- `Antivirus`: Traditional antivirus engines that detect malware based on signatures and heuristics.<br>- `Data Loss Prevention`: Solutions focused on preventing unauthorized data transfers or leaks.<br>- `User Defined Blocked List`: Custom lists defined by users to block specific IPs, domains, or files.<br>- `Cloud Security Posture Management`: Tools that assess and manage security risks in cloud environments.<br>- `Cloud Application Security`: Solutions that secure cloud applications and data.<br>-`Scheduled Alerts`: Alerts generated based on predefined schedules or thresholds.<br>- `Other`: Any other detection method not covered by the above categories."
AlertEvent,DvcAction,Yes,Yes,Optional,Optional,String,string,,CommonFields,"For reporting security systems, the action taken by the system, if applicable.",Blocked,,"For reporting security systems, the action taken by the system, if applicable. <br><br>Example: `Blocked`"
AlertEvent,DvcDescription,Yes,Yes,Optional,Optional,String,string,,CommonFields,A descriptive text associated with the device. For,Primary Domain Controller.,,A descriptive text associated with the device. For example: `Primary Domain Controller`.
