Schema,Field,IssueType,IssueCategory,IssueDescription,CsvType,CsvLogicalType,CsvEffectiveType,DocType,CsvClass,DocClass
AuditEvent,ActorUserAadId,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
AuditEvent,ActorUserSid,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
AuditEvent,Dst,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Recommended,Alias
AuditEvent,Src,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Recommended,Alias
AuditEvent,ValueType,Warning,ConditionalNotSupported,Conditional class not supported in ASIM tester,string,Enumerated,,,Optional,Conditional
Authentication,Dst,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Recommended,Alias
Authentication,LogonTarget,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Optional,Alias
Authentication,User,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,Username,,,Optional,Alias
Common,Dvc,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Mandatory,Alias
DhcpEvent,Src,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Recommended,Alias
Dns,DnsQuery,Warning,LogicalTypeNotInDocs,Logical type should be added to docs,string,RecommendedDnsDomain,RecommendedDnsDomain,String,Mandatory,Mandatory
Dns,Dst,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Recommended,Alias
Dns,Src,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Mandatory,Alias
Dns,SrcUserAWSId,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
Dns,SrcUserAadId,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
Dns,SrcUserOktaId,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
Dns,SrcUserSid,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
Dns,ThreatField,Warning,ConditionalNotSupported,Conditional class not supported in ASIM tester,string,Enumerated,,,Optional,Conditional
FileEvent,URL,Error,MissingInCsv,Field in doc but missing in CSV,,,,,,
FileEvent,ActorUpn,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
FileEvent,ActorUserAadId,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
FileEvent,ActorUserPuid,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
FileEvent,ActorUserSid,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
FileEvent,HttpUserAgent,Warning,LogicalTypeNotInDocs,Logical type should be added to docs,string,Useragent,Useragent,String,Optional,Optional
FileEvent,NetworkApplicationProtocol,Warning,LogicalTypeNotInDocs,Logical type should be added to docs,string,Protocol,Protocol,String,Optional,Optional
FileEvent,Rule,Warning,ConditionalNotSupported,Conditional class not supported in ASIM tester,string,,,,Alias,Conditional
FileEvent,Src,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,IP Address,,,Optional,Alias
NetworkSession,Dst,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Recommended,Alias
NetworkSession,Src,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Recommended,Alias
ProcessEvent,ActorUserAadId,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
ProcessEvent,ActorUserSid,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
ProcessEvent,ActorUserUpn,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
ProcessEvent,Rule,Warning,ConditionalNotSupported,Conditional class not supported in ASIM tester,string,,,,Alias,Conditional
ProcessEvent,TargetUserAadId,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
ProcessEvent,TargetUserSid,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
ProcessEvent,TargetUserUpn,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
RegistryEvent,Rule,Warning,ConditionalNotSupported,Conditional class not supported in ASIM tester,string,,,,Alias,Conditional
UserManagement,ActorUserAadId,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
UserManagement,ActorUserSid,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
UserManagement,Rule,Warning,ConditionalNotSupported,Conditional class not supported in ASIM tester,string,,,,Alias,Conditional
UserManagement,TargetUserUid,Warning,SpecificIDsDocumentedCentrally,Specific IDs documented centrally,string,,string,,Optional,
WebSession,Dst,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Mandatory,Alias
WebSession,HttpRequestMethod,Warning,EnumerationNotSupported,Enumeration type not supported in ASIM tester,string,,string,Enumerated,Recommended,Recommended
WebSession,HttpUserAgent,Warning,LogicalTypeNotInDocs,Logical type should be added to docs,string,Useragent,Useragent,String,Optional,Optional
WebSession,Src,Warning,ComplexAliasNotSupported,Complex aliases not supported in ASIM tester,string,,,,Recommended,Alias
WebSession,ThreatField,Warning,ConditionalNotSupported,Conditional class not supported in ASIM tester,string,Enumerated,,,Optional,Conditional
