FileName, CommitSha
MasterPlaybooks\Remediation-IP\azuredeploy.json,c996137387047fac7c19dbddebf354a863630d05
Playbooks\Close-SentinelIncident-fromSNOW\azuredeploy.json,ecc6d4eab17730ca0c0f1a2fd80faca456f2ae4b
Playbooks\SNOW-CreateAndUpdateIncident\azuredeploy.json,eaa6ee18ebb09900df71fa625052b889753b38dc
Playbooks\Update-BulkIncidents\azuredeploy.json,692f34d453d90637f349973b270813deaa0981b8
Playbooks\Dismiss-AADRiskyUser\alert-trigger\azuredeploy.json,093b53c6d1d327b150eb281cc39b2dceb62d5893
Playbooks\Revoke-AADSignInSessions\alert-trigger\azuredeploy.json,a08c57dae314b7338cb8230c357045ebac925f90
Playbooks\Get-SentinelAlertsEvidence\azuredeploy.json,b6404519dd73a5f74a49976f658ce4bae74a6ff5
Playbooks\IncidentUpdate -Get-SentinelAlertsEvidence\IncidentUpdate-GetSentinelAlertsEvidence.json,d7f3751f1380d87739f978a9f33bfe5162572e3d
MasterPlaybooks\Remediation-Host\Crowdstrike-Remediation-Host\azuredeploy.json,f8f126a43818db3c91c61a87afea14184837fbec
Playbooks\Create-SNOW-record\incident-trigger\azuredeploy.json,77e008a1bde97ced52c3b27c2590a6d6529a74af
Playbooks\Comment-OriginAlertURL\azuredeploy.json,2810360095342f4fe96dcbe6b0e35447cb67e771
Playbooks\Watchlist-Add-URLToWatchList\incident-trigger\azuredeploy.json,d863893145a869f0be12eaef6c6114acb24d182e
Playbooks\Notify-ASCAlertAzureResource\azuredeploy.json,8e2dfd36cd6de9c4e388d7668c07f2eda8d232c8
Playbooks\Get-ASCRecommendations\incident-trigger\azuredeploy.json,d413cdc478a04a1993a64916678792223138386d
Playbooks\Isolate-AzureVMtoNSG\azuredeploy.json,0b7d8ec540c476190650386599693d2f0480cb9e
Playbooks\Get-VirusTotalIPReport\incident-trigger\azuredeploy.json,d8172f02179659feb58b2eb7db93d0ae6fe4663f
Playbooks\Post-Message-Slack\azuredeploy.json,616c625b5d55de0457edeab72e3018a5f01dd640
Playbooks\Update-VIPUsers-Watchlist-from-AzureAD-Group\azuredeploy.json,d769480414bf8265b8c26de4397f6baec7378ff2
Playbooks\Restrict-MDEIPAddress\alert-trigger\azuredeploy.json,dd6915694cb4c3391ae310746cc31fffb509bc76
Playbooks\RecordedFuture_COVID19_Related_Domain_Lure_Detect\RecordedFuture_COVID19_Related_Domain_Lure_IndicatorProcessor.json,9f842f9d921f3cbb2fae5c70bf985535e64e942b
Playbooks\Isolate-MDEMachine\incident-trigger\azuredeploy.json,5c95164967b34819d3e47c34ea90d1586dae9383
Playbooks\HaveIBeenPwned\Playbooks\HaveIBeenPwned_Enrichment_GetAccountBreaches\azuredeploy.json,65c0af4ecb4f786acc129f4e5c140f2fa493388f
Playbooks\Watchlist-InformSubowner-IncidentTrigger\azuredeploy.json,b81816ed240629599b32c1c22d220d61b93995f2
Playbooks\Watchlist-Add-UserToWatchList\incident-trigger\azuredeploy.json,88ce9ea149d3c01df337975d749fe85dba1a2930
Playbooks\Post-Message-Slack\incident-trigger\azuredeploy.json,9f261da853c0d736033542e79ef3386417029212
Playbooks\Get-Microsoft-Covid19-Indicators\C19ImportToSentinel.json,fe31a9724cf63a1c3962a7b37dfecf58619255af
Playbooks\Start-MDEAutomatedInvestigation\alert-trigger\azuredeploy.json,21c7ac0194e4cd4ca1b85bdb052dd2fee651f398
Playbooks\Add-IP-Entity-To-Named-Location\azuredeploy.json,1e989f55b147b2cdd472fdcc0c540d6c4a0b74be
Playbooks\Get-AlienVault_OTX\azuredeploy.json,43b483f894e2c93eb4e75dfcd356b9387ca84e83
Playbooks\HaveIBeenPwned\Playbooks\HaveIBeenPwned_Enrichment_GetSiteBreaches\azuredeploy.json,ceace1dab3f534322d3179ad1e19e36465779374
Playbooks\Run-MDEAntivirus\incident-trigger\azuredeploy.json,cedf5a99b35b5e611c32f14f1c2e9e1ca1135f31
Playbooks\Advanced-SNOW-Teams-Integration\azuredeploy.json,a7b19ca6ee89b069f5f0ec865306c21a287dd44c
Playbooks\Restrict-MDEIPAddress\incident-trigger\azuredeploy.json,e256e18b8e2c21c5dc703f0d8456d09a9fc3d41e
Playbooks\Dismiss_Upstream_Events\azuredeploy.json,d216bf65ad68f3eb7ac9a8d35b518aee2aff1427
Playbooks\Enrich-Sentinel-Incident-AlienVault-OTX\azuredeploy.json,76188cae5b62b09fd07b5b941c1c926f3618072e
Playbooks\Reset-AADUserPassword\incident-trigger\azuredeploy.json,6be4cbf49e3f88a32c4e6c0724356cfd1b53c1a6
Playbooks\Enrich-SentinelIncident-GreyNoise-IP\azuredeploy.json,2535e6c8785822f39c12f848e1e19fe3bba34e92
Playbooks\Restrict-MDEAppExecution\incident-trigger\azuredeploy.json,3205ec1ef4c052aadc91addf25f61ca758d595dc
