Defense,DefenseDescription,DefenseName,Technique,TechniqueName,TechniqueDescription
DTE0032,"A defender can harden accounts which have admin access and also restrict any users from being able to connect remotely using WMI.","DTE0032 - Security Controls",T1047,"T1047 - Windows Management Instrumentation","There is an opportunity to implement security controls which will prevent an adversary from using Windows Management Instrumentation (WMI), in order to entice them to reveal new TTPs."
DTE0007,"A defender can detect the use of non-standard protocols. By implementing behavior analytics specific to a rise in protocol traffic to a system or set of systems, one might be able to detect malicious communications from an adversary.","DTE0007 - Behavioral Analytics",T1095,"T1095 - Non-Application Layer Protocol","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0029,"A defender can connect one or more peripheral devices to a decoy system to see if an adversary has any interest in them.","DTE0029 - Peripheral Management",T1120,"T1120 - Peripheral Device Discovery","There is an opportunity to gauge an adversary's interest in connected peripheral devices."
DTE0034,"A defender can use process monitoring to look for the execution of utilities commonly used for data destruction, such as SDelete.","DTE0034 - System Activity Monitoring",T1485,"T1485 - Data Destruction","There is an opportunity to create a detection with a moderately high probability of success."
DTE0032,"A defender can secure Kerberos in order to prevent an adversary from leveraging the tickets to authenticate or move laterally. This may result in the adversary exposing additional TTPs.","DTE0032 - Security Controls",T1558,"T1558 - Steal or Forge Kerberos Tickets","In an adversary engagement scenario, there is an opportunity to test whether an adversary has the capability to steal or forge Kerberos tickets."
DTE0035,"A program to train and exercise the anti-phishing skills of users can create ""Human Sensors"" that help detect phishing attacks.","DTE0035 - User Training",T1585,"T1585 - Establish Accounts","Users trained and encouraged to report phishing can detect attacks that other defenses do not."
DTE0036,"A defender can modify the functionality of commands used to delete files so that the files are copied to a safe location before they are deleted.","DTE0036 - Software Manipulation",T1059,"T1059 - Command and Scripting Interpreter","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0011,"A defender can create decoy registry objects and monitor access to them using Windows Registry Auditing.","DTE0011 - Decoy Content",T1012,"T1012 - Query Registry","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0011,"A defender can create entries in a decoy system's ARP cache, hosts file, etc. to add to the legitimacy of the device.","DTE0011 - Decoy Content",T1018,"T1018 - Remote System Discovery","In an adversary engagement situation, there is an opportunity to add legitimacy by ensuring decoy systems are fully populated with information an adversary would expect to see during this recon process."
DTE0030,"A defender can stage a variety of pocket litter files in order to determine if an adversary is interested in specific file types, subjects, etc.","DTE0030 - Pocket Litter",T1005,"T1005 - Data from Local System","In an adversary engagement scenario, there is an opportunity provide content on a variety of topics to see what types of information seems to interest the adversary."
DTE0034,"A defender can monitor for user login activity that may reveal an adversary leveraging brute force techniques.","DTE0034 - System Activity Monitoring",T1110,"T1110 - Brute Force","There is an opportunity to create a detection with a moderately high probability of success."
DTE0032,"A defender could use a host-based tool in order to have an effect on the success of an adversary abusing elevation control mechanisms.","DTE0032 - Security Controls",T1548,"T1548 - Abuse Elevation Control Mechanism","There is an opportunity to use security controls on systems in order to affect the success of an adversary."
DTE0032,"A defender can enforce strong authentication requirements such as password changes, two factor authentication, etc. to impact or disrupt an adversary's activity.","DTE0032 - Security Controls",T1098,"T1098 - Account Manipulation","There is an opportunity to use security controls to stop or allow an adversary's activity."
DTE0032,"A defender can block execution of untrusted software.","DTE0032 - Security Controls",T1600,"T1600 - Weaken Encryption","There is an opportunity to use security controls to stop or allow an adversary's activity."
DTE0006,"A defender can force the removal of browser extensions that are not allowed by a corporate policy.","DTE0006 - Baseline",T1176,"T1176 - Browser Extensions","There is an opportunity to use tools and controls to stop an adversary's activity."
DTE0027,"A defender can monitor for systems establishing connections using encapsulated protocols not commonly used together such as RDP tunneled over TCP.","DTE0027 - Network Monitoring",T1572,"T1572 - Protocol Tunneling","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0027,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DTE0027 - Network Monitoring",T1021,"T1021 - Remote Services","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0022,"A defender can install any suspect hardware on an isolated system and monitor for non-standard behaviors.","DTE0022 - Isolation",T1200,"T1200 - Hardware Additions","There is an opportunity to test hardware additions in an isolated environment and ensure they can't be used by an adversary."
DTE0014,"A defender can create a decoy network that contains systems which are easily discoverable and appealing to an adversary.","DTE0014 - Decoy Network",T1482,"T1482 - Domain Trust Discovery","There is an opportunity to extend an adversary's engagement period by creating a decoy network that systems can discover when performing trust discovery."
DTE0017,"A defender could implement a decoy system to study how and when an adversary obfuscate files and hides information.","DTE0017 - Decoy System",T1027,"T1027 - Obfuscated Files or Information","In an adversary engagement scenario, there is an opportunity to introduce decoy systems that can influence an adversary's behavior or allow you to observe how they perform a specific task."
DTE0011,"A defender can use decoy content to give the false impression about the system when an adversary performs system information discovery.","DTE0011 - Decoy Content",T1082,"T1082 - System Information Discovery","There is an opportunity to feed content to an adversary to influence their behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0014,"A defender seeking to learn about post compromise adversary activity could visit the compromised website with a system in a decoy network that has been designed to sustain an adversary engagement past the initial compromise.","DTE0014 - Decoy Network",T1189,"T1189 - Drive-by Compromise","There is an opportunity to use a compromised drive-by site to start long term engagement with the adversary and observe the adversary's post-exploit TTPs."
DTE0007,"A defender can monitor user interactions with images and containers to identify ones that are added or altered anomalously.","DTE0007 - Behavioral Analytics",T1525,"T1525 - Implant Container Image","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0013,"A defender can make a variety of decoy accounts and see if the adversary seems to be drawn to accounts of a specific type, with specific permissions, group access, etc.","DTE0013 - Decoy Diversity",T1087,"T1087 - Account Discovery","There is an opportunity to use decoy accounts of varying types to see what an adversary is most interested in."
DTE0001,"A defender can restrict admin access to force an adversary to escalate privileges in order to delete logs and captured artifacts from a system.","DTE0001 - Admin Access",T1070,"T1070 - Indicator Removal on Host","In an adversary engagement scenario, there is an opportunity to allow or restrict admin access to support your defensive objectives."
DTE0034,"A defender can collect system process information and look for abnormal activity tied to Office processes.","DTE0034 - System Activity Monitoring",T1137,"T1137 - Office Application Startup","There is an opportunity to create a detection with a moderately high probability of success."
DTE0036,"A defender can manipulate commands on systems so an adversary is unable delete data in ways they normally would.","DTE0036 - Software Manipulation",T1485,"T1485 - Data Destruction","There is an opportunity to block an adversary's intended action and force them to reveal additional TTPs."
DTE0022,"A defender can isolate unknown processes that are being used for command and control and prevent them from being able to access the internet.","DTE0022 - Isolation",T1104,"T1104 - Multi-Stage Channels","There is an opportunity to detect an unknown process that is being used for command and control and disrupt it."
DTE0011,"A defender can introduce decoy audio content designed to make the adversary believe that their audio capture efforts are working.","DTE0011 - Decoy Content",T1123,"T1123 - Audio Capture","There is an opportunity to feed content to an adversary to influence their behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0032,"A defender could use host-based tool to detect common persistence mechanisms and prevent the process from executing successfully.","DTE0032 - Security Controls",T1197,"T1197 - BITS Jobs","There is an opportunity to use security controls on systems in order to affect the success of an adversary."
DTE0007,"A defender can look for anomalies in how commands are being executed on a system. This can expose potentially malicious activity.","DTE0007 - Behavioral Analytics",T1216,"T1216 - Signed Script Proxy Execution","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0032,"A defender can configure systems to block any system with a number of authentication failures in a certain window of time.","DTE0032 - Security Controls",T1499,"T1499 - Endpoint Denial of Service","There is an opportunity to block an adversary's intended action and force them to reveal additional TTPs."
DTE0007,"Defenders can detect adversaries attempting to open a port by analyzing incoming network connections. By looking for anomalies in what network traffic comes in, as well as patterns that might indicate intentional sequences, one can potentially identify malicious traffic. One can also look at anomalies in services suddenly listening on ports that were not being used before.","DTE0007 - Behavioral Analytics",T1602,"T1602 - Data from Configuration Repository","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0032,"A defender can block execution of untrusted software.","DTE0032 - Security Controls",T1574,"T1574 - Hijack Execution Flow","There is an opportunity to use security controls to stop or allow an adversary's activity."
DTE0031,"Defenders can develop protocol decoders that can decrypt network capture data and expose an adversary's command and control traffic as well as their exfiltration activity.","DTE0031 - Protocol Decoder",T1030,"T1030 - Data Transfer Size Limits","There is an opportunity to use tools and controls to stop an adversary's activity."
DTE0029,"A defender could use decoy peripherals, such as external Wi-Fi adapters, USB devices, etc. to determine if adversaries attempt to use them for exfiltration purposes.","DTE0029 - Peripheral Management",T1052,"T1052 - Exfiltration Over Physical Medium","There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment."
DTE0001,"A defender can enable Admin Access on a system to see if the adversary utilizes that access to create scheduled tasks to launch their malware or tools.","DTE0001 - Admin Access",T1053,"T1053 - Scheduled Task/Job","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0017,"A defender can add decoy systems to the network so an adversary can have a variety of network services available to them. The defender can observe which network services the adversary attempts to use.","DTE0017 - Decoy System",T1600,"T1600 - Weaken Encryption","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0030,"A defender can stage a variety of pocket litter files to bolster the legitimacy of the local system.","DTE0030 - Pocket Litter",T1005,"T1005 - Data from Local System","In an adversary engagement scenario, there is an opportunity to add legitimacy by ensuring the local system is with fully populated with content."
