DOS,DOSDescription,DPR,DPRDescription,DTE,DTEDescription,DUC,DUCDescription
,,,,DTE0001,"DTE0001 - Admin Access",DUC0042,"A defender can allow Admin access on a decoy system or network to allow an adversary to use event triggered execution."
,,,,DTE0011,,DUC0074,"A defender can create breadcrumbs or honeytokens to lure the attackers toward the decoy systems or network services."
,,,,DTE0011,,DUC0260,"A defender can insert decoy content into external sources or resources that adversaries may leverage for intelligence gathering."
,,,,DTE0011,,DUC0261,"A defender can deploy a decoy website to support a deception operation or piece of the organization's deception strategy."
DOS0251,"There is an opportunity to introduce services in a decoy network to determine if an adversary notices and tries to learn more about them.",,,DTE0014,,,
,,,,DTE0017,,DUC0169,"A defender can deploy a virtual decoy system to see if the adversary recognizes the virtualization and reacts."
,,,,DTE0011,,DUC0257,"A defender can seed decoy content into network service configuration files which may be consumed during an adversary's recon activity."
,,DPR0006,"Hook the Win32 DeleteFile() function to log all attempts at deleting a given file. This information can be used to trigger restoration attempts on critical data, reducing potential disruption if those files are unavailable for prolonged periods of time.",DTE0003,"DTE0003 - API Monitoring",ID,Description
,,,,DTE0028,,DUC0116,"A defender can capture network traffic for a compromised system and look for abnormal network traffic that may signal data obfuscation."
DOS0133,"In an adversary engagement scenario, there is an opportunity to observe how an adversary might manipulate data on a system.",,,DTE0011,,,
,,,,DTE0034,,DUC0238,"A defender could monitor logs off-system in order to detect adversary activities even when logs have been deleted on the system."
,,DPR0061,"Train users to immediately report suspicious emails. Those emails could then be used for malware detonation or adversary engagement purposes.",DTE0035,,,
,,,,DTE0032,,DUC0127,"A defender can configure systems to block any system with a number of authentication failures in a certain window of time."
DOS0027,"There is an opportunity to create a detection with a moderately high probability of success.",,,DTE0034,,,
,,,,DTE0034,,DUC0021,"Defenders can monitor trusted partner access, detecting unauthorized activity."
,,DPR0040,"Unplug an infected system from the network and disable any other means of communication.",DTE0022,,,
,,DPR0041,"When malware is received via spearphishing, move the email message onto a decoy system prior to detonating the malicious file attachment.",DTE0023,,,
,,,,DTE0033,,DUC0254,"A defender can define operating procedures for interacting with cloud services and alert when they are not followed."
,,,,DTE0034,,DUC0128,"A defender can collect system activity and detect commands that interact with firmware. This can speed up the recovery of a system."
DOS0112,"In an adversary engagement scenario, there is an opportunity to prepare a user's browser data (sessions, cookies, etc.) so it looks authentic and fully populated.",,,DTE0008,,,
DOS0187,"In an adversary engagement operation, there is an opportunity to present decoy accounts to the adversary during the enumeration process.",,,DTE0010,,,
,,DPR0032,"Use an isolated system to visit a suspected compromised website. Collect any associated scripting code or files dropped onto the system.",DTE0017,,,
,,DPR0035,"Detonate a malware sample in a decoy network to engage with an adversary and study their TTPs.",DTE0018,,,
,,DPR0054,"Create and apply a decoder which allows you to view encrypted and/or encoded network traffic in a human-readable format.",DTE0031,,,
,,,,DTE0032,,DUC0179,"A defender can prevent an adversary from enabling Wi-Fi or Bluetooth interfaces which could be connected to surrounding access points or devices and used for exfiltration."
,,,,DTE0003,"DTE0003 - API Monitoring",DUC0031,"A defender can monitor and analyze operating system functions calls for detection and alerting."
,,,,DTE0036,,DUC0194,"A defender could manipulate the command to display services an adversary would expect to see on a system, or to shown them unexpected services."
,,DPR0007,"Use a mix of vulnerable and nonvulnerable software on a system to allow you to see what exploits the adversary leverages in their attacks.",DTE0004,"DTE0004 - Application Diversity",,
,,,,DTE0012,,DUC0151,"A defender can use adversary attempts at forced authentication exploits to seed adversary servers with decoy credentials."
,,DPR0029,"Create a persona that represents an employee with hobbies, outside interests, personal accounts, etc. This persona may be used in conjunction with decoy accounts and credentials.",DTE0015,,,
,,,,DTE0034,,DUC0063,"A defender could monitor for known commands used to hide artifacts on a system and for activity associated with those hidden artifacts."
DOS0122,"There is an opportunity to test what an adversary might do if encrypted data is selectively replaced by the defender.",,,DTE0005,,,
,,,,DTE0007,,DUC0213,"A defender can detect the use of external web services for communication relay. By implementing behavior analytics anomalies in what domains a system is communicating with, how frequently, and at what times, a defender can potentially identify malicious traffic."
,,,,DTE0007,,DUC0217,"A defender can implement behavior analytics which would indicate activity on a system executing commands in non-standard ways. This could indicate malicious activity."
,,,,DTE0018,,DUC0037,"A defender can detonate malicious code leveraging a signed binary on a decoy system or within a decoy network to see how it behaves or for adversary engagement purposes."
,,,,DTE0032,,DUC0143,"A defender can use Trusted Platform Module technology and a secure boot process to prevent system integrity from being compromised."
