DateAdded,IoC,Type,ExpirationDateTime,Reference,ActivityGroupNames,TargetedService,Tags
9/16/2020,103.99.209.78,IP,1/21/21 13:34,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,104.224.185.36,IP,11/18/20 23:41,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,104.233.224.227,IP,11/18/20 22:12,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,104.36.69.105,IP,10/16/20 13:58,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,107.148.130.176,IP,2/7/21 19:33,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,107.174.45.134,IP,12/29/20 13:03,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,107.175.189.159,IP,3/29/21 1:13,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,107.182.18.149,IP,1/14/21 22:03,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,107.182.24.70,IP,11/19/20 15:52,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,108.61.214.194,IP,2/3/21 19:07,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,119.28.139.120,IP,10/14/20 11:52,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
9/16/2020,119.28.226.59,IP,9/13/20 18:51,https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure-sentinel/ba-p/1875913,Barium,Infrastructure,"[""Barium"", ""APT41""]"
