UserAgent,UserAgentCategory
XMRig,Cryptominer
ccminer,Cryptominer
(hydra),Hacking Tool
 arachni/,Hacking Tool
 BFAC ,Hacking Tool
 brutus ,Hacking Tool
 cgichk ,Hacking Tool
core-project/1.0,Hacking Tool
 crimscanner/,Hacking Tool
datacha0s,Hacking Tool
dirbuster,Hacking Tool
domino hunter,Hacking Tool
dotdotpwn,Hacking Tool
FHScan Core,Hacking Tool
floodgate,Hacking Tool
get-minimal,Hacking Tool
gootkit auto-rooter scanner,Hacking Tool
grendel-scan,Hacking Tool
 inspath ,Hacking Tool
internet ninja,Hacking Tool
jaascois,Hacking Tool
 zmeu ,Hacking Tool
masscan,Hacking Tool
 metis ,Hacking Tool
morfeus fucking scanner,Hacking Tool
n-stealth,Hacking Tool
nsauditor,Hacking Tool
pmafind,Hacking Tool
security scan,Hacking Tool
springenwerk,Hacking Tool
teh forest lobster,Hacking Tool
toata dragostea,Hacking Tool
 vega/,Hacking Tool
voideye,Hacking Tool
webshag,Hacking Tool
webvulnscan,Hacking Tool
 whcc/,Hacking Tool
 Havij,Hacking Tool
absinthe,Hacking Tool
bsqlbf,Hacking Tool
mysqloit,Hacking Tool
pangolin,Hacking Tool
sql power injector,Hacking Tool
sqlmap,Hacking Tool
sqlninja,Hacking Tool
uil2pn,Hacking Tool
ruler,Hacking Tool
Mozilla/5.0 (Windows; U; Windows NT 5.1; pt-PT; rv:1.9.1.2) Gecko/20090729 Firefox/3.5.2 (.NET CLR 3.5.30729),Hacking Tool
WindowsPowerShell,Powershell
