ControlID,ContolRequirement,ControlFamily,Level
3.1.1,Limit system access to authorized users processes acting on behalf of authorized users and devices (including other systems).,Access Control,Level 1 Foundational
3.1.3,Control the flow of CUI in accordance with approved authorizations.,Access Control,Level 2 Advanced
3.1.4,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,Access Control,Level 2 Advanced
3.1.12,Monitor and control remote access sessions.,Access Control,Level 2 Advanced
3.3.1,Create and retain system audit logs and records to the extent needed to enable the monitoring analysis investigation and reporting of unlawful or unauthorized system activity.,Audit & Accountability,Level 2 Advanced
3.3.2,Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.,Audit & Accountability,Level 2 Advanced
3.3.4,Alert in the event of an audit logging process failure.,Audit & Accountability,Level 2 Advanced
3.4.7,Restrict disable or prevent the use of nonessential programs functions ports protocols and services.,Configuration Management,Level 2 Advanced
3.4.8,Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all permit-by-exception (whitelisting) policy to allow the execution of authorized software.,Configuration Management,Level 2 Advanced
3.4.9,Control and monitor user-installed software.,Configuration Management,Level 2 Advanced
3.5.1,Identify system users processes acting on behalf of users and devices.,Identification & Authentication,Level 2 Advanced
3.5.2,Authenticate (or verify) the identities of users processes or devices as a prerequisite to allowing access to organizational systems,Identification & Authentication,Level 2 Advanced
3.5.3,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts,Identification & Authentication,Level 2 Advanced
3.5.7,Enforce a minimum password complexity and change of characters when new passwords are created.,Identification & Authentication,Level 2 Advanced
3.5.8,Prohibit password reuse for a specified number of generations.,Identification & Authentication,Level 2 Advanced
3.5.10,Store and transmit only cryptographically-protected passwords.,Identification & Authentication,Level 2 Advanced
3.11.2,Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.,Risk Assessment,Level 2 Advanced
3.13.1,Monitor control and protect communications (i.e. information transmitted or received by organizational systems) at the external boundaries and key internal boundaries of organizational systems.,System & Communications Protection,Level 1 Foundational
3.13.5,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,System & Communications Protection,Level 2 Advanced
3.13.8,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,System & Communications Protection,Level 2 Advanced
3.13.16,Protect the confidentiality of CUI at rest.,System & Communications Protection,Level 2 Advanced
3.14.1,Identify report and correct system flaws in a timely manner.,,Level 1 Foundational
3.14.2,Provide protection from malicious code at designated locations within organizational systems.,System & Information Integrity,Level 2 Advanced
3.14.6,Monitor organizational systems including inbound and outbound communications traffic to detect attacks and indicators of potential attacks.,System & Information Integrity,Level 2 Advanced
