DateAdded,IoC,Type
9/29/2022,172.93.201.253 ,ip 
9/29/2022,137.184.15.189 ,ip 
9/29/2022,44.238.74.84 ,ip 
9/29/2022,olidhealth.com ,domainname
9/29/2022,hurricanepub.com ,domainname
9/29/2022,turnscor.com ,domainname
9/29/2022,elite4print.com ,domainname
9/29/2022,cats.runtimerec.com ,domainname
9/29/2022,recruitment.raystechserv.com ,domainname
9/29/2022,Amazon-KiTTY.exe ,filename
9/29/2022,Amazon_IT_Assessment.iso ,filename
9/29/2022,IT_Assessment.iso ,filename
9/29/2022,amazon_assessment_test.iso ,filename
9/29/2022,SecurePDF.exe ,filename
9/29/2022,C:\ProgramData\Comms\colorui.dll ,filepath 
9/29/2022,%APPDATA%\KiTTY\mscoree.dll ,filepath 
9/29/2022,N:\2.MyDevelopment\3.Tools_Development\4.TightVNCCustomize\Munna_Customize\tightvnc\x64\\Release\tvnviewer.pdb ,filepath 
9/29/2022,"c:\windows\system32\schtasks.exe /CREATE /SC DAILY /MO 1 /ST 10:30 /TR ""C:\Windows\System32\cmd.exe /c start /b C:\ProgramData\PackageColor\colorcpl.exe 0CE1241A44557AA438F27BC6D4ACA246"" /TN PackageColor /F ",filepath 
9/29/2022,37e30dc2faaabaf93f0539ffbde032461ab63a2c242fbe6e1f60a22344c8a334 ,sha256
9/29/2022,14f736b7df6a35c29eaed82a47fc0a248684960aa8f2222b5ab8cdad28ead745 ,sha256
9/29/2022,1492fa04475b89484b5b0a02e6ba3e52544c264c294b57210404b96b65e63266 ,sha256
9/29/2022,aaad412aeb0f98c2c27bb817682f08673902a48b65213091534f96fe6f5494d9 ,sha256
9/29/2022,63cddab76e9d63e3cbea421b607342735d924e462c40f3917b1b5fbdf8d4a20d ,sha256
9/29/2022,e1ecf0f7bd90553baaa83dcdc177e1d2b20d6ee5520f5d9b44cdf59389432b10 ,sha256
9/29/2022,c5a470cdf6f57125a8671f6b8843149cc78ccbc1a7bc615f34b23d9f241312bf ,sha256
9/29/2022,71beb4252e93291c7b14dfcb4cbb5d58144a76181fbe4aab3592121a3dbd9c55 ,sha256
9/29/2022,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36 Edg/100.0.1185.39  ",useragent 
9/29/2022,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; InfoPath.3; .NET4.0C; .NET4.0E)  ,useragent 
