DateAdded,IoC,Type,TLP
7/16/2021,noc-service-streamer.com,domainname,White
7/16/2021,fbcdnads.live,domainname,White
7/16/2021,hilocake.info,domainname,White
7/16/2021,backxercise.com,domainname,White
7/16/2021,winmslaf.xyz,domainname,White
7/16/2021,service-deamon.com,domainname,White
7/16/2021,online-affiliate-mon.com,domainname,White
7/16/2021,codeingasmylife.com,domainname,White
7/16/2021,kenoratravels.com,domainname,White
7/16/2021,weathercheck.digital,domainname,White
7/16/2021,colorpallatess.com,domainname,White
7/16/2021,library-update.com,domainname,White
7/16/2021,online-source-validate.com,domainname,White
7/16/2021,grayhornet.com,domainname,White
7/16/2021,johnshopkin.net,domainname,White
7/16/2021,eulenformacion.com,domainname,White
7/16/2021,pochtarossiy.info,domainname,White
7/16/2021,\\windows\\system32\\Physmem.sys ,filepath1,White
7/16/2021,\\Windows\\system32\\ime\\SHARED\\WimBootConfigurations.ini,filepath3,White
7/16/2021,\\Windows\\system32\\ime\\IMEJP\\WimBootConfigurations.ini,filepath3,White
7/16/2021,\\Windows\\system32\\ime\\IMETC\\WimBootConfigurations.ini,filepath3,White
7/16/2021,\\windows\\system32\\,filepath2,White
7/16/2021,\\windows\\system32\\ime\\,filepath2,White
7/16/2021,hklm\\software\\classes\\clsid\\{cf4cc405-e2c5-4ddd-b3ce-5e7582d8c9fa}\\inprocserver32\\,regkey,White
7/16/2021,hklm\\software\\classes\\clsid\\{7c857801-7381-11cf-884d-00aa004b2e24}\\inprocserver32\\,regkey,White
7/16/2021,HKEY_LOCAL_MACHINE\\software\\classes\\clsid\\{7c857801-7381-11cf-884d-00aa004b2e24}\\inprocserver32\\,regkey,White
7/16/2021,HKEY_LOCAL_MACHINE\\software\\classes\\clsid\\{cf4cc405-e2c5-4ddd-b3ce-5e7582d8c9fa}\\inprocserver32\\,regkey,White
7/16/2021,c299063e3eae8ddc15839767e83b9808fd43418dc5a1af7e4f44b97ba53fbd3d,sha256,White
