type,value,doc_url
EventVendor,AWS,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Cisco,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Corelight,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Cynerio,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Dataminr,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Fortinet,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,GCP,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Infoblox,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Linux,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Microsoft,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Okta,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,OpenBSD,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Palo Alto,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,PostgreSQL,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Squid,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Vectra AI,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,WatchGuard,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventVendor,Zscaler,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,ASA,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Auth0,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Azure,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
