name,physical_type,allowed_values,description,doc_url
AppType,Enumerated,Process|Service|Resource|URL|SaaS application|CSP|Other,"The type of an application. For a list of supported values, see [The Application Entity](normalization-entity-application.md#apptype).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-application#apptype
Boolean,Bool,,Use the built-in KQL `bool` data type rather than a numerical or string representation of Boolean values.,https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
City,String,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
ConfidenceLevel,Integer,,A confidence level normalized to the range of 0 to a 100.,https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
Country,String,,"A string using [ISO 3166-1](https://www.iso.org/iso-3166-country-codes.html), according to the following priority: <br><br> - Alpha-2 codes, such as `US` for the United States. <br> - Alpha-3 codes, such as `USA` for the United States. <br>- Short name.<br><br>The list of codes can be found on the [International Standards Organization (ISO) website](https://www.iso.org/obp/ui/#search).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
DeviceType,Enumerated,Computer|Mobile Device|IOT Device|Other,"The type of the device stored in DeviceType fields. Possible values include:<br>- `Computer`<br>- `Mobile Device`<br>- `IOT Device`<br>- `Other`. For more information, see [The Device entity](normalization-entity-device.md).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas#devicetype
DnsQueryClassName,String,,The [DNS class name](https://www.iana.org/assignments/dns-parameters/dns-parameters.xhtml).,https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
Domain,String,,"the domain part of an FQDN, without the hostname, for example, `learn.microsoft.com`. For more information, see [The Device entity](normalization-entity-device.md).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
DomainType,Enumerated,FQDN|Windows,"The type of domain stored in domain and FQDN fields. For a list of values and more information, see [The Device entity](normalization-entity-device.md).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device#domaintype
DvcIdType,Enumerated,MDEid|AzureResourceId|MD4IoTid|VMConnectionId|AwsVpcId|VectraId|Other,"The type of the device ID stored in DvcId fields. For a list of allowed values and further information, refer to [DvcIdType](normalization-entity-device.md#dvcidtype).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device#dvcidtype
Enumerated,String,,A list of values as explicitly defined for the field. The schema definition lists the accepted values.,https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
FQDN,String,,"A fully qualified domain name using a dot notation, for example, `learn.microsoft.com`. For more information, see [The Device entity](normalization-entity-device.md).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
Hostname,String,,"A hostname that isn't an FQDN, includes up to 63 characters including letters, numbers, and hyphens. For more information, see [The Device entity](normalization-entity-device.md).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas#hostname
Latitude,Double,,ISO 6709 coordinate representation (signed decimal).,https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
Longitude,Double,,ISO 6709 coordinate representation (signed decimal).,https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
Region,String,,"The country/region subdivision name, using ISO 3166-2.<br><br>The list of codes can be found on the [International Standards Organization (ISO) website](https://www.iso.org/obp/ui/#search).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
RiskLevel,Integer,,A risk level normalized to the range of 0 to a 100.,https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
SchemaVersion,String,,An ASIM schema version in the format `<major>.<minor>.<sub-minor>`,https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
UserIdType,Enumerated,SID|UID|AADID|OktaId|AWSId|PUID|SalesforceId,"The type of the ID stored in user ID fields. <br><br>Supported values are `SID`, `UIS`, `AADID`, `OktaId`, `AWSId`, and `PUID`. For more information, see [The User entity](normalization-entity-user.md).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user#useridtype
UserType,Enumerated,Regular|Machine|Admin|System|Application|Service Principal|Service|Anonymous|Other,"The type of a user. For more information and list of allowed values, see [The User entity](normalization-entity-user.md).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user#usertype
Username,String,,A simple or domain qualified username,https://learn.microsoft.com/en-us/azure/sentinel/normalization-about-schemas
UsernameType,Enumerated,UPN|Windows|DN|Simple|AWSId,"The type of username stored in username fields. For more information and list of supported values, see [The User entity](normalization-entity-user.md).",https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user#usernametype
