month,commit_sha,commit_date,active_connectors,deprecated_connectors,total_connectors,connectors_created,connectors_updated
2020-05-01,26f5aa82dfe9,2020-04-30,0,0,0,0,0
2020-06-01,6611766c69e9,2020-05-30,0,0,0,0,0
2020-07-01,3c85dcb1ebf0,2020-06-30,0,0,0,0,0
2020-08-01,f0a4604a88c5,2020-07-31,0,0,0,0,0
2020-09-01,cde77af9d1ec,2020-08-31,0,0,0,0,0
2020-10-01,5b7fcb966ca3,2020-10-01,0,0,0,0,0
2020-11-01,a4c9038e67fb,2020-10-30,0,0,0,0,0
2020-12-01,00feaec7fcb2,2020-12-01,0,0,0,0,0
2021-01-01,9ffbc33efd69,2020-12-31,0,0,0,0,0
2021-02-01,40d58b1ca8c3,2021-02-01,0,0,0,3,0
2021-03-01,3326e3e42797,2021-02-28,3,0,3,10,0
2021-04-01,bffbb0b9b33e,2021-03-31,13,0,13,4,4
2021-05-01,1eaa9ab5ecc1,2021-04-30,17,0,17,3,0
2021-06-01,bcbd3e1cdfa0,2021-05-31,20,0,20,15,7
2021-07-01,b8a7bba0b8b3,2021-07-01,31,0,31,8,1
2021-08-01,01e0791f20e9,2021-07-31,41,0,41,4,0
2021-09-01,424b617efe7b,2021-08-31,43,0,43,3,3
2021-10-01,eb087c5df0d8,2021-09-30,46,0,46,21,2
2021-11-01,4923d9699bce,2021-10-31,67,0,67,2,1
2021-12-01,fa761cf85966,2021-11-30,69,0,69,3,3
2022-01-01,7518e8aedf0f,2021-12-31,72,0,72,10,1
2022-02-01,337cd199e69f,2022-02-01,81,0,81,1,3
2022-03-01,773c6b61ec0a,2022-03-01,83,0,83,8,0
2022-04-01,c2a4ea5bdc11,2022-04-01,91,0,91,3,3
2022-05-01,576e263804a5,2022-05-01,94,0,94,44,9
2022-06-01,1ddac9ee7d96,2022-06-01,94,0,94,10,20
2022-07-01,f7b7b061caaf,2022-07-01,152,0,152,8,54
2022-08-01,73d802f73633,2022-08-01,161,0,161,11,12
2022-09-01,01d28b04992b,2022-09-01,173,0,173,4,15
2022-10-01,d55d5312d11e,2022-09-30,174,0,174,5,9
2022-11-01,37518ea46ad2,2022-11-01,182,0,182,13,7
2022-12-01,ca957773c425,2022-12-01,191,0,191,4,5
2023-01-01,321d007d4ebb,2023-01-01,195,0,195,10,13
2023-02-01,6b65eb89747d,2023-02-01,205,0,205,4,9
2023-03-01,472d8c392337,2023-03-01,212,0,212,6,26
2023-04-01,fdd5dd831782,2023-03-31,213,0,213,2,20
2023-05-01,94aa2e2f9007,2023-05-01,214,0,214,2,9
2023-06-01,eeba07c0a7c5,2023-06-01,214,0,214,2,26
2023-07-01,b799576ce030,2023-06-30,214,0,214,7,9
2023-08-01,8d0b8852c095,2023-08-01,223,0,223,8,12
2023-09-01,35361d225266,2023-09-01,230,2,232,41,38
2023-10-01,2cbb065211f3,2023-10-01,224,0,224,10,8
2023-11-01,e08f2f9c3eb0,2023-11-01,247,30,277,22,18
2023-12-01,d4968b5853b0,2023-11-30,263,33,296,2,11
2024-01-01,7bb12216385a,2023-12-29,250,30,280,6,6
2024-02-01,5fa959df09a7,2024-02-01,271,33,304,6,13
2024-03-01,0dfe39e9a2d0,2024-03-01,272,33,305,8,16
2024-04-01,5ab1874cdb09,2024-04-01,281,38,319,6,36
2024-05-01,ffb9684ad231,2024-05-01,287,39,326,6,5
2024-06-01,47d12c891543,2024-05-31,291,39,330,3,4
2024-07-01,8049850c0a57,2024-07-01,294,39,333,10,77
2024-08-01,5252923298c1,2024-08-01,237,104,341,5,37
2024-09-01,ed3788057fd4,2024-08-31,216,127,343,3,35
2024-10-01,dc08ee2a42ce,2024-10-01,221,125,346,14,10
2024-11-01,e4cfe2d094f0,2024-10-31,229,125,354,6,10
2024-12-01,cae008b7776f,2024-11-29,236,126,362,6,5
2025-01-01,d49ac6556d14,2024-12-31,251,126,377,4,10
2025-02-01,490cc896ad26,2025-01-31,254,126,380,22,11
2025-03-01,7c8e2ec42a74,2025-02-28,276,126,402,6,9
2025-04-01,361737877660,2025-04-01,280,126,406,9,22
2025-05-01,b0cc08acf6b0,2025-04-30,285,131,416,5,21
2025-06-01,8c4ecaffa2bb,2025-05-30,285,136,421,11,25
2025-07-01,7f91700863f8,2025-07-01,294,138,432,21,20
2025-08-01,d0b818aad2cc,2025-08-01,307,142,449,11,30
2025-09-01,0f80db95978d,2025-09-01,317,145,462,6,22
2025-10-01,c76164589ab9,2025-10-01,323,145,468,9,14
2025-11-01,d7ff45235eae,2025-11-01,331,145,476,8,20
2025-12-01,7e1d893ec9f2,2025-12-01,340,143,483,2,11
2026-01-01,14db00bc14ad,2026-01-01,347,143,490,7,11
2026-02-01,0f5e0cc94abf,2026-01-30,352,143,495,23,12
2026-03-01,59e0373117b4,2026-02-28,374,144,518,25,17
2026-04-01,9f159e11f5fe,2026-04-01,397,144,541,14,31
2026-05-01,1ac179527482,2026-04-30,405,151,556,30,17
2026-06-01,b22bf99976bd,2026-06-01,423,151,574,16,10
