"solution_name","solution_folder","solution_github_url","playbook_name","playbook_file","api_name","api_kind","is_custom","is_sentinel","connection_count","connection_kinds","connection_names","action_count","parameters"
"AbuseIPDB","AbuseIPDB","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AbuseIPDB","AbuseIPDB Blacklist Ip To Threat Intelligence","AbuseIPDB-BlacklistIpToThreatIntelligence/azuredeploy.json","AbuseIPDBAPI","customApi","true","false","1","","[variables('AbuseIPDBConnectionName')]","1","[{""action"": ""BLACKLIST_Endpoint"", ""method"": ""get"", ""path"": ""/blacklist""}]"
"AbuseIPDB","AbuseIPDB","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AbuseIPDB","AbuseIPDB Blacklist Ip To Threat Intelligence","AbuseIPDB-BlacklistIpToThreatIntelligence/azuredeploy.json","microsoftgraphsecurity","managedApi","false","false","1","V1","[variables('ThreatIntelligenceConnectionName')]","1","[{""action"": ""Submit_multiple_tiIndicators"", ""method"": ""post"", ""path"": ""/beta/security/tiIndicators/submitTiIndicators""}]"
"AbuseIPDB","AbuseIPDB","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AbuseIPDB","AbuseIPDB Enrich Incident By IP Info","AbuseIPDB-EnrichIncidentByIPInfo/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('AzureSentinelConnectionName')]","2","[{""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}, {""action"": ""Entities_-_Get_IPs"", ""method"": ""post"", ""path"": ""/entities/ip""}]"
"AbuseIPDB","AbuseIPDB","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AbuseIPDB","AbuseIPDB Enrich Incident By IP Info","AbuseIPDB-EnrichIncidentByIPInfo/azuredeploy.json","AbuseIPDBAPI","customApi","true","false","1","V1","[variables('AbuseIPDBConnectionName')]","1","[{""action"": ""AbuseIPDB_CHECK_Endpoint"", ""method"": ""get"", ""path"": ""/check""}]"
"AbuseIPDB","AbuseIPDB","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AbuseIPDB","AbuseIPDB Report IPs To AbuseIPDB After User Response In MSTeams","AbuseIPDB-ReportIPsAfterUserResponseInMSTeams/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('AzureSentinelConnectionName')]","1","[{""action"": ""Entities_-_Get_IPs"", ""method"": ""post"", ""path"": ""/entities/ip""}]"
"AbuseIPDB","AbuseIPDB","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AbuseIPDB","AbuseIPDB Report IPs To AbuseIPDB After User Response In MSTeams","AbuseIPDB-ReportIPsAfterUserResponseInMSTeams/azuredeploy.json","teams","managedApi","false","false","1","","[variables('MSTeamsConnectionName')]","0",""
"AbuseIPDB","AbuseIPDB","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AbuseIPDB","AbuseIPDB Report IPs To AbuseIPDB After User Response In MSTeams","AbuseIPDB-ReportIPsAfterUserResponseInMSTeams/azuredeploy.json","AbuseIPDBAPI","customApi","true","false","1","V1","[variables('AbuseIPDBConnectionName')]","1","[{""action"": ""REPORT_Endpoint"", ""method"": ""post"", ""path"": ""/report""}]"
"Apache Log4j Vulnerability Detection","Apache Log4j Vulnerability Detection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Apache%20Log4j%20Vulnerability%20Detection","Log4jIndicatorProcessor","IndicatorProcessor/Log4jIndicatorProcessor.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","1","[{""action"": ""Threat_Intelligence_-_Upload_STIX_Objects_(Preview)"", ""method"": ""post"", ""path"": ""[concat('/V2/ThreatIntelligence/', reference(resourceId('Microsoft.OperationalInsights/workspaces', parameters('LogAnalyticsWorkspaceName')), '2025-02-01').customerId, '/UploadIndicators/')]""}]"
"Apache Log4j Vulnerability Detection","Apache Log4j Vulnerability Detection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Apache%20Log4j%20Vulnerability%20Detection","Log4jIndicatorProcessor","IndicatorProcessor/Log4jIndicatorProcessor.json","azuremonitorlogs","managedApi","false","false","1","V1","[variables('AzureMonitorLogsConnectionName')]","1","[{""action"": ""Run_query_and_list_results_V2"", ""method"": ""post"", ""path"": ""/queryDataV2""}]"
"Armis","Armis","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis","Armis Update Alert Status","ArmisUpdateAlertStatus/azuredeploy.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","0",""
