entity,section,field_name,field_class,physical_type,logical_type,aliased_field,allowed_values,description,example,note,doc_url,original_description
Application,Fields,AppId,Optional,string,,,,"The ID of the application, as reported by the reporting device. If AppType is `Process`, `DstAppId` and `DstProcessId` should have the same value.",124,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-application,"The ID of the application, as reported by the reporting device. If [AppType](#apptype) is `Process`, `DstAppId` and `DstProcessId` should have the same value.<br><br>Example: `124`"
Application,Fields,AppName,Optional,string,,,,The name of the application.,Facebook,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-application,The name of the application.<br><br>Example: `Facebook`
Application,Fields,AppType,Optional,string,AppType,,Process|Service|Resource|URL|SaaS application|CSP|Other,The type of the  application. <br>This field is mandatory if DstAppName or DstAppId are used,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-application,"The type of the  application. Supported values include: `Process`, `Service`,  `Resource`, `URL`, `SaaS application`, `CSP`, and `Other`.<br><br>This field is mandatory if [DstAppName](#appname) or [DstAppId](#appid) are used."
Application,Fields,Process,Alias,,,ProcessName,,,C:\Windows\System32\rundll32.exe,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-application,Alias to the [ProcessName](#processname) <br><br>Example: `C:\Windows\System32\rundll32.exe`
Application,Fields,ProcessGuid,Optional,string,,,,A generated unique identifier (GUID) of the process used by the application.,01234567-89AB-CDEF-0123-456789ABCDEF,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-application,A generated unique identifier (GUID) of the process used by the application.   <br><br> Example: `01234567-89AB-CDEF-0123-456789ABCDEF`
Application,Fields,ProcessId,Optional,string,,,,The process ID (PID) of the process the application is using.,48610176,"The type is defined as *string* to support varying systems, but on Windows and Linux this value must be numeric. <br><br>If you are using a Windows or Linux machine and used a different type, make sure to convert the values. For example, if you used a hexadecimal value, convert it to a decimal value.",https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-application,"The process ID (PID) of the process the application is using.<br><br>Example:  `48610176` <br><br>**Note**: The type is defined as *string* to support varying systems, but on Windows and Linux this value must be numeric. <br><br>If you are using a Windows or Linux machine and used a different type, make sure to convert the values. For example, if you used a hexadecimal value, convert it to a decimal value."
Application,Fields,ProcessName,Optional,string,,,,The file name of the process used by the application.,C:\Windows\explorer.exe,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-application,The file name of the process used by the application.  <br><br>Example: `C:\Windows\explorer.exe`
Device,Other device fields,DvcAction,Optional,string,,,,"For reporting security systems, the action taken by the system, if applicable.",Blocked,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"For reporting security systems, the action taken by the system, if applicable. <br><br>Example: `Blocked`"
Device,Other device fields,DvcDescription,Optional,string,,,,A descriptive text associated with the device.,Primary Domain Controller,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,A descriptive text associated with the device. For example: `Primary Domain Controller`.
Device,Other device fields,DvcOriginalAction,Optional,string,,,,The original DvcAction as provided by the reporting device.,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The original [DvcAction](#dvcaction) as provided by the reporting device.
