"parser_name","parser_title","parser_version","parser_last_updated","parser_category","description","tables","source_file","github_url","solution_name","solution_folder","location","file_type","discovered"
"AADUserInfo","AADUserInfo","","","","","AADUserInfo_CL","Parsers/AADUserInfo/AADUserInfo.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/AADUserInfo/AADUserInfo.txt","","","legacy","txt","false"
"McAfee Common Security Log Parser","McAfee Common Security Log Parser","1.0.0","2023-10-13","Microsoft Sentinel Parser","","CommonSecurityLog","Parsers/AS-McAfeeSolidcore/AS-McAfeeSolidcore.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/AS-McAfeeSolidcore/AS-McAfeeSolidcore.yaml","","","legacy","yaml","false"
"StealthDefend","StealthBits StealthDefend Parser","1.0.0","2023-10-31","Microsoft Sentinel Parser","","CommonSecurityLog","Parsers/AS-StealthDefend/AS-StealthDefend.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/AS-StealthDefend/AS-StealthDefend.yaml","","","legacy","yaml","false"
"AzureFirewallApplicationRule","AzureFirewallApplicationRule","","","","","AzureDiagnostics","Parsers/AzureFirewall/AzureFirewallApplicationRule.kql","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/AzureFirewall/AzureFirewallApplicationRule.kql","","","legacy","kql","false"
"AzureFirewallDnsProxy","AzureFirewallDnsProxy","","","","","","Parsers/AzureFirewall/AzureFirewallDnsProxy.kql","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/AzureFirewall/AzureFirewallDnsProxy.kql","","","legacy","kql","false"
"AzureFirewallNetworkRule","AzureFirewallNetworkRule","","","","","AzureDiagnostics","Parsers/AzureFirewall/AzureFirewallNetworkRule.kql","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/AzureFirewall/AzureFirewallNetworkRule.kql","","","legacy","kql","false"
"CassandraAuditLog","CassandraAuditLog","","","","","CassandraAuditLog_CL","Parsers/CassandraDB/CassandraAuditLog.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/CassandraDB/CassandraAuditLog.txt","","","legacy","txt","false"
"MerakiConfigurationChanges","MerakiConfigurationChanges","","","","","MerakiConfigurationChanges_CL","Parsers/CiscoMeraki/MerakiConfigurationChanges.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/CiscoMeraki/MerakiConfigurationChanges.txt","","","legacy","txt","false"
"MerakiSecurityEvents","MerakiSecurityEvents","","","","","MerakiSecurityEvents_CL","Parsers/CiscoMeraki/MerakiSecurityEvents.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/CiscoMeraki/MerakiSecurityEvents.txt","","","legacy","txt","false"
"DSTIMCorrelatedLogs","DSTIMCorrelatedLogs","","","","","DSTIMAccess_CL, DSTIMClassification_CL, DSTIMSensitivity_CL","Parsers/DSTIM/DSTIMCorrelatedLogs.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/DSTIM/DSTIMCorrelatedLogs.txt","","","legacy","txt","false"
"GetClassificationList","GetClassificationList","","","","","","Parsers/DSTIM/GetClassificationList.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/DSTIM/GetClassificationList.txt","","","legacy","txt","false"
"DuoSecurityAdministrator","DuoSecurityAdministrator","","","","","DuoSecurityAdministrator_CL","Parsers/Duo Security/DuoSecurityAdministrator.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/Duo%20Security/DuoSecurityAdministrator.txt","","","legacy","txt","false"
"DuoSecurityAuthentication","DuoSecurityAuthentication","","","","","DuoSecurityAuthentication_CL","Parsers/Duo Security/DuoSecurityAuthentication.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/Duo%20Security/DuoSecurityAuthentication.txt","","","legacy","txt","false"
"DuoSecurityOfflineEnrollment","DuoSecurityOfflineEnrollment","","","","","DuoSecurityOfflineEnrollment_CL","Parsers/Duo Security/DuoSecurityOfflineEnrollment.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/Duo%20Security/DuoSecurityOfflineEnrollment.txt","","","legacy","txt","false"
"DuoSecurityTelephony","DuoSecurityTelephony","","","","","DuoSecurityTelephony_CL","Parsers/Duo Security/DuoSecurityTelephony.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/Duo%20Security/DuoSecurityTelephony.txt","","","legacy","txt","false"
"DuoSecurityTrustMonitor","DuoSecurityTrustMonitor","","","","","DuoSecurityTrustMonitor_CL","Parsers/Duo Security/DuoSecurityTrustMonitor.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/Duo%20Security/DuoSecurityTrustMonitor.txt","","","legacy","txt","false"
"GitHubAudit","GitHubAudit","","","","","GitHub_CL","Parsers/GitHub/GitHubAuditLog.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/GitHub/GitHubAuditLog.txt","","","legacy","txt","false"
"GitHubRepo","GitHubRepo","","","","","GitHubRepoLogs_CL","Parsers/GitHub/GitHubRepoLog.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/GitHub/GitHubRepoLog.txt","","","legacy","txt","false"
"InfobloxNIOS","InfobloxNIOS","","","","","Syslog","Parsers/InfobloxNIOS/InfobloxNIOS.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/InfobloxNIOS/InfobloxNIOS.txt","","","legacy","txt","false"
"MCASActivity","MCASActivity","","","","","MCASActivity_CL","Parsers/MCAS/MCASActivity.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/MCAS/MCASActivity.txt","","","legacy","txt","false"
