"solution_name","dependency_solution_name","dependency_solution_id","dependency_type","asim_schema"
"AI Analyst Darktrace","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Akamai Security Events","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Apache Log4j Vulnerability Detection","Azure Web Application Firewall (WAF)","azuresentinel.azure-sentinel-solution-azurewebapplicationfirewal","explicit",""
"Apache Log4j Vulnerability Detection","Microsoft 365","azuresentinel.azure-sentinel-solution-office365","explicit",""
"Apache Log4j Vulnerability Detection","Windows Server DNS","azuresentinel.azure-sentinel-solution-dns","explicit",""
"Apache Log4j Vulnerability Detection","CiscoASA","azuresentinel.azure-sentinel-solution-ciscoasa","explicit",""
"Apache Log4j Vulnerability Detection","PaloAlto-PAN-OS","azuresentinel.azure-sentinel-solution-paloaltopanos","explicit",""
"Apache Log4j Vulnerability Detection","Microsoft Entra ID","azuresentinel.azure-sentinel-solution-azureactivedirectory","explicit",""
"Apache Log4j Vulnerability Detection","Azure Activity","azuresentinel.azure-sentinel-solution-azureactivity","explicit",""
"Apache Log4j Vulnerability Detection","Amazon Web Services","azuresentinel.azure-sentinel-solution-amazonwebservices","explicit",""
"Apache Log4j Vulnerability Detection","Azure Firewall","sentinel4azurefirewall.sentinel4azurefirewall","explicit",""
"Apache Log4j Vulnerability Detection","SquidProxy","azuresentinel.azure-sentinel-solution-squidproxy","explicit",""
"Apache Log4j Vulnerability Detection","Zscaler Private Access (ZPA)","azuresentinel.azure-sentinel-solution-zscalerprivateaccess","explicit",""
"Apache Log4j Vulnerability Detection","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Apache Log4j Vulnerability Detection","Check Point","checkpoint.checkpoint-sentinel-solutions","explicit",""
"Apache Log4j Vulnerability Detection","Microsoft Defender XDR","azuresentinel.azure-sentinel-solution-microsoft365defender","explicit",""
"ApacheHTTPServer","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"AristaAwakeSecurity","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Aruba ClearPass","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Attacker Tools Threat Protection Essentials","Windows Security Events","azuresentinel.azure-sentinel-solution-securityevents","explicit",""
"Attacker Tools Threat Protection Essentials","Windows Server DNS","azuresentinel.azure-sentinel-solution-dns","explicit",""
"Attacker Tools Threat Protection Essentials","Windows Forwarded Events","azuresentinel.azure-sentinel-solution-windowsforwardedevents","explicit",""
"Attacker Tools Threat Protection Essentials","Microsoft Entra ID","azuresentinel.azure-sentinel-solution-azureactivedirectory","explicit",""
"Barracuda CloudGen Firewall","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Barracuda WAF","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Blackberry CylancePROTECT","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Broadcom SymantecDLP","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Business Email Compromise - Financial Fraud","Microsoft Entra ID","azuresentinel.azure-sentinel-solution-azureactivedirectory","explicit",""
"Business Email Compromise - Financial Fraud","Microsoft 365","azuresentinel.azure-sentinel-solution-office365","explicit",""
"Business Email Compromise - Financial Fraud","Amazon Web Services","azuresentinel.azure-sentinel-solution-amazonwebservices","explicit",""
"Business Email Compromise - Financial Fraud","Microsoft Defender XDR","azuresentinel.azure-sentinel-solution-microsoft365defender","explicit",""
"Business Email Compromise - Financial Fraud","Okta Single Sign-On","azuresentinel.azure-sentinel-solution-okta","explicit",""
"Cisco ACI","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Cisco Firepower EStreamer","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Cisco ISE","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Cisco Secure Cloud Analytics","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Cisco UCS","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"CiscoMeraki","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"CiscoSEG","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"CiscoWSA","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Citrix ADC","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Citrix Web App Firewall","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Claroty","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Cloud Identity Threat Protection Essentials","Microsoft Entra ID","azuresentinel.azure-sentinel-solution-azureactivedirectory","explicit",""
"Cloud Identity Threat Protection Essentials","Amazon Web Services","azuresentinel.azure-sentinel-solution-amazonwebservices","explicit",""
"Cloud Identity Threat Protection Essentials","Microsoft Entra ID Protection","azuresentinel.azure-sentinel-solution-azureactivedirectoryip","explicit",""
"Cloud Service Threat Protection Essentials","Microsoft 365","azuresentinel.azure-sentinel-solution-office365","explicit",""
"Cloud Service Threat Protection Essentials","Azure Activity","azuresentinel.azure-sentinel-solution-azureactivity","explicit",""
"Cloud Service Threat Protection Essentials","Azure Key Vault","azuresentinel.azure-sentinel-solution-azurekeyvault","explicit",""
"Contrast Protect","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"CrowdStrike Falcon Endpoint Protection","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"CyberArk Privilege Access Manager (PAM) Events","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"DPDP Compliance","Microsoft Defender XDR","azuresentinel.azure-sentinel-solution-microsoft365defender","explicit",""
"DPDP Compliance","Microsoft Purview","azuresentinel.azure-sentinel-solution-azurepurview","explicit",""
"DPDP Compliance","Microsoft Purview Information Protection","azuresentinel.azure-sentinel-solution-mip","explicit",""
"DPDP Compliance","","azuresentinel.sentinel4sql","explicit",""
"DPDP Compliance","Microsoft 365","azuresentinel.azure-sentinel-solution-office365","explicit",""
"DPDP Compliance","Microsoft Entra ID","azuresentinel.azure-sentinel-solution-azureactivedirectory","explicit",""
"Delinea Secret Server","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Digital Guardian Data Loss Prevention","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Dragos","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"ESETPROTECT","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Endace","","endace-usa-limited.azure-sentinel-solution-commoneventformat","explicit",""
"Endpoint Threat Protection Essentials","Windows Security Events","azuresentinel.azure-sentinel-solution-securityevents","explicit",""
"Endpoint Threat Protection Essentials","Microsoft Defender XDR","azuresentinel.azure-sentinel-solution-microsoft365defender","explicit",""
"Endpoint Threat Protection Essentials","Windows Forwarded Events","azuresentinel.azure-sentinel-solution-windowsforwardedevents","explicit",""
"Exabeam Advanced Analytics","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"ExtraHop Reveal(x)","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"F5 Networks","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"FireEye Network Security","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Forcepoint CASB","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Forcepoint CSG","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Forcepoint NGFW","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"ForgeRock Common Audit for CEF","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Fortinet FortiGate Next-Generation Firewall connector for Microsoft Sentinel","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"GDPR Compliance & Data Security","Microsoft Defender XDR","azuresentinel.azure-sentinel-solution-microsoft365defender","explicit",""
"GDPR Compliance & Data Security","Microsoft Purview","azuresentinel.azure-sentinel-solution-azurepurview","explicit",""
