"table_name","description","category","support_tier","collection_method","solutions","resource_types","table_type","source_azure_monitor","source_defender_xdr","xdr_only","source_feature_support","source_ingestion_api","source_sentinel_tables","azure_monitor_doc_link","defender_xdr_doc_link","basic_logs_eligible","supports_transformations","ingestion_api_supported","lake_only_supported"
"AACAudit","Reference for AACAudit table in Azure Monitor Logs.","Audit","","","LogManagement","microsoft.appconfiguration/configurationstores","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aacaudit","","No","Yes","No","No"
"AACHttpRequest","Reference for AACHttpRequest table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.appconfiguration/configurationstores","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aachttprequest","","No","Yes","No","No"
"AADAgentRiskEvents","Reference for AADAgentRiskEvents table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadagentriskevents","","Yes","No","No","Yes"
"AADB2CRequestLogs","Reference for AADB2CRequestLogs table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.aadiam/tenants","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadb2crequestlogs","","No","Yes","No","No"
"AADCustomSecurityAttributeAuditLogs","Reference for AADCustomSecurityAttributeAuditLogs table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadcustomsecurityattributeauditlogs","","No","Yes","No","Yes"
"AADDomainServicesAccountLogon","Reference for AADDomainServicesAccountLogon table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.aad/domainservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesaccountlogon","","No","Yes","No","No"
"AADDomainServicesAccountManagement","Reference for AADDomainServicesAccountManagement table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.aad/domainservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesaccountmanagement","","No","Yes","No","No"
"AADDomainServicesDNSAuditsDynamicUpdates","Reference for AADDomainServicesDNSAuditsDynamicUpdates table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.aad/domainservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesdnsauditsdynamicupdates","","Yes","Yes","No","Yes"
"AADDomainServicesDNSAuditsGeneral","Reference for AADDomainServicesDNSAuditsGeneral table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.aad/domainservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesdnsauditsgeneral","","Yes","Yes","No","Yes"
"AADDomainServicesDirectoryServiceAccess","Reference for AADDomainServicesDirectoryServiceAccess table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.aad/domainservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesdirectoryserviceaccess","","No","Yes","No","No"
