Solution,ConnectorId,Table,collection_method,ingestion_api,reason
1Password,1PasswordCCPDefinition,OnePasswordEventLogs_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
Armis,ArmisAlertsActivities,Armis_Activities_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
Armis,ArmisAlertsActivities,Armis_Alerts_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
Armis,ArmisDevices,Armis_Devices_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
BeyondTrustPMCloud,BeyondTrustPMCloud,BeyondTrustPM_ActivityAudits_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
BeyondTrustPMCloud,BeyondTrustPMCloud,BeyondTrustPM_ClientEvents_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
BloodHound Enterprise,BloodHoundEnterprise,BHEAttackPathsData_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
CyberArkAudit,CyberArkAuditCCPDefinition,CyberArk_AuditEvents_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
Dataminr Pulse,DataminrPulseAlerts,DataminrPulse_Alerts_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
GitHub,GitHubWebhookV2,GitHubAdvancedSecurityAlerts_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
GitHub,GitHubWebhookV2,githubscanaudit_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
IllumioSaaS,IllumioSaasCCFDefinition,IllumioFlowEventsV2_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
AtlassianJiraAudit,JiraAuditCCPDefinition,Jira_Audit_v2_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
Oracle Cloud Infrastructure,OCI-Connector-CCP-Definition,OCI_LogsV2_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
Oracle Cloud Infrastructure,OracleCloudInfraConnector,OCI_LogsV2_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
Salesforce Service Cloud,SalesforceServiceCloudCCPDefinition,SalesforceServiceCloudV2_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
Salesforce Service Cloud,SalesforceServiceCloudCCPDefinition,SalesforceServiceCloudV3_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
Sophos Endpoint Protection,SophosEndpointProtectionCCPDefinition,SophosEPAlerts_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
Sophos Endpoint Protection,SophosEndpointProtectionCCPDefinition,SophosEPEvents_CL,Azure Function,Log Ingestion API,Declared in ARM template DCR / Log Ingestion API resources
