"solution_name","solution_folder","solution_github_url","connector_id","connector_title","connector_publisher","relevant_file","reason","details"
"1Password","1Password","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password/Data Connectors/1Password_ccpv2/azuredeploy_1Password_poller_connector.json","solution_package_template_skipped","Skipped 'azuredeploy_1Password_poller_connector.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Agent 365","Agent 365","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Agent%20365","A365","Agent 365","Microsoft","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Agent%20365/Data Connectors/A365_DataConnectorDefinition.json","no_table_definitions","Connector definition did not expose any table tokens."
"Agent 365","Agent 365","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Agent%20365","EntraNHIAssets","Microsoft Agent Identities","Microsoft","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Agent%20365/Data Connectors/EntraNHIAssets_DataConnectorDefinition.json","no_table_definitions","Connector definition did not expose any table tokens."
"Amazon Web Services","Amazon Web Services","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services/Data Connectors/AWS_WAF_CCP/AWS%20S3%20WAF%20connector%20template.json","solution_package_template_skipped","Skipped 'AWS S3 WAF connector template.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Apache Log4j Vulnerability Detection","Apache Log4j Vulnerability Detection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Apache%20Log4j%20Vulnerability%20Detection","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Apache%20Log4j%20Vulnerability%20Detection/Workbooks/Log4jPostCompromiseHunting.json","content_unknown_table","workbook 'Log4jPostCompromiseHunting' references unknown tables: imNetworkSession"
"archTIS","archTIS","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/archTIS","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit/Data Connectors/JiraAuditAPISentinelConnector_ccpv2/azuredeploy_JiraAudit_poller_connector.json","solution_package_template_skipped","Skipped 'azuredeploy_JiraAudit_poller_connector.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Azure Resource Graph","Azure Resource Graph","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Resource%20Graph","AzureResourceGraph","Azure Resource Graph","Microsoft","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Resource%20Graph/Data Connectors/AzureResourceGraph_DataConnectorDefinition.json","no_table_definitions","Connector definition did not expose any table tokens."
"Business Email Compromise - Financial Fraud","Business Email Compromise - Financial Fraud","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Business%20Email%20Compromise%20-%20Financial%20Fraud","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Business%20Email%20Compromise%20-%20Financial%20Fraud/Analytic%20Rules/SuspiciousAccessOfBECRelatedDocuments.yaml","content_unknown_table","analytic_rule 'Suspicious access of BEC related documents' references unknown tables: imFileEvent"
"CiscoMeraki","CiscoMeraki","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CiscoMeraki","CiscoMeraki(usingRESTAPI)","Cisco Meraki (using REST API)","Microsoft","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CiscoMeraki/Data Connectors/CiscoMerakiNativePollerConnector/azuredeploy_Cisco_Meraki_native_poller_connector.json","azuredeploy_duplicate_skipped","Skipped azuredeploy wrapper connector 'CiscoMeraki(usingRESTAPI)' (synthetic ID from title); same title already registered with literal ID 'CiscoMerakiNativePoller'."
"CustomLogsAma","CustomLogsAma","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CustomLogsAma","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CustomLogsAma/Data Connectors/CustomLogsViaAmaTemplate.json","solution_package_template_skipped","Skipped 'CustomLogsViaAmaTemplate.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
