solution_name,solution_folder,publisher,support_tier,categories,version,is_published,connector_count,connector_id,connector_title,collection_method,is_deprecated,tables,reason,solution_github_link,connector_github_link
1Password,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password,1Password,Partner,domains,3.0.2,true,3,1Password,1Password,Azure Function,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password/Data%20Connectors/deployment/1Password_data_connector.json
1Password,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password,1Password,Partner,domains,3.0.2,true,3,1Password(Serverless),1Password (Serverless),CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password/Data%20Connectors/1Password_ccpv2/azuredeploy_1Password_poller_connector.json
1Password,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password,1Password,Partner,domains,3.0.2,true,3,1PasswordCCPDefinition,1Password (Serverless),CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password/Data%20Connectors/1Password_ccpv2/1Password_DataConnectorDefinition.json
42Crunch API Protection,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/42Crunch%20API%20Protection,42Crunch API Protection,Partner,domains,2.0.3,false,1,42CrunchAPIProtection,API Protection,REST API,false,,Solution not published on Azure Marketplace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/42Crunch%20API%20Protection,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/42Crunch%20API%20Protection/Data%20Connectors/42CrunchAPIProtection.json
AbnormalSecurity,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AbnormalSecurity,Abnormal Security,Partner,domains,3.0.1,true,1,AbnormalSecurity,AbnormalSecurity ,Azure Function,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AbnormalSecurity,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AbnormalSecurity/Data%20Connectors/AbnormalSecurity_API_FunctionApp.json
Agari,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Agari,Agari,Partner,domains,2.0.0,false,1,Agari,Agari Phishing Defense and Brand Protection,Azure Function,false,,Solution not published on Azure Marketplace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Agari,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Agari/Data%20Connectors/Agari_API_FunctionApp.json
AgileSec Analytics Connector,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AgileSec%20Analytics%20Connector,InfoSecGlobal,Partner,domains,2.0.0,true,1,InfoSecDataConnector,InfoSecGlobal Data Connector,Unknown (Custom Log),false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AgileSec%20Analytics%20Connector,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AgileSec%20Analytics%20Connector/Data%20Connectors/Connector_Analytics_InfoSec.json
AI Analyst Darktrace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AI%20Analyst%20Darktrace,Darktrace,Partner,domains,3.0.1,false,2,Darktrace,[Deprecated] AI Analyst Darktrace via Legacy Agent,MMA,false,,Solution not published on Azure Marketplace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AI%20Analyst%20Darktrace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AI%20Analyst%20Darktrace/Data%20Connectors/AIA-Darktrace.json
AI Analyst Darktrace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AI%20Analyst%20Darktrace,Darktrace,Partner,domains,3.0.1,false,2,DarktraceAma,[Deprecated] AI Analyst Darktrace via AMA,AMA,false,,Solution not published on Azure Marketplace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AI%20Analyst%20Darktrace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AI%20Analyst%20Darktrace/Data%20Connectors/template_AIA-DarktraceAMA.json
AIShield AI Security Monitoring,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AIShield%20AI%20Security%20Monitoring,AIShield,Partner,domains,3.0.1,true,1,BoschAIShield,AIShield,Unknown (Custom Log),false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AIShield%20AI%20Security%20Monitoring,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AIShield%20AI%20Security%20Monitoring/Data%20Connectors/AIShieldConnector.json
