"table_name","column_name","column_type","description"
"AACAudit","_BilledSize","real","The record size in bytes"
"AACAudit","CallerIdentity","dynamic","Caller identity of this event."
"AACAudit","CallerIPAddress","string","IP Address of the caller that triggered this audit event."
"AACAudit","Category","string","The log category of the event."
"AACAudit","CorrelationId","string","GUID for correlated logs."
"AACAudit","ETag","string","An identifier for a specific version of the resource."
"AACAudit","EventCategory","string","Audit category of this event.ResourceManagementstands for management plane operations,ApplicationManagementstands for data plane operations."
"AACAudit","_IsBillable","string","Specifies whether ingesting the data is billable. When _IsBillable isfalseingestion isn't billed to your Azure account"
"AACAudit","OperationName","string","Name of the audited operation."
"AACAudit","RequestId","string","Unique request ID generated by server."
"AACAudit","_ResourceId","string","A unique identifier for the resource that the record is associated with"
"AACAudit","ResultType","string","The result of the operation being audited."
"AACAudit","SourceSystem","string","The type of agent the event was collected by. For example,OpsManagerfor Windows agent, either direct connect or Operations Manager,Linuxfor all Linux agents, orAzurefor Azure Diagnostics"
"AACAudit","Status","string","Status of this audit event."
"AACAudit","_SubscriptionId","string","A unique identifier for the subscription that the record is associated with"
"AACAudit","TargetResource","dynamic","Target resource that apply to the operation being audited."
"AACAudit","TenantId","string","The Log Analytics workspace ID"
"AACAudit","TimeGenerated","datetime","Timestamp (UTC) when log was generated."
"AACAudit","Type","string","The name of the table"
"AACHttpRequest","AccessKeyId","string","Access Key ID provided by client when authenticated via HMAC."
"AACHttpRequest","_BilledSize","real","The record size in bytes"
"AACHttpRequest","BytesReceived","int","The total number of bytes received by the server across all requests included in this aggregated entry."
"AACHttpRequest","BytesSent","int","The total number of bytes sent by the server across all requests included in this aggregated entry."
"AACHttpRequest","Category","string","The log category of the event."
"AACHttpRequest","ClientIPAddress","string","IP Address of the client that sent the requests."
"AACHttpRequest","ClientObjectId","string","Object ID provided by client when authenticated via AAD."
"AACHttpRequest","ClientRequestId","string","Request ID provided by client."
"AACHttpRequest","ClientTenantId","string","Tenant ID provided by client when authenticated via AAD."
"AACHttpRequest","CorrelationId","string","GUID for correlated logs."
"AACHttpRequest","DurationMs","int","The average duration of the operation, in milliseconds, of all the requests included in this aggregated entry."
"AACHttpRequest","HitCount","int","Count of requests that are included in this aggregated HTTP request log entry."
"AACHttpRequest","_IsBillable","string","Specifies whether ingesting the data is billable. When _IsBillable isfalseingestion isn't billed to your Azure account"
"AACHttpRequest","Method","string","HTTP Method."
"AACHttpRequest","RequestId","string","Unique request ID generated by server."
"AACHttpRequest","RequestURI","string","URI of the requests."
"AACHttpRequest","_ResourceId","string","A unique identifier for the resource that the record is associated with"
"AACHttpRequest","SourceSystem","string","The type of agent the event was collected by. For example,OpsManagerfor Windows agent, either direct connect or Operations Manager,Linuxfor all Linux agents, orAzurefor Azure Diagnostics"
"AACHttpRequest","StatusCode","int","HTTP Status Code of the requests."
"AACHttpRequest","_SubscriptionId","string","A unique identifier for the subscription that the record is associated with"
"AACHttpRequest","TenantId","string","The Log Analytics workspace ID"
"AACHttpRequest","TimeGenerated","datetime","Timestamp (UTC) marking the start of the aggregation period."
"AACHttpRequest","Type","string","The name of the table"
"AACHttpRequest","UserAgent","string","User Agent provided by the client."
"AADB2CRequestLogs","AADTenantId","string","The AAD tenant ID of associated request."
"AADB2CRequestLogs","_BilledSize","real","The record size in bytes"
"AADB2CRequestLogs","CallerIpAddress","string","Hashed format of caller IP address. Can be used to identify if a single IP address is using a large portion of traffic."
"AADB2CRequestLogs","CorrelationId","string","The ID for correlated log analytics events. Can be used to identify correlated events between multiple tables."
"AADB2CRequestLogs","_IsBillable","string","Specifies whether ingesting the data is billable. When _IsBillable isfalseingestion isn't billed to your Azure account"
"AADB2CRequestLogs","OperationName","string","Name of the operation."
"AADB2CRequestLogs","_ResourceId","string","A unique identifier for the resource that the record is associated with"
"AADB2CRequestLogs","ResultSignature","string","The HTTP status code of the corresponding REST call."
"AADB2CRequestLogs","ResultType","string","Indicates whether the request is throttled or not."
"AADB2CRequestLogs","SourceSystem","string","The type of agent the event was collected by. For example,OpsManagerfor Windows agent, either direct connect or Operations Manager,Linuxfor all Linux agents, orAzurefor Azure Diagnostics"
"AADB2CRequestLogs","_SubscriptionId","string","A unique identifier for the subscription that the record is associated with"
"AADB2CRequestLogs","TenantId","string","The Log Analytics workspace ID"
"AADB2CRequestLogs","TimeGenerated","datetime","The date and time of the request received at the AAD gateway in UTC."
"AADB2CRequestLogs","Type","string","The name of the table"
"AADCustomSecurityAttributeAuditLogs","AADOperationType","string","Type of the operation. Possible values are Add Update Delete and Other."
"AADCustomSecurityAttributeAuditLogs","AADTenantId","string","ID of the AAD tenant."
"AADCustomSecurityAttributeAuditLogs","ActivityDateTime","datetime","Date and time the activity was performed in UTC."
"AADCustomSecurityAttributeAuditLogs","ActivityDisplayName","string","Activity name or the operation name."
"AADCustomSecurityAttributeAuditLogs","AdditionalDetails","dynamic","Indicates additional details on the activity. Can have any string as a key or value."
"AADCustomSecurityAttributeAuditLogs","_BilledSize","real","The record size in bytes"
"AADCustomSecurityAttributeAuditLogs","CallerIpAddress","string","IP address of caller."
"AADCustomSecurityAttributeAuditLogs","CorrelationId","string","ID to provide audit trail."
"AADCustomSecurityAttributeAuditLogs","DurationMs","long","The duration of the operation in milliseconds."
"AADCustomSecurityAttributeAuditLogs","Id","string","Unique ID representing the audit activity."
"AADCustomSecurityAttributeAuditLogs","Identity","string","The identity from the token that was presented when you made the request. It can be a user account, system account, or service principal."
"AADCustomSecurityAttributeAuditLogs","InitiatedBy","dynamic","User or app initiated the activity."
"AADCustomSecurityAttributeAuditLogs","_IsBillable","string","Specifies whether ingesting the data is billable. When _IsBillable isfalseingestion isn't billed to your Azure account"
"AADCustomSecurityAttributeAuditLogs","Level","string","The severity level of the event."
"AADCustomSecurityAttributeAuditLogs","Location","string","The region of the resource emitting the event."
"AADCustomSecurityAttributeAuditLogs","LoggedByService","string","Service that initiated the activity."
"AADCustomSecurityAttributeAuditLogs","OperationName","string","Name of the operation."
"AADCustomSecurityAttributeAuditLogs","OperationVersion","string","The REST API version that's requested by the client."
"AADCustomSecurityAttributeAuditLogs","Result","string","Result of the activity. Possible values are: success failure timeout unknownFutureValue."
"AADCustomSecurityAttributeAuditLogs","ResultDescription","string","Provides the error description for the audit operation."
"AADCustomSecurityAttributeAuditLogs","ResultReason","string","Describes cause of failure or timeout results."
"AADCustomSecurityAttributeAuditLogs","ResultSignature","string","Contains the error code, if any, for the audit operation."
"AADCustomSecurityAttributeAuditLogs","ResultType","string","The result of the audit operation can be Success or Failure."
"AADCustomSecurityAttributeAuditLogs","SourceSystem","string","The type of agent the event was collected by. For example,OpsManagerfor Windows agent, either direct connect or Operations Manager,Linuxfor all Linux agents, orAzurefor Azure Diagnostics"
"AADCustomSecurityAttributeAuditLogs","TargetResources","dynamic","Indicates information on which resource was changed due to the activity."
"AADCustomSecurityAttributeAuditLogs","TenantId","string","The Log Analytics workspace ID"
"AADCustomSecurityAttributeAuditLogs","TimeGenerated","datetime","The date and time of the event in UTC."
"AADCustomSecurityAttributeAuditLogs","Type","string","The name of the table"
"AADCustomSecurityAttributeAuditLogs","UserAgent","string","User agent of initiator."
"AADDomainServicesAccountLogon","_BilledSize","real","The record size in bytes"
"AADDomainServicesAccountLogon","Category","string",""
"AADDomainServicesAccountLogon","CertIssuerName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
