"parser_name","parser_type","tables","filter_fields","sub_parsers","reason"
"ASimAlertEvent","union","ASimAlertEventMicrosoftDefenderXDR;ASimAlertEventSentinelOneSingularity","","_Im_AlertEvent_Empty;_ASim_AlertEvent_MicrosoftDefenderXDR;_ASim_AlertEvent_SentinelOneSingularity","Union parser (uses sub-parsers, not direct tables)"
"ASimAlertEventMicrosoftDefenderXDR","source","AlertEvidence","","","Filter mismatch - parser uses: no filters"
"imAlertEvent","union","","","_Im_AlertEvent_Empty;_Im_AlertEvent_MicrosoftDefenderXDR;_Im_AlertEvent_SentinelOneSingularity","Union parser (uses sub-parsers, not direct tables)"
"ASimAuditEvent","union","ASimAuditEventAzureActivity;ASimAuditEventBarracudaCEF;ASimAuditEventBarracudaWAF;ASimAuditEventCiscoISE;ASimAuditEventCiscoMeraki;ASimAuditEventCiscoMerakiSyslog;ASimAuditEventCrowdStrikeFalconHost;ASimAuditEventIllumioSaaSCore;ASimAuditEventInfobloxBloxOne;ASimAuditEventMicrosoftEvent;ASimAuditEventMicrosoftExchangeAdmin365;ASimAuditEventMicrosoftSecurityEvents;ASimAuditEventMicrosoftWindowsEvents;ASimAuditEventNative;ASimAuditEventSentinelOne;ASimAuditEventVMwareCarbonBlackCloud;ASimAuditEventVectraXDRAudit","","_Im_AuditEvent_Empty;_ASim_AuditEvent_MicrosoftExchangeAdmin365;_ASim_AuditEvent_AzureActivity;_ASim_AuditEvent_MicrosoftWindowsEvents;_ASim_AuditEvent_MicrosoftSecurityEvents;_ASim_AuditEvent_MicrosoftEvent;_ASim_AuditEvent_CiscoISE;_ASim_AuditEvent_CiscoMeraki;_ASim_AuditEvent_CiscoMerakiSyslog;_ASim_AuditEvent_BarracudaWAF;_ASim_AuditEvent_BarracudaCEF;_ASim_AuditEvent_CrowdStrikeFalconHost;_ASim_AuditEvent_VectraXDRAudit;_ASim_AuditEvent_SentinelOne;_ASim_AuditEvent_VMwareCarbonBlackCloud;_ASim_AuditEvent_InfobloxBloxOne;_ASim_AuditEvent_IllumioSaaSCore;_ASim_AuditEvent_Native","Union parser (uses sub-parsers, not direct tables)"
"ASimAuditEventBarracudaWAF","source","barracuda_CL","","","Filter mismatch - parser uses: no filters"
"ASimAuditEventMicrosoftExchangeAdmin365","source","OfficeActivity","OfficeActivity.RecordType == ""ExchangeAdmin""","","Filter mismatch - parser uses: OfficeActivity.RecordType == ""ExchangeAdmin"""
"imAuditEvent","union","","","_Im_AuditEvent_Empty;_Im_AuditEvent_MicrosoftExchangeAdmin365;_Im_AuditEvent_AzureActivity;_Im_AuditEvent_MicrosoftWindowsEvents;_Im_AuditEvent_MicrosoftSecurityEvents;_Im_AuditEvent_MicrosoftEvent;_Im_AuditEvent_CiscoISE;_Im_AuditEvent_CiscoMeraki;_Im_AuditEvent_CiscoMerakiSyslog;_Im_AuditEvent_BarracudaWAF;_Im_AuditEvent_BarracudaCEF;_Im_AuditEvent_CrowdStrikeFalconHost;_Im_AuditEvent_VectraXDRAudit;_Im_AuditEvent_SentinelOne;_Im_AuditEvent_VMwareCarbonBlackCloud;_Im_AuditEvent_InfobloxBloxOne;_Im_AuditEvent_IllumioSaaSCore;_Im_AuditEvent_Native","Union parser (uses sub-parsers, not direct tables)"
"ASimAuthentication","union","ASimAuthenticationAADManagedIdentitySignInLogs;ASimAuthenticationAADNonInteractiveUserSignInLogs;ASimAuthenticationAADServicePrincipalSignInLogs;ASimAuthenticationAWSCloudTrail;ASimAuthenticationBarracudaWAF;ASimAuthenticationCiscoASA;ASimAuthenticationCiscoISE;ASimAuthenticationCiscoMeraki;ASimAuthenticationCiscoMerakiSyslog;ASimAuthenticationCrowdStrikeFalconHost;ASimAuthenticationGoogleWorkspace;ASimAuthenticationIllumioSaaSCore;ASimAuthenticationM365Defender;ASimAuthenticationMD4IoT;ASimAuthenticationMicrosoftWindowsEvent;ASimAuthenticationNative;ASimAuthenticationOktaSSO;ASimAuthenticationOktaV2;ASimAuthenticationPaloAltoCortexDataLake;ASimAuthenticationPostgreSQL;ASimAuthenticationSalesforceSC;ASimAuthenticationSentinelOne;ASimAuthenticationSigninLogs;ASimAuthenticationSshd;ASimAuthenticationSu;ASimAuthenticationSudo;ASimAuthenticationVMwareCarbonBlackCloud;ASimAuthenticationVectraXDRAudit","","_Im_Authentication_Empty;_ASim_Authentication_AADManagedIdentitySignInLogs;_ASim_Authentication_AADNonInteractiveUserSignInLogs;_ASim_Authentication_AADServicePrincipalSignInLogs;_ASim_Authentication_AWSCloudTrail;_ASim_Authentication_BarracudaWAF;_ASim_Authentication_CiscoASA;_ASim_Authentication_CiscoISE;_ASim_Authentication_CiscoMeraki;_ASim_Authentication_CiscoMerakiSyslog;_ASim_Authentication_M365Defender;_ASim_Authentication_MD4IoT;_ASim_Authentication_MicrosoftWindowsEvent;_ASim_Authentication_MicrosoftSecurityEvents;_ASim_Authentication_OktaSSO;_ASim_Authentication_OktaV2;_ASim_Authentication_PostgreSQL;_ASim_Authentication_SigninLogs;_ASim_Authentication_Sshd;_ASim_Authentication_Su;_ASim_Authentication_Sudo;_ASim_Authentication_VectraXDRAudit;_ASim_Authentication_SentinelOne;_ASim_Authentication_PaloAltoCortexDataLake;_ASim_Authentication_VMwareCarbonBlackCloud;_ASim_Authentication_CrowdStrikeFalconHost;_ASim_Authentication_GoogleWorkspace;_ASim_Authentication_SalesforceSC;_ASim_Authentication_IllumioSaaSCore;_ASim_Authentication_Native","Union parser (uses sub-parsers, not direct tables)"
"ASimAuthenticationGoogleWorkspace","source","GWorkspace_ReportsAPI_login_CL","","","Filter mismatch - parser uses: no filters"
"ASimAuthenticationM365Defender","source","DeviceLogonEvents","","","Filter mismatch - parser uses: no filters"
"ASimAuthenticationMD4IoT","source","SecurityIoTRawEvent","","","No connectors provide tables: SecurityIoTRawEvent"
"ASimAuthenticationSalesforceSC","source","SalesforceServiceCloud_CL","","","Filter mismatch - parser uses: no filters"
"imAuthentication","union","","","_Im_Authentication_Empty;_Im_Authentication_AADManagedIdentitySignInLogs;_Im_Authentication_AADNonInteractiveUserSignInLogs;_Im_Authentication_AADServicePrincipalSignInLogs;_Im_Authentication_SigninLogs;_Im_Authentication_AWSCloudTrail;_Im_Authentication_OktaSSO;_Im_Authentication_OktaV2;_Im_Authentication_M365Defender;_Im_Authentication_MicrosoftWindowsEvent;_Im_Authentication_MD4IoT;_Im_Authentication_PostgreSQL;_Im_Authentication_Sshd;_Im_Authentication_Su;_Im_Authentication_Sudo;_Im_Authentication_CiscoASA;_Im_Authentication_CiscoMeraki;_Im_Authentication_CiscoMerakiSyslog;_Im_Authentication_CiscoISE;_Im_Authentication_BarracudaWAF;_Im_Authentication_VectraXDRAudit;_Im_Authentication_SentinelOne;_Im_Authentication_GoogleWorkspace;_Im_Authentication_SalesforceSC;_Im_Authentication_PaloAltoCortexDataLake;_Im_Authentication_VMwareCarbonBlackCloud;_Im_Authentication_CrowdStrikeFalconHost;_Im_Authentication_IllumioSaaSCore;_Im_Authentication_Native","Union parser (uses sub-parsers, not direct tables)"
"ASimDhcpEvent","union","ASimDhcpEventInfobloxBloxOne;ASimDhcpEventNative","","_Im_DhcpEvent_Empty;_ASim_DhcpEvent_Native;_ASim_DhcpEvent_InfobloxBloxOne","Union parser (uses sub-parsers, not direct tables)"
"ASimDhcpEventNative","source","ASimDhcpEventLogs","","","No connectors provide tables: ASimDhcpEventLogs"
