solution_name,local_first_publish,mp_creation_date,local_last_publish,mp_last_modified,is_published
1Password,2023-12-01,2024-06-27,,2025-12-13,true
42Crunch API Protection,2022-09-21,,,,true
AbnormalSecurity,2021-10-20,2023-04-03,,2025-12-13,true
AbuseIPDB,2022-05-23,2023-11-22,,2025-12-13,true
Acronis Cyber Protect Cloud,2025-10-28,2025-11-04,2025-10-28,2026-03-02,true
Agari,2022-05-02,,,,false
AgileSec Analytics Connector,,2023-06-30,,2025-12-13,true
AI Analyst Darktrace,2022-05-02,,,,true
AIShield AI Security Monitoring,2022-01-11,2023-08-18,2025-03-06,2025-12-13,true
Akamai Security Events,2022-03-23,2023-03-21,,2025-12-13,true
ALC-WebCTRL,2021-11-18,2024-11-08,,2025-12-13,true
Alibaba Cloud,2022-06-27,2023-04-10,,2025-12-13,true
Alibaba Cloud ActionTrail,2025-07-03,2025-07-08,,2025-12-13,true
Alsid For AD,2022-05-06,,,,false
Amazon Web Services,2022-05-26,2023-02-24,,2026-01-14,true
Amazon Web Services NetworkFirewall,2025-03-20,2025-07-04,,2025-12-13,true
Amazon Web Services Route 53,2025-03-21,2025-05-28,,2025-12-13,true
Anvilogic,2025-06-20,2025-09-26,,2025-12-13,true
Apache Log4j Vulnerability Detection,2021-12-15,2023-04-26,,2025-12-13,true
ApacheHTTPServer,2021-10-27,2023-04-06,,2025-12-13,true
archTIS,,,,,false
ARGOSCloudSecurity,2022-08-16,2024-11-08,,2025-12-13,true
AristaAwakeSecurity,2021-10-18,2024-05-13,,2025-12-13,true
Armis,2022-08-02,2023-08-28,2024-08-23,2025-12-13,true
Armorblox,2021-10-18,,,,true
Aruba ClearPass,2022-05-23,2023-04-06,,2025-12-13,true
AtlassianConfluenceAudit,2022-01-24,2023-05-26,,2025-12-13,true
AtlassianJiraAudit,2022-01-10,2023-03-03,,2025-12-13,true
Attacker Tools Threat Protection Essentials,2022-11-16,2023-04-25,,2026-01-29,true
Australian Cyber Security Centre,2022-11-23,2023-11-20,,2025-12-13,true
Auth0,2022-08-18,2023-03-29,,2025-12-13,true
Authomize,2023-06-15,,,,false
AWS CloudFront,2025-03-20,2025-08-08,,2025-12-13,true
AWS Security Hub,2025-03-12,2025-05-23,2025-03-12,2025-12-14,true
AWS Systems Manager,,2023-10-19,,2026-01-15,true
AWS VPC Flow Logs,2025-07-30,,,,false
AWS_AccessLogs,2025-02-06,2025-08-12,,2025-12-13,true
AWS_IAM,2022-09-28,2023-05-30,,2025-12-13,true
AWSAthena,2022-11-18,2024-02-27,,2026-01-15,true
Azure Activity,2022-04-18,2023-02-21,,2026-02-27,true
Azure Batch Account,2022-06-30,2023-02-20,,2025-12-13,true
