"solution_name","solution_folder","solution_github_url","solution_publisher_id","solution_offer_id","solution_first_publish_date","solution_last_publish_date","solution_version","solution_support_name","solution_support_tier","solution_support_link","solution_author_name","solution_categories","solution_readme_file","solution_logo_url","solution_description","solution_dependencies","has_connectors","is_deprecated","deprecation_date","is_published","marketplace_url","mp_is_published","mp_url","mp_display_name","mp_summary","mp_long_summary","mp_publisher_display_name","mp_is_preview","mp_is_stop_sell","mp_creation_date","mp_last_modified_date","mp_categories","mp_keywords","mp_popularity","mp_rating_average","mp_rating_count","mp_is_free","mp_is_byol","mp_is_microsoft_product","mp_last_checked"
"1Password","1Password","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/1Password","1password1617200969773","azure-sentinel-solution-1password","2023-12-01","","3.0.2","1Password","Partner","https://support.1password.com/","Rogier Dijkman (SecureHats)","domains","Solutions/1Password/README.md","https://raw.githubusercontent.com/azurekid/Azure-Sentinel/master/Logos/1password.svg","The [1Password](https://www.1password.com) solution for Microsoft Sentinel enables you to ingest sign-in attempts, item usage, and audit events from your 1Password Business account using the [1Password Events Reporting API](https://developer.1password.com/docs/events-api). This allows you to monitor and investigate events in 1Password in Microsoft Sentinel along with the other applications and services your organization uses.

**Underlying Microsoft Technologies used:**

This solution depends on the following technologies, and some of which may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or may incur additional ingestion or operational costs:

a.  [Azure Functions](https://azure.microsoft.com/services/functions/#overview)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/1password1617200969773.azure-sentinel-solution-1password","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/1password1617200969773.azure-sentinel-solution-1password","1Password for Microsoft Sentinel","Protect your business by securing your people.","The 1Password for Microsoft Sentinel integration provides the capability to ingest 1Password Business account activity (sign-in attempts, item usage, and audit events) into Microsoft Sentinel using the 1Password Events API.","1Password","false","false","2024-06-27","2025-12-13","security;identity-and-access-management;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","f1de974b-f438-4719-b423-8bf704ba2aef;events-api;1password;1Password for Microsoft Sentinel","0.911","0.0","0","false","false","true","2026-04-02"
"42Crunch API Protection","42Crunch API Protection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/42Crunch%20API%20Protection","42crunch1580391915541","42crunch_sentinel_solution","2022-09-21","","2.0.3","42Crunch API Protection","Partner","https://42crunch.com/","42Crunch - plugins@42crunch.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/42CrunchLogo.svg","The [42Crunch](https://42crunch.com/) API Protection solution protects APIs by installing a microfirewall inline with the API server. Access logs from the microfirewall are emitted to Microsoft Sentinel allowing analysis and investigation of attacks.","","true","false","","true","","false","","","","","","","","","","","","","","","","","","2026-04-02"
"AI Analyst Darktrace","AI Analyst Darktrace","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AI%20Analyst%20Darktrace","darktrace1655286944672","darktrace_mss","2022-05-02","","3.0.1","Darktrace","Partner","https://www.darktrace.com/en/contact/","Darktrace","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Darktrace.svg","The [AI Analyst Darktrace](https://www.darktrace.com/en/cyber-ai-analyst/) Solution for Microsoft Sentinel lets users connect Darktrace Model Breaches in real-time with Microsoft Sentinel, allowing creation of custom Dashboards, Workbooks, Notebooks and Custom Alerts to improve investigation. Microsoft Sentinel's enhanced visibility into Darktrace logs enables monitoring and mitigation of security threats.

 This solution is dependent on the Common Event Format solution containing the CEF via AMA connector to collect the logs. The CEF solution will be installed as part of this solution installation.

**NOTE:** Microsoft recommends installation of CEF via AMA Connector. The existing connectors are about to be deprecated by **Aug 31, 2024.**","azuresentinel.azure-sentinel-solution-commoneventformat","true","false","","true","","false","","","","","","","","","","","","","","","","","","2026-04-02"
"AIShield AI Security Monitoring","AIShield AI Security Monitoring","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AIShield%20AI%20Security%20Monitoring","rbei","bgsw_aishield_sentinel","2022-01-11","2025-03-06","3.0.1","AIShield","Partner","https://azuremarketplace.microsoft.com/marketplace/apps/rbei.bgsw_aishield_product/","AIShield - AIShield.Contact@bosch.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Solutions/AIShield%20AI%20Security%20Monitoring/Data%20Connectors/Logo/AIShield_Logo.svg","The [AIShield AI Security Monitoring](https://www.boschaishield.com/) solution allows users to connect with AIShield custom defense mechanism logs with Microsoft Sentinel. It gives users more insight into their organization's AI assets security posturing and improves their AI systems security operation capabilities. AIShield.GuArdIan analyzes the LLM generated content to identify and mitigate harmful content, safeguarding against legal, policy, role based, and usage based violations.

**Underlying Microsoft Technologies used:**

This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs:

a. [Azure Monitor HTTP Data Collector API](https://docs.microsoft.com/azure/azure-monitor/logs/data-collector-api)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/rbei.bgsw_aishield_sentinel","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/rbei.bgsw_aishield_sentinel","AIShield - AI Security Monitoring for Microsoft Sentinel","Secure your AI workloads against emerging cybersecurity threats","Secure your AI workloads against emerging AI Security threats and connect with Microsoft Sentinel to get real-time insights into your AI model security posture","Bosch Global Software Technologies Pvt Ltd","false","false","2023-08-18","2025-12-13","security;threat-protection;ai-plus-machine-learning;ml-operations;ml-service;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","AI Security ;Trustworthy AI;f1de974b-f438-4719-b423-8bf704ba2aef;AIShield - AI Security Monitoring for Microsoft Sentinel","0.0","0.0","0","false","false","true","2026-04-02"
"ALC-WebCTRL","ALC-WebCTRL","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ALC-WebCTRL","azuresentinel","azure-sentinel-solution-automated-logic-webctrl","2021-11-18","","2.0.0","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Automated Logic WebCTRL](https://www.automatedlogic.com/en/products/webctrl-building-automation-system/) solution allows you to easily stream the audit logs from the WebCTRL SQL server hosted on Windows machines connected to your Microsoft Sentinel. This connection enables you to view dashboards, create custom alerts and improve investigation. This gives insights into your Industrial Control Systems that are monitored or controlled by the WebCTRL BAS application. 

**Underlying Microsoft Technologies used:**

 This solution is dependent on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs: 

 a. [Agent based logs collection from Windows and Linux machines](https://docs.microsoft.com/azure/azure-monitor/agents/data-sources-custom-logs)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-automated-logic-webctrl","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-automated-logic-webctrl","Automated Logic WebCTRL","Automated Logic WebCTRL","You can stream the audit logs from the WebCTRL SQL server hosted on Windows machines connected to your Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2024-11-08","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Automated Logic WebCTRL;Automated Logic WebCTRL","0.0","0.0","0","false","false","true","2026-04-02"
"ARGOSCloudSecurity","ARGOSCloudSecurity","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ARGOSCloudSecurity","argoscloudsecurity1605618416175","argos-sentinel","2022-08-16","","2.0.0","ARGOS Cloud Security","Partner","https://argos-security.io/contact-us","ARGOS Cloud Security - support@argos-security.io","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Solutions/ARGOSCloudSecurity/Workbooks/images/logos/argos-logo.svg","The ARGOS Cloud Security integration for Microsoft Sentinel allows you to have all your important cloud security events in one place. This enables you to easily create dashboards, alerts, and correlate events across multiple systems. Overall this will improve your organization's security posture and security incident response.

Microsoft Sentinel Solutions provide a consolidated way to acquire Microsoft Sentinel content like data connectors, workbooks, analytics, and automations in your workspace with a single deployment step.","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/argoscloudsecurity1605618416175.argos-sentinel","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/argoscloudsecurity1605618416175.argos-sentinel","ARGOS Cloud Security for Microsoft Sentinel","ARGOS Cloud Security integration to Microsoft Sentinel","Integrate ARGOS Cloud Security into Microsoft Sentinel SIEM to have all your cloud security issues (CSPM, CAASM, and CIEM) in one spot.","ARGOS Cloud Security Pty Ltd","false","false","2024-11-08","2025-12-13","security;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","f1de974b-f438-4719-b423-8bf704ba2aef;cspm;cloud security;ARGOS Cloud Security for Microsoft Sentinel","0.0","0.0","0","false","false","true","2026-04-02"
"AWS CloudFront","AWS CloudFront","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20CloudFront","azuresentinel","azure-sentinel-solution-aws-cloudfront","2025-03-20","","3.0.0","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Aws.svg","The Amazon Web Services CloudFront for Microsoft Sentinel allows you to enable Security monitoring of AWS services by allowing ingestion of logs from the AWS S3Bucket, SQS Queue.","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-aws-cloudfront","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-aws-cloudfront","AWS CloudFront","AWS CloudFront","The Amazon Web Services CloudFront for Microsoft Sentinel allows you to enable Security monitoring of AWS services by allowing ingestion of logs from the AWS S3Bucket, SQS Queue.","Microsoft Sentinel, Microsoft Corporation","false","false","2025-08-08","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef ;AWS CloudFront;AWS CloudFront","0.808","0.0","0","false","false","true","2026-04-02"
"AWS Security Hub","AWS Security Hub","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Security%20Hub","azuresentinel","azure-sentinel-solution-awssecurityhub","2025-03-12","2025-03-12","3.0.1","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Aws.svg","AWS Security Hub Solution for Microsoft Sentinel provides data connector to ingest AWS Security Hub findings into Microsoft Sentinel.","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-awssecurityhub","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-awssecurityhub","AWS Security Hub","AWS Security Hub","AWS Security Hub Solution for Microsoft Sentinel provides data connector to ingest AWS Security Hub findings into Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2025-05-23","2025-12-14","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;AWS Security Hub;AWS Security Hub","0.815","0.0","0","false","false","true","2026-04-02"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","azuresentinel","azure-sentinel-solution-awssystemsmanager","","","3.0.1","Microsoft Corporation","Microsoft","https://support.microsoft.com/","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Solutions/AWS%20Systems%20Manager/Playbooks/aws-logo.svg","[AWS Systems Manager](https://docs.aws.amazon.com/systems-manager/latest/userguide/what-is-systems-manager.html) is the operations hub for your AWS applications and resources and a secure end-to-end management solution for [hybrid and multicloud](https://docs.aws.amazon.com/systems-manager/latest/userguide/operating-systems-and-machine-types.html#supported-machine-types) environments that enables secure operations at scale. This solution helps to enhance your SOAR capabilities by integrating Sentinel with AWS manager.","","false","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-awssystemsmanager","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-awssystemsmanager","AWS Systems Manager","AWS Systems Manager","AWS Systems Manager is the operations hub for your AWS applications and resources and a secure end-to-end management solution for hybrid and multicloud environments that enables secure operations at scale.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-10-19","2026-01-15","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef ;AWS Systems Manager;AWS Systems Manager","0.629","0.0","0","false","false","true","2026-04-02"
"AWS VPC Flow Logs","AWS VPC Flow Logs","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20VPC%20Flow%20Logs","azuresentinel","azure-sentinel-solution-awsvpcflowlogs","2025-07-30","","3.0.0","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft","domains","Solutions/AWS%20VPC%20Flow%20Logs/README.md","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Aws.svg","Amazon Web Services S3 VPC Flow Logs Solution for Microsoft Sentinel provides data connector to ingest AWS VPC Flow Logs into Microsoft Sentinel.","","true","false","","false","","false","","","","","","","","","","","","","","","","","","2026-04-02"
